source_group	edge_type	input_rows	resolved_keys	unresolved_rows	min_member_width	median_member_width	max_member_width	retained_rows	deduplicated_rows
chemodiversity_ethnobotany_sources	bioactivity_assertion	28733	0	28733	2	2.0	2	28733	0
chemodiversity_ethnobotany_sources	ethnobotanical_use_assertion	127564	9657	117907	3	4.0	4	127564	0
chemodiversity_ethnobotany_sources	phytochemical_assertion	103663	13875	89788	2	3.0	3	101484	2179
convergence_sources	fruit_morphology	136427	21218	115209	3	4.0	4	78963	57464
convergence_sources	life_form	127696	17310	110386	3	4.0	4	46290	81406
convergence_sources	trait_syndrome	156422	22973	133449	3	4.0	4	84044	72378
domestication_sources	crop_pedigree	43	2	41	9	10.0	13	43	0
domestication_sources	cultivation_or_domestication	104	2	102	5	5.0	5	104	0
domestication_sources	vavilov_center_hyperedge	43	2	41	5	5.0	5	43	0
paleobotany_sources	anachronism_candidate_edge	31	6	25	4	4.0	4	31	0
paleobotany_sources	distribution	52	0	52	3	3.0	3	52	0
reticulation_sources	chromosome_count_assertion	12	2	10	3	4.0	4	12	0
reticulation_sources	hybridization_event	1	0	1	5	5.0	5	1	0
reticulation_sources	polyploidization_event	4	0	4	5	5.0	6	4	0
reticulation_sources	reticulate_inheritance_evidence	11	1	10	3	4.0	6	11	0
taxonomy_backbone	synonym_cluster	113582	113582	0	2	2.0	3	113582	0
taxonomy_backbone	taxonomic_conflict	62	62	0	1	1.0	1	62	0
taxonomy_backbone	taxonomic_parentage	60000	60000	0	2	2.0	3	60000	0
wikidata_commons	image_evidence	160	10	150	4	4.0	4	160	0
