claim_id,claim,classification,supporting_artifacts,scope_limit
C1,"Kim--Tao Theorem 1 rigidity proof reduces to Proposition 3.1, smoothing, Chebyshev/grid control, a Weyl law, and monotone Weyl inversion.",reconstructed,docs/proof_ledger/rigidity_proof_reconstruction.md;docs/proof_ledger/theorem1_exponent_flow.md,Local reconstruction of paper proof; imported MPvH/Nau inputs not reproved.
C2,"The rigidity exponent weakens at the spectral edge, with a safe conversion alpha_R < 2 alpha_W/3.",reconstructed,docs/proof_ledger/weyl_inversion_detail.md,"Conservative exponent bookkeeping, not optimized."
C3,Theorem 2 delocalization uses a pre-trace/fourth-moment argument whose structural diagonal term S is distinct from Theorem 1 trace concentration.,reconstructed,docs/proof_ledger/delocalization_proof_reconstruction.md;docs/proof_ledger/pretrace_diagonal_term.md,Local proof architecture only; MP23 rank-two estimate imported.
C4,"For a finite labelled directed template H, the expected number of injective embeddings is (n)_V times the product over labels of 1/(n)_{C_a}, unless a label constraint is not a partial injection, in which case it is zero.",certified,reports/formal_certification/labelled_embedding_expectation_identity.md;tests/test_labelled_embedding_expectation_identity.py,Toy finite permutation model; not a Selberg trace theorem.
C5,The M4 labelled-template identity is a proved toy lemma by elementary permutation counting.,proved_toy,scripts/certify_labelled_embedding_expectation.py;data/formal_certification/labelled_embedding_expectation_exhaustive.csv,Proof is finite-model only.
C6,Cyclic/power word families remain order one while rank-two/noncyclic common fixed-point families are suppressed in the permutation probes.,numerical_evidence,reports/computational_probes/m3_common_fixed_point_probe.md;data/polynomial_method/common_fixed_point_summary.csv,Finite Monte Carlo toy evidence.
C7,Direct labelled-embedding counts remove rare-event sparsity and show the cyclic/rank-two raw separation is largely explained by constraint dimension after normalization.,numerical_evidence,reports/computational_probes/m3_labelled_graph_embedding_probe.md;data/polynomial_method/labelled_graph_embedding_summary.csv,"Expectation estimator, not realized-cover hyperbolic spectrum."
C8,"Low-degree polynomial-window fits are stable for low-noise labelled embeddings, while degree 6/8 fits expose interpolation conditioning stress.",numerical_evidence,reports/computational_probes/m3_polynomial_window_diagnostics.md;data/polynomial_method/polynomial_window_fit_summary.csv,Toy benchmark; degree choice is diagnostic.
C9,"Schreier spectral window counts provide an operator-level toy bridge, but centered trace moments are noisy and do not constitute hyperbolic Laplacian evidence.",numerical_evidence,reports/computational_probes/m3_schreier_spectral_toy.md;data/polynomial_method/schreier_spectral_toy_summary.csv,Random permutation Schreier graph only.
C10,"Fixed conflict-free labelled-template expectations are analytically tame after normalization, while growing support/profile families can amplify coefficients and derivatives because product-ratio zeros/poles approach x=0 at scale 1/L.",proved_toy,reports/extension_candidates/m5_extension_synthesis_and_toy_principle.md;data/extension_candidates/m5_log_coefficient_summary.csv,"Strongest new contribution; mechanism benchmark, not a Kim--Tao exponent improvement."
C11,The Markov/interpolation-loss pathway is the most credible follow-up target from this campaign.,conjectural,reports/extension_candidates/m5_extension_candidate_ranking.md;reports/extension_candidates/m5_primary_candidate_statement.md,Ranked research judgment based on local evidence.
C12,Naive pointwise intersections of composite rank-two words collapse because adding words like ab and aB may impose no extra fixed-point constraints once a and b fix the point.,negative_result,reports/computational_probes/m3_common_fixed_point_probe.md,Null result for naive observable; motivates folded/embedding probes.
C13,Independent four/eight-generator common fixed constraints were too rare for ordinary Monte Carlo at the tested sample sizes.,negative_result,reports/computational_probes/m3_common_fixed_point_probe.md,"Sampling limitation, not a contradiction."
C14,"Full Selberg trace formalization, direct Weil--Petersson transfer, and direct hyperbolic spectral simulation were rejected or deferred in this run.",negative_result,reports/extension_candidates/m5_extension_candidate_ranking.md,Deferred for tractability and evidence quality.
C15,The campaign does not prove an improved Kim--Tao rigidity exponent.,non_claim,reports/extension_candidates/m5_extension_synthesis_and_toy_principle.md;reports/final/final_report.md,Explicit scope limit.
C16,"The campaign does not reprove MPvH embedding expansion, Nau boundedness, or MP23 rank-two fixed-point estimates.",non_claim,docs/proof_ledger/m2_proof_ledger_closure.md;reports/final/final_report.md,Imported black boxes remain imported.
C17,The computational probes do not validate local spectral statistics for random hyperbolic surfaces.,non_claim,reports/computational_probes/m3_computational_probe_synthesis.md;reports/final/final_report.md,Toy random-permutation and Schreier models only.
