question_id	category	prompt_template_id	question	expected_answer	answer_kind	required_terms_json	forbidden_terms_json	source_edge_id	supporting_edge_type	raw_scientific_name	accepted_taxon_key	source_group	source_id	source_record_id	provenance_pointer	license	access_date	allowed_evidence_scope	evidence_scope_guardrail	caveats	offline_only	status
t6_convergence_detection_03ef165d70c1	convergence_detection	track6_offline_convergence_detection_v1	'Abelmoschus moschatus subsp. moschatus' has a fruit_morphology edge for 'fruit_type:capsule'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_fa5731567a9550bb9532	fruit_morphology	Abelmoschus moschatus subsp. moschatus		convergence_sources	austraits_6_0_0	0004	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	morphological coding of fruit type per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_0728f3a2b655	convergence_detection	track6_offline_convergence_detection_v1	'Abelia x grandiflora' has a fruit_morphology edge for 'fruit_type:achene'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_1ec53d97f4b8717bdc51	fruit_morphology	Abelia x grandiflora		convergence_sources	austraits_6_0_0	0001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	morphological coding of fruit type per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_0adae15e9c51	convergence_detection	track6_offline_convergence_detection_v1	'Abrotanella nivigena' has a fruit_morphology edge for 'fruit_fleshiness:dry'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_cd39f71a35626ec3917a	fruit_morphology	Abrotanella nivigena	wfo:wfo-0000074859-2025-12	convergence_sources	austraits_6_0_0	00004	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit fleshiness morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.	True	ready_offline_static
t6_convergence_detection_0eb3f1328976	convergence_detection	track6_offline_convergence_detection_v1	'Abroma fastuosa' has a fruit_morphology edge for 'fruit_fleshiness:dry'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_597fc3ac0ea1f4395677	fruit_morphology	Abroma fastuosa		convergence_sources	austraits_6_0_0	0001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit fleshiness morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_14bb8d6691e0	convergence_detection	track6_offline_convergence_detection_v1	'Abildgaardia ovata' has a fruit_morphology edge for 'fruit_type:nut'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_142f7e05fa2bdb4f9675	fruit_morphology	Abildgaardia ovata	wfo:wfo-0000336880-2025-12	convergence_sources	austraits_6_0_0	001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	morphological coding of fruit type per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.	True	ready_offline_static
t6_convergence_detection_153b2f5c59d3	convergence_detection	track6_offline_convergence_detection_v1	'Abildgaardia vaginata' has a fruit_morphology edge for 'fruit_dehiscence:indehiscent'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_20cfd71c035805a8e3e9	fruit_morphology	Abildgaardia vaginata		convergence_sources	austraits_6_0_0	002	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit dehiscence morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_216a0e32d24f	convergence_detection	track6_offline_convergence_detection_v1	'Abelmoschus manihot subsp. manihot' has a fruit_morphology edge for 'fruit_dehiscence:dehiscent'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_61fb192aa02097c9f095	fruit_morphology	Abelmoschus manihot subsp. manihot		convergence_sources	austraits_6_0_0	0002	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit dehiscence morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_305bb1d76b8d	convergence_detection	track6_offline_convergence_detection_v1	'Abelmoschus manihot' has a fruit_morphology edge for 'fruit_dehiscence:dehiscent'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_d6df11a4b62bfcdf8353	fruit_morphology	Abelmoschus manihot	wfo:wfo-0000510878-2025-12	convergence_sources	austraits_6_0_0	0003	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit dehiscence morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.	True	ready_offline_static
t6_convergence_detection_31419331fd22	convergence_detection	track6_offline_convergence_detection_v1	'Abildgaardia vaginata' has a fruit_morphology edge for 'fruit_fleshiness:dry'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_1aab80bb217119dbfe5e	fruit_morphology	Abildgaardia vaginata		convergence_sources	austraits_6_0_0	002	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit fleshiness morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_34e928bdbe9a	convergence_detection	track6_offline_convergence_detection_v1	'Abroma fastuosa' has a fruit_morphology edge for 'fruit_type:capsule'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_208bb6793a5526f3e8c2	fruit_morphology	Abroma fastuosa		convergence_sources	austraits_6_0_0	0001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	morphological coding of fruit type per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.; canonicalization_status=unresolved; ambiguity_reason=no exact WFO accepted-name or synonym-cluster match	True	ready_offline_static
t6_convergence_detection_378e80a33870	convergence_detection	track6_offline_convergence_detection_v1	'Abildgaardia ovata' has a fruit_morphology edge for 'fruit_fleshiness:dry'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_932ca04bd5a690574553	fruit_morphology	Abildgaardia ovata	wfo:wfo-0000336880-2025-12	convergence_sources	austraits_6_0_0	001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit fleshiness morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.	True	ready_offline_static
t6_convergence_detection_5c763e393a2e	convergence_detection	track6_offline_convergence_detection_v1	'Abildgaardia ovata' has a fruit_morphology edge for 'fruit_dehiscence:indehiscent'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_ada1e6e215e716210124	fruit_morphology	Abildgaardia ovata	wfo:wfo-0000336880-2025-12	convergence_sources	austraits_6_0_0	001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	fruit dehiscence morphology per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.	True	ready_offline_static
t6_convergence_detection_6e7a592da8b5	convergence_detection	track6_offline_convergence_detection_v1	'Abelmoschus ficulneus' has a fruit_morphology edge for 'fruit_type:capsule'. Does this single edge establish convergence or adaptive interpretation?	No. The edge supports only the source-stated trait or fruit-morphology coding. Convergence or adaptation requires downstream convergence-signature analysis across independent lineages.	scoped_free_text	"[""no"", ""source-stated"", ""requires downstream""]"	"[""establishes convergence"", ""adaptive proof"", ""related because shape""]"	conv_4653a69e509e087a3ade	fruit_morphology	Abelmoschus ficulneus	wfo:wfo-0000510865-2025-12	convergence_sources	austraits_6_0_0	0001	https://zenodo.org/records/11188867	CC-BY-4.0	2026-05-17	morphological coding of fruit type per source	Trait similarity is not convergence and not phylogeny; Track 3 instruments must do that work later.	Harmonized AusTraits row; taxon name unresolved until M1.1 crosswalk; no convergence inference.	True	ready_offline_static
