model_id	question_id	category	prompt_variant	raw_response_path	response_text_digest	deterministic_settings	timestamp	execution_status
not_run_no_local_model	t6_convergence_detection_03ef165d70c1	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_0728f3a2b655	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_0adae15e9c51	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_0eb3f1328976	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_14bb8d6691e0	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_153b2f5c59d3	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_216a0e32d24f	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_305bb1d76b8d	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_31419331fd22	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_34e928bdbe9a	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_378e80a33870	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_5c763e393a2e	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_6e7a592da8b5	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_6fadfb99c7b2	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_7720dd367a5a	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_7e84a23413dc	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_8394b97c40b9	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_943b783f5530	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_a96c279d09a0	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_ad3237a59b6e	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_b8c28ca39034	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_ba4279facfb0	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_bac70344b0fa	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_cecb8ed2cd62	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_cede6789b9a5	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_d183154e08bc	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_ea1b755ee559	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_ef2026be7a49	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_f3fae1d4d849	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_convergence_detection_f7d0f073864c	convergence_detection	track6_offline_convergence_detection_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_0133f263abdc	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_1a6de1ac06de	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_26ae2e2b87b2	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_319866fdec3c	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_4fc2367ed8a1	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_53e1b7317cf7	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_5e63cc7f0454	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_7e0a5f4475f6	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_97e671c3a203	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_9e9d3dda0035	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
not_run_no_local_model	t6_ghost_partner_reasoning_9eeb292ef947	ghost_partner_reasoning	track6_offline_ghost_partner_reasoning_v1			temperature=0; top_p=1; seed=0; max_new_tokens=256; not executed	2026-05-18T19:05:00+00:00	not_run_no_local_model
