scenario_id,window_index,day,request_count,accepted_fast_path_count,programmable_fallback_count,fail_safe_count,near_threshold_count,stale_policy_count,drift_count,audit_failure_count,utilization,policy_update_in_window
high_volume_stable_moderation,0,0,67214,66712,502,0,201,68,67,33,0.35,True
high_volume_stable_moderation,1,0,41941,41627,314,0,125,42,42,21,0.35,False
high_volume_stable_moderation,2,0,38828,38538,290,0,116,39,39,19,0.35,False
high_volume_stable_moderation,3,0,40735,40433,302,0,121,40,41,20,0.35,False
high_volume_stable_moderation,4,0,32996,32749,247,0,98,33,33,17,0.35,False
high_volume_stable_moderation,5,0,30984,30752,232,0,92,31,31,16,0.35,False
high_volume_stable_moderation,6,0,30003,29779,224,0,90,30,30,15,0.35,False
high_volume_stable_moderation,7,0,31026,30795,231,0,93,31,31,15,0.35,False
high_volume_stable_moderation,8,0,32923,32677,246,0,99,32,32,17,0.35,False
high_volume_stable_moderation,9,0,35833,35565,268,0,107,36,36,18,0.35,False
high_volume_stable_moderation,10,0,38924,38633,291,0,117,39,38,19,0.35,False
high_volume_stable_moderation,11,0,41390,41081,309,0,124,41,41,21,0.35,False
high_volume_stable_moderation,12,0,43445,43120,325,0,130,43,44,22,0.35,False
high_volume_stable_moderation,13,0,42375,42058,317,0,127,42,43,21,0.35,False
high_volume_stable_moderation,14,0,41791,41476,315,0,126,42,42,21,0.35,False
high_volume_stable_moderation,15,0,35833,35565,268,0,107,36,36,18,0.35,False
high_volume_stable_moderation,16,0,32917,32669,248,0,99,33,33,17,0.35,False
high_volume_stable_moderation,17,0,35658,35392,266,0,108,35,36,17,0.35,False
high_volume_stable_moderation,18,0,30108,29883,225,0,90,30,30,15,0.35,False
high_volume_stable_moderation,19,0,32975,32729,246,0,99,33,33,16,0.35,False
high_volume_stable_moderation,20,0,44731,44394,337,0,135,45,45,23,0.35,False
high_volume_stable_moderation,21,0,35833,35564,269,0,107,36,36,18,0.35,False
high_volume_stable_moderation,22,0,39090,38797,293,0,118,39,39,19,0.35,False
high_volume_stable_moderation,23,0,40954,40647,307,0,123,41,41,20,0.35,False
high_volume_stable_moderation,24,1,51242,50861,381,0,153,51,51,25,0.35,False
high_volume_stable_moderation,25,1,40886,40579,307,0,123,41,41,21,0.35,False
high_volume_stable_moderation,26,1,45367,45029,338,0,136,45,45,22,0.35,False
high_volume_stable_moderation,27,1,36914,36640,274,0,111,36,36,18,0.35,False
high_volume_stable_moderation,28,1,41707,41395,312,0,124,41,42,21,0.35,False
high_volume_stable_moderation,29,1,36565,36293,272,0,109,36,36,18,0.35,False
high_volume_stable_moderation,30,1,30059,29835,224,0,90,30,30,15,0.35,False
high_volume_stable_moderation,31,1,40018,39718,300,0,120,40,40,20,0.35,False
