milestone_id,artifact_path,artifact_sha256,artifact_role,replay_command
M-SYNTH-2,physicalized-weights/data/phase2_synthesis_summary.json,eeadcb2bdd6ff1b95a3444fa243f50b00acf4fbdcabb9df6236121891b44aa50,input,
M-SYNTH-2,physicalized-weights/data/phase2_claim_matrix.csv,c5073358e9522972bfce6c18a0d7aeb95f338c249fc17c43f1ea1c956b31a603,input,
M-SYNTH-2,physicalized-weights/docs/phase2_synthesis_downgrade.md,58841894327d6b459492ef2cce2b8dcdec1c867b3d469828460b2eaa8f83659a,input,
M-PHASE3-SYNTH-1,physicalized-weights/data/phase3_reopen_summary.json,b0ef34f926993bb44672b705bfdfdc46fad06cf69876f9804da6df68c9bb4582,input,
M-PHASE3-SYNTH-1,physicalized-weights/data/phase3_reopen_claim_matrix.csv,4734fc28a559d1349a0d92c1914334acd7ab5289421b8da73a6788b0c1a26e9d,input,
M-PHASE3-SYNTH-1,physicalized-weights/docs/phase3_reopen_pathway_summary.md,1ccddf63d4df66f38bfb40d5e9aedab2e691b4ed6a692a46009cab852e2c709e,input,
M-SWBASE-2,physicalized-weights/data/stronger_baseline_summary.json,025bbe6014dfbfa539b2a01a705c85964e24cd6ce47ebd4155bfad1e11e9c597,input,
M-ARCH-1,physicalized-weights/docs/hybrid_safety_filter_architecture.md,19b6258d0c2e7194f81e3435f691b47ad673d1e39a6878fe94bc02b3d1e362cf,input,
M-PROTO-1,physicalized-weights/data/prototype_verification_closure.json,2eeed47545b50c113dc207f76350af3266eb61f1081a1ae87f04578655a76413,input,
M-MEASURE-1,physicalized-weights/docs/production_measurement_requirements.md,1c9fba981df0b80aa24639eb78318eca84ef3ea99e440623c53be32b0370cd0a,input,
M-MEASURE-1,physicalized-weights/data/local_overhead_summary.json,5e499458cf84262bd9cbe2e04a8e1b1d31f805d8993e10576d2b14fc03db9699,input,
M-ACQUIRE-1,physicalized-weights/data/evidence_acquisition_readiness_summary.json,3cf452853643f44486f4ea5548ac2a96cba50b4af43c2bcb730fcf7b6d051ad0,input,
M-ACQUIRE-1,physicalized-weights/data/evidence_acquisition_readiness_results.csv,bdbab47f1d92fcca860aaf52b33096d48c65de81cd34377e11bd0aba6ab8e17c,input,
M-ACQUIRE-1,physicalized-weights/docs/evidence_acquisition_readiness.md,26172bb4d2ef37f3659dd2b4143fa8d0b32d2692744e8ab9e8c63332c5f30df3,input,
M-DRYRUN-1,physicalized-weights/data/evidence_pack_dryrun_summary.json,19d3436f5d11ab0caf407ebd9bc5b32b78bb6e05aa68fdd97c838008c69a2fe8,input,
M-DRYRUN-1,physicalized-weights/data/evidence_pack_dryrun_results.csv,1d98f87ca209b8cc897438dba3aaf184ff3769774b37ef16db40098258656046,input,
M-DRYRUN-1,physicalized-weights/docs/operator_evidence_pack_template.md,20f8fac73d368fe3a572f4ebff4c9fb4821023dd11ade547045334d52aa2e840,input,
M-INTAKE-1,physicalized-weights/data/evidence_pack_intake_rehearsal_summary.json,04aee29e4590c2089c8c4fdda9ec9bc31a0cc0d8970325dbde970fb49e79e3b4,input,
M-INTAKE-1,physicalized-weights/data/evidence_pack_intake_rehearsal_results.csv,3d3579c0c82c003a9ff4eb6f4d4ef8fc6de8d7471d32113e94faeb339ab8aaa6,input,
M-INTAKE-1,physicalized-weights/docs/evidence_pack_intake_rehearsal.md,712b22cfc917d2b6b9212af05917eb2dcac9de856ed6d30cd8758f14d8de6f24,input,
M-EVIDENCEPACK-1,physicalized-weights/data/evidence_pack_replay_summary.json,5486804032fadf489cbe4707a986a33818b54f0053831d8c98612ab6310a4b59,input,
M-EVIDENCEPACK-1,physicalized-weights/data/evidence_pack_replay_results.csv,2274d16e55d9e751e2f1569f3c0ffb0b1db5c16a08cd867f2afa145954545602,input,
M-EVIDENCEPACK-1,physicalized-weights/docs/evidence_pack_replay_harness.md,cf0e293120650fefc2106f2f0bcb68e7bcce9b8661493e8cdd4bfa53972ffa82,input,
M-UNCERTAINTY-1,physicalized-weights/data/reopen_uncertainty_summary.json,a3f0f7ca9b1c4d9aa5175ce6d1ae94c66df6190d6f801145fdad9bcd83f09144,input,
M-UNCERTAINTY-1,physicalized-weights/data/reopen_uncertainty_results.csv,674ea0cb0e044ff1918444a9c8dc3b0d84436e6d3655395c95d2eda58d2dc5b3,input,
M-UNCERTAINTY-1,physicalized-weights/docs/measured_reopen_uncertainty_protocol.md,1764e1f318bdc7e1b098a948994c2ade91f53b90e5ab6e1089adceddb9c7339a,input,
M-LIFECYCLE-1,physicalized-weights/data/evidence_package_lifecycle_summary.json,fd459b71dca6f7f2370d99ee5eb5fc932ab5bb4eabc7cc9a741c7ffebbc9fc39,input,
