milestone_id,artifact_path,artifact_sha256,artifact_role,replay_command
M-TAX-1,physicalized-weights/docs/taxonomy_and_null.md,de468fb925faed43941c23aa4ee2c1d3141bd8d71b78a79f2b7e20a38ce01f21,input,
M-MODEL-1,physicalized-weights/data/breakeven_summary.json,a32d851d578f3d501597673b858535b305cb4cd99dcadc71f97cbdc19c1a2932,input,
M-TARGET-1,physicalized-weights/data/target_scores_summary.json,f25a6dbeacb06419b03236e6592ea9c2a35c4b5a91546ac7c75dc06bec3776cd,input,
M-TARGET-1,physicalized-weights/docs/target_ranking.md,cd8f4d42ae5ed92bd0160887267e60728dbaa8b910a8f3fe4560f8563c2fed69,input,
M-ARCH-1,physicalized-weights/docs/hybrid_safety_filter_architecture.md,19b6258d0c2e7194f81e3435f691b47ad673d1e39a6878fe94bc02b3d1e362cf,input,
M-PROTO-1,physicalized-weights/data/prototype_verification_closure.json,2eeed47545b50c113dc207f76350af3266eb61f1081a1ae87f04578655a76413,input,
M-PROTO-1,physicalized-weights/data/hdl_sim_results.csv,0246f1f8e588f5da280310464c6cc4f75704a940e1ca609f1c99628f1ff2a3c3,input,
M-PROTO-1,physicalized-weights/docs/prototype_verification_closure.md,718b13a04425dc1a243af55dd4171a578aea9c749d198b8d06445c84266a17d0,input,
M-SWBASE-2,physicalized-weights/data/stronger_baseline_summary.json,025bbe6014dfbfa539b2a01a705c85964e24cd6ce47ebd4155bfad1e11e9c597,input,
M-SWBASE-2,physicalized-weights/docs/stronger_baseline_comparison.md,debcd9f4b89e9b4041188d459f45f564528b2c3b4ed8292574731e0ecad7a452,input,
M-SYNTH-2,physicalized-weights/data/phase2_synthesis_summary.json,eeadcb2bdd6ff1b95a3444fa243f50b00acf4fbdcabb9df6236121891b44aa50,input,
M-SYNTH-2,physicalized-weights/docs/phase2_synthesis_downgrade.md,58841894327d6b459492ef2cce2b8dcdec1c867b3d469828460b2eaa8f83659a,input,
M-PHASE3-SYNTH-1,physicalized-weights/data/phase3_reopen_summary.json,b0ef34f926993bb44672b705bfdfdc46fad06cf69876f9804da6df68c9bb4582,input,
M-PHASE3-SYNTH-1,physicalized-weights/docs/phase3_reopen_pathway_summary.md,1ccddf63d4df66f38bfb40d5e9aedab2e691b4ed6a692a46009cab852e2c709e,input,
M-PHASE4-SYNTH-1,physicalized-weights/data/phase4_reopen_summary.json,862b1849d70dced71fd2213dc13b7eeffeaddce65a12307fa774ab8cb4059abd,input,
M-PHASE4-SYNTH-1,physicalized-weights/docs/phase4_reopen_lifecycle_synthesis.md,3f11d3854d8010bfd78fcb7d74055a0f3b2376f370fdcc8e58653cc5e67a7930,input,
M-ROBUST-1,physicalized-weights/data/target_robustness_summary.json,b0b3eeb0219ad118016a71dec6856fe020ccc606d8ec9571ce5bb430ee2558bd,input,
M-ROBUST-1,physicalized-weights/docs/target_robustness_stress_test.md,264f678af44cf740a9c215302b9cd15f7dc3d819e8ac7c240963f329043bd045,input,
M-DEFER-1,physicalized-weights/data/campaign_deferral_watchlist_summary.json,5240066e4def5cb86149a20be6a6b1b4a6b24adeea3249089dc2a575525687a9,input,
M-DEFER-1,physicalized-weights/data/campaign_deferral_watchlist_results.csv,3ee5e4201f6beb70657692b4654324c31f7d801f386996cf0f09f13efca3455b,input,
M-DEFER-1,physicalized-weights/docs/campaign_deferral_watchlist.md,59cfc99e0294c403b7f4c1939fd3ff89348d1b5d7ed76ad5caa4cfa847ec8c77,input,
M-CLOSURE-1,physicalized-weights/scripts/build_campaign_closure_report.py,7495eda2b17a10d1d7c84c4875cff1eecfda45ce3aca72ca9da8caa45d7d59f8,implementation,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/tests/test_campaign_closure_report.py,29bb1ee9a4cece5a702442204fd687980d1b0d76c87dbf4332fea43c0de2fe29,implementation,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/docs/campaign_closure_report.md,41576f1b6d60443150c52d8df653511d5de29686223aafbb5c414e9a3cca36ff,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/docs/campaign_executive_summary.md,41d306bb2872ccf07a0808e4a410743b8390aeae7f7b05b047b661eccb566311,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/docs/final_synthesis.md,4e0b55d569e05b66d4942764242090ddd1a239b7d2a5084908e84687d34d918d,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/docs/reproducibility.md,7bbc0be0ef2896c06992be2f40fe4bb92a3e286b316e24af560b9f11735365ff,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/data/campaign_closure_claim_disposition.csv,3e5c9f7c9093368a561f3c9c421d4fb8a206f5277be9cd6e9a1311e1368f7c93,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/data/campaign_closure_manifest.csv,self_referential_manifest,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/data/campaign_closure_summary.json,d25eb5d79b1b4ec0e3bd5893ad0689505872f56cc13512516d71a13b424a45cb,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
M-CLOSURE-1,physicalized-weights/data/campaign_closure_evidence_flow.png,e5c96e8b850b0bf6d27100fa88bb42ab718e8b13de0adfb8a0630c551a6f0e4e,output,python3 physicalized-weights/scripts/build_campaign_closure_report.py
