claim_id,claim_class,evidence_kind,current_measured_evidence,supporting_artifacts,conclusion
phase2_performance_superiority_falsified,falsified,modeled_equal_workload_replay,false,physicalized-weights/data/phase2_synthesis_summary.json; physicalized-weights/data/stronger_baseline_summary.json,Safety/filter performance and economic superiority remains falsified against the stronger programmable accelerator baseline.
hybrid_architecture_still_valid_as_failure_mode_study,preserved_architecture_study,architecture_and_prototype,false,physicalized-weights/docs/hybrid_safety_filter_architecture.md; physicalized-weights/data/prototype_verification_closure.json,"The hybrid safety/filter block remains useful as a bounded architecture, failure-mode, and evidence-scaffold study."
production_measurement_required,future_reopen_condition,measurement_contract,false,physicalized-weights/docs/production_measurement_requirements.md; physicalized-weights/data/local_overhead_summary.json,"Local proxies decompose overheads, but future reopening requires measured production, shadow, or canary latency, energy, utilization, and baseline terms."
evidence_pack_replay_required,future_reopen_condition,manifest_replay_contract,false,physicalized-weights/data/evidence_pack_replay_summary.json; physicalized-weights/docs/evidence_pack_replay_harness.md,"Future traces must pass manifest integrity, schema, source, ingestion, provenance, privacy, and downstream replay gates."
operator_dryrun_is_non_evidence,non_evidence,template_dryrun,false,physicalized-weights/data/evidence_pack_dryrun_summary.json; physicalized-weights/docs/operator_evidence_pack_template.md,Operator templates and dry-run acceptance checks are collection preparation only and cannot reopen the Phase 2 downgrade.
intake_rehearsal_is_non_evidence,non_evidence,synthetic_safe_handoff_rehearsal,false,physicalized-weights/data/evidence_pack_intake_rehearsal_summary.json; physicalized-weights/docs/evidence_pack_intake_rehearsal.md,"Intake rehearsal proves handoff mechanics and replay delegation, but rehearsal packages are not current measured evidence."
uncertainty_margin_required,future_reopen_condition,uncertainty_protocol,false,physicalized-weights/data/reopen_uncertainty_summary.json; physicalized-weights/docs/measured_reopen_uncertainty_protocol.md,A point threshold crossing is insufficient; future reopening also requires UCB_alpha(H - B) < 0.
lifecycle_candidate_branch_is_hypothetical_only,positive_control_only,lifecycle_state_machine_control,false,physicalized-weights/data/evidence_package_lifecycle_summary.json; physicalized-weights/docs/evidence_package_lifecycle_state_machine.md,The single candidate branch is a labeled hypothetical positive control and is excluded from current artifact reopen counts.
current_artifacts_do_not_reopen,current_claim_state,campaign_synthesis,false,physicalized-weights/data/phase4_reopen_summary.json; physicalized-weights/data/phase4_reopen_claim_matrix.csv,Current committed artifacts have actual_reopen_candidate_count=0 and current_artifacts_reopen=false.
future_reopen_condition,future_reopen_condition,conjunctive_rule,false,physicalized-weights/data/phase4_reopen_summary.json; physicalized-weights/docs/phase4_reopen_lifecycle_synthesis.md,valid_package && hash_match && schema_compatible && known_threshold_scenario && valid_trace && admissible_ingestion_path && measured_terms && production_or_shadow_or_canary_source && provenance_attestation && privacy_attestation && nonzero_request_volume && nonzero_accepted_fast_path_volume && measured_best_programmable_baseline && threshold_crossed && UCB_alpha(H - B) < 0 && lifecycle_terminal_state=actual_reopen_candidate
