scenario_id,alternative,raw_requests_per_day,effective_fast_path_requests_per_day,fallback_requests_per_day,feature_extraction_cost_per_day_pj,audit_logging_cost_per_day_pj,update_control_cost_per_day_pj,utilization_adjusted_fixed_substrate_cost_per_day_pj,estimated_energy_per_accepted_request_pj,estimated_latency_per_accepted_request_us,total_daily_cost_proxy_pj,winner,decision_class,mechanism_note
high_volume_stable_moderation,optimized_software_runtime,920801.857,319870.85,6884.835485,1381202785.5,8103056341.6,50.0,0.0,20517.73483,11.157735,18892768333.17428,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
high_volume_stable_moderation,programmable_accelerator,920801.857,319870.85,6884.835485,1381202785.5,8103056341.6,216.666667,28571.428571,8882.271264,8.98,8178811874.414918,True,accelerator_dominates,programmable accelerator keeps software update path while reducing local compute and audit overhead
high_volume_stable_moderation,hybrid_physicalized_safety_filter,920801.857,319870.85,6884.835485,1381202785.5,8103056341.6,1333.333333,120000.0,10480.279385,10.414971,9650260720.03919,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
bursty_consumer_traffic,optimized_software_runtime,753879.571,323152.264,166329.957509,1356983227.8,7161855924.5,150.0,0.0,18241.734975,12.157735,13752071337.226662,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
bursty_consumer_traffic,programmable_accelerator,753879.571,323152.264,166329.957509,1356983227.8,7161855924.5,650.0,18181.818182,9866.26498,9.964,7437975610.401221,True,accelerator_dominates,programmable accelerator keeps software update path while reducing local compute and audit overhead
bursty_consumer_traffic,hybrid_physicalized_safety_filter,753879.571,323152.264,166329.957509,1356983227.8,7161855924.5,4000.0,76363.636364,13162.660648,11.826162,9923060962.428623,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
low_volume_enterprise_deployment,optimized_software_runtime,114.5,28.393,0.928595,229000.0,1007600.0,50.0,0.0,19146.171457,11.657735,2192236.631852,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
low_volume_enterprise_deployment,programmable_accelerator,114.5,28.393,0.928595,229000.0,1007600.0,216.666667,40000.0,9843.477263,9.59,1127078.146667,True,accelerator_dominates,programmable accelerator keeps software update path while reducing local compute and audit overhead
low_volume_enterprise_deployment,hybrid_physicalized_safety_filter,114.5,28.393,0.928595,229000.0,1007600.0,1333.333333,168000.0,12643.815268,11.107626,1447716.84824,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
high_near_threshold_adversarial,optimized_software_runtime,102174.0,19303.6,74597.441748,183913200.0,919566000.0,150.0,0.0,19145.736244,11.657735,1956196455.003024,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
high_near_threshold_adversarial,programmable_accelerator,102174.0,19303.6,74597.441748,183913200.0,919566000.0,650.0,14285.714286,9456.386179,9.554,966196801.474286,True,accelerator_dominates,programmable accelerator keeps software update path while reducing local compute and audit overhead
high_near_threshold_adversarial,hybrid_physicalized_safety_filter,102174.0,19303.6,74597.441748,183913200.0,919566000.0,4000.0,60000.0,17261.23475,11.796219,1763649399.296861,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
frequent_policy_update_regime,optimized_software_runtime,97671.071,50646.004,19754.169452,146506606.5,859505424.8,642.857143,0.0,18645.741358,11.157735,1821149528.011008,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
frequent_policy_update_regime,programmable_accelerator,97671.071,50646.004,19754.169452,146506606.5,859505424.8,2785.714286,15384.615385,8992.426036,9.09,878299881.81871,True,hybrid_falsified,programmable accelerator keeps software update path while reducing local compute and audit overhead
frequent_policy_update_regime,hybrid_physicalized_safety_filter,97671.071,50646.004,19754.169452,146506606.5,859505424.8,17142.857143,64615.384615,12323.825725,10.815702,1203681257.347464,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
audit_heavy_regulated_deployment,optimized_software_runtime,99581.429,53263.6,17637.464379,248953572.5,1792465722.0,50.0,0.0,28845.735278,21.357735,2872499539.549075,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
audit_heavy_regulated_deployment,programmable_accelerator,99581.429,53263.6,17637.464379,248953572.5,1792465722.0,216.666667,15384.615385,17904.896669,18.0025,1782995196.355511,True,accelerator_dominates,programmable accelerator keeps software update path while reducing local compute and audit overhead
audit_heavy_regulated_deployment,hybrid_physicalized_safety_filter,99581.429,53263.6,17637.464379,248953572.5,1792465722.0,1333.333333,64615.384615,22982.375798,21.662872,2288617823.822966,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
fallback_degraded_outage_regime,optimized_software_runtime,228014.0,74352.7,121795.95824,410425200.0,2052126000.0,150.0,0.0,35067.697442,11.657735,4365495719.214864,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
fallback_degraded_outage_regime,programmable_accelerator,228014.0,74352.7,121795.95824,410425200.0,2052126000.0,650.0,14285.714286,17320.351128,9.554,2156170043.074286,True,accelerator_dominates,programmable accelerator keeps software update path while reducing local compute and audit overhead
fallback_degraded_outage_regime,hybrid_physicalized_safety_filter,228014.0,74352.7,121795.95824,410425200.0,2052126000.0,4000.0,60000.0,28642.624213,12.067302,3565653365.075765,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
multi_tenant_underutilized_deployment,optimized_software_runtime,81792.857,7823.64,16595.852478,163585714.0,736135713.0,50.0,0.0,17941.735387,11.857735,1467505796.865295,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
multi_tenant_underutilized_deployment,programmable_accelerator,81792.857,7823.64,16595.852478,163585714.0,736135713.0,216.666667,83333.333333,9657.261483,9.754,789895007.47768,True,hybrid_falsified,programmable accelerator keeps software update path while reducing local compute and audit overhead
multi_tenant_underutilized_deployment,hybrid_physicalized_safety_filter,81792.857,7823.64,16595.852478,163585714.0,736135713.0,1333.333333,350000.0,12719.915944,11.482495,1040398265.846712,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
zero_invocation_control,optimized_software_runtime,0.0,0.0,0.0,0.0,0.0,50.0,0.0,inf,inf,50.0,True,hybrid_falsified,software keeps update flexibility and applies memory/runtime savings to every request
zero_invocation_control,programmable_accelerator,0.0,0.0,0.0,0.0,0.0,216.666667,10000000000000.0,inf,inf,10000000000216.666,False,not_selected,programmable accelerator keeps software update path while reducing local compute and audit overhead
zero_invocation_control,hybrid_physicalized_safety_filter,0.0,0.0,0.0,0.0,0.0,1333.333333,42000000000000.0,inf,inf,42000000001333.336,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
fallback_all_control,optimized_software_runtime,94458.571,0.0,94458.571,141687856.5,831235424.8,50.0,0.0,18645.735305,11.157735,1761249512.185965,False,not_selected,software keeps update flexibility and applies memory/runtime savings to every request
fallback_all_control,programmable_accelerator,94458.571,0.0,94458.571,141687856.5,831235424.8,216.666667,14285.714286,8992.393532,9.09,849408642.869992,True,hybrid_falsified,programmable accelerator keeps software update path while reducing local compute and audit overhead
fallback_all_control,hybrid_physicalized_safety_filter,94458.571,0.0,94458.571,141687856.5,831235424.8,1333.333333,60000.0,19028.933041,11.540284,1797445822.673849,False,not_selected,hybrid only receives fixed-compute savings for effective accepted fast-path volume
