variable,value_or_range,unit,source_type,citation_or_artifact_path,confidence,notes
dram_access_energy_proxy,"1300-2600",pJ/access,sourced,"[7]; [8]",medium,"Horowitz ISSCC table reports DRAM access scale; used as off-chip movement ratio anchor, not modern exact energy."
sram_8kb_access_energy_proxy,10,pJ/access,sourced,"[7]; [8]",medium,"Small local memory proxy for on-chip movement."
sram_32kb_access_energy_proxy,20,pJ/access,sourced,"[7]; [8]",medium,"Larger local memory proxy for bounded local movement."
sram_1mb_access_energy_proxy,100,pJ/access,sourced,"[7]; [8]",medium,"Upper local memory proxy for larger on-chip/cache-resident path."
int8_mac_energy_proxy,"0.2-1.5",pJ/MAC,inferred,"[7]; physicalized-weights/scripts/local_overhead_probe.py",low,"Bounded from older arithmetic energy tables and treated as a ratio-scale proxy for int8 dot products."
host_software_classifier_latency_proxy,"measured_by_probe",us/request,local_measured,physicalized-weights/data/local_overhead_probe.json,medium,"Local Python classifier proxy; not serving-stack truth."
programmable_accelerator_efficiency_proxy,"derived_bound",normalized,inferred,"[9]; [10]",low,"Public accelerator specs and MLPerf methodology motivate strong programmable baselines, not exact per-request energy."
feature_extraction_overhead,"0.5-4.0",us/request,modeled,physicalized-weights/docs/calibration_plan.md,low,"Bounded placeholder until M-WORKLOAD-1 traces feature extraction."
register_control_overhead,"0.05-0.8",us/request,modeled,physicalized-weights/docs/calibration_plan.md,low,"MMIO/register/control proxy for fast-path invocation."
audit_logging_overhead,"measured_by_probe",us/request,local_measured,physicalized-weights/data/local_overhead_probe.json,medium,"Local CSV/JSON logging proxy, interpreted as upper-bound-ish software audit cost."
fallback_dispatch_overhead,"measured_by_probe",us/request,local_measured,physicalized-weights/data/local_overhead_probe.json,medium,"Local branching/function-dispatch proxy."
update_rollback_overhead,"1000-1000000",requests/update_equivalent,modeled,physicalized-weights/docs/calibration_plan.md,low,"Equivalent request cost for signed image verification, activation, rollback, and quarantine."
utilization_bounds,"0.35-0.85",fraction,modeled,physicalized-weights/docs/calibration_plan.md,medium,"Stress range spanning poor to good fixed-path utilization."
request_volume_ranges,"0;100;1000;10000;100000;1000000;10000000",requests/day,modeled,physicalized-weights/scripts/calibrated_breakeven.py,medium,"Includes zero-volume falsification point and high-volume service cases."
update_cadence_ranges,"1;7;30;90;365",days/update,modeled,physicalized-weights/scripts/calibrated_breakeven.py,medium,"Daily/weekly/monthly/quarterly/yearly stress points."
software_runtime_memory_savings,"0.0;0.2;0.35;0.5",fraction,sourced,"physicalized-weights/data/breakeven_summary.json; [10]",medium,"Carries Phase 1 20-50% software pressure range and MLPerf-style system discipline."
fallback_frequency,"0.0;0.1;0.25;0.5;1.0",fraction,modeled,physicalized-weights/scripts/calibrated_breakeven.py,medium,"Includes full-fallback falsification point where physicalized fast path has no useful utilization."
