artifact_path,milestone_id,artifact_class,canonical,exists,size_bytes,sha256,regeneration_command,notes
physicalized-weights/docs/taxonomy_and_null.md,M-TAX-1,report,true,true,8891,de468fb925faed43941c23aa4ee2c1d3141bd8d71b78a79f2b7e20a38ce01f21,,
physicalized-weights/data/breakeven_summary.json,M-MODEL-1,summary_data,true,true,25328,a32d851d578f3d501597673b858535b305cb4cd99dcadc71f97cbdc19c1a2932,python3 physicalized-weights/scripts/breakeven_model.py,
physicalized-weights/data/target_scores_summary.json,M-TARGET-1,summary_data,true,true,14604,f25a6dbeacb06419b03236e6592ea9c2a35c4b5a91546ac7c75dc06bec3776cd,python3 physicalized-weights/scripts/target_scoring.py,
physicalized-weights/docs/target_ranking.md,M-TARGET-1,report,true,true,9092,cd8f4d42ae5ed92bd0160887267e60728dbaa8b910a8f3fe4560f8563c2fed69,,
physicalized-weights/docs/hybrid_safety_filter_architecture.md,M-ARCH-1,report,true,true,11391,19b6258d0c2e7194f81e3435f691b47ad673d1e39a6878fe94bc02b3d1e362cf,,
physicalized-weights/data/hybrid_arch_summary.json,M-ARCH-1,summary_data,true,true,11623,ab48ac7870f20b3cd1600a223764f22531e8fc44cfe2e0e477370c0f9579228f,python3 physicalized-weights/scripts/fallback_policy_sim.py,
physicalized-weights/data/prototype_verification_closure.json,M-PROTO-1,summary_data,true,true,3821,2eeed47545b50c113dc207f76350af3266eb61f1081a1ae87f04578655a76413,python3 physicalized-weights/scripts/verify_prototype_closure.py,
physicalized-weights/data/hdl_sim_results.csv,M-PROTO-1,evidence_data,true,true,598,0246f1f8e588f5da280310464c6cc4f75704a940e1ca609f1c99628f1ff2a3c3,python3 physicalized-weights/hdl/run_yosys_eval.py,
physicalized-weights/docs/prototype_verification_closure.md,M-PROTO-1,report,true,true,2964,718b13a04425dc1a243af55dd4171a578aea9c749d198b8d06445c84266a17d0,,
physicalized-weights/hdl/safety_filter_core.sv,M-PROTO-1,hdl_source,true,true,1607,0e8c8bf40b62aa9a97a203a7bdc879aa788c91b6a2ecd34522cf2ae1f03d1017,,
physicalized-weights/data/safety_filter_core_netlist.png,M-PROTO-1,figure,true,true,335518,979ad443f5bed269061c54aef14dbfab3e7db5ad45b429b78877b007a2b8f9dc,,
physicalized-weights/docs/final_synthesis.md,M-FINAL-1,report,true,true,19095,4e0b55d569e05b66d4942764242090ddd1a239b7d2a5084908e84687d34d918d,python3 physicalized-weights/scripts/build_final_synthesis.py,
physicalized-weights/docs/reproducibility.md,M-FINAL-1,report,true,true,8385,7bbc0be0ef2896c06992be2f40fe4bb92a3e286b316e24af560b9f11735365ff,python3 physicalized-weights/scripts/build_final_synthesis.py,
physicalized-weights/data/calibrated_breakeven_summary.json,M-CAL-1,summary_data,true,true,2437,50399b1c18b2933ce4476273be1367905385262291a55f324606b63ef19136cf,python3 physicalized-weights/scripts/calibrated_breakeven.py,
physicalized-weights/data/workload_summary.json,M-WORKLOAD-1,summary_data,true,true,10784,48b9b318d651cd3427bfe5eb074426f14a5df47bba8e4b74a4720a9466eff31f,python3 physicalized-weights/scripts/workload_trace_generator.py,
physicalized-weights/data/stronger_baseline_summary.json,M-SWBASE-2,summary_data,true,true,2561,025bbe6014dfbfa539b2a01a705c85964e24cd6ce47ebd4155bfad1e11e9c597,python3 physicalized-weights/scripts/stronger_baseline_model.py,
physicalized-weights/docs/stronger_baseline_comparison.md,M-SWBASE-2,report,true,true,3517,debcd9f4b89e9b4041188d459f45f564528b2c3b4ed8292574731e0ecad7a452,,
physicalized-weights/data/stronger_baseline_workload_comparison.png,M-SWBASE-2,figure,true,true,5232,5145fa6409f292928f7f9c230bfd4e35d8b6e1ba7a16a0ef8d722954056e51c3,python3 physicalized-weights/scripts/stronger_baseline_model.py,
physicalized-weights/data/phase2_synthesis_summary.json,M-SYNTH-2,summary_data,true,true,1535,eeadcb2bdd6ff1b95a3444fa243f50b00acf4fbdcabb9df6236121891b44aa50,python3 physicalized-weights/scripts/build_phase2_synthesis.py,
physicalized-weights/docs/phase2_synthesis_downgrade.md,M-SYNTH-2,report,true,true,5103,58841894327d6b459492ef2cce2b8dcdec1c867b3d469828460b2eaa8f83659a,,
physicalized-weights/data/phase2_evidence_map.png,M-SYNTH-2,figure,true,true,4166,fb97b283a3a482eaa54836949943b62541bf9a456c75a10bc2e272b005286d77,python3 physicalized-weights/scripts/build_phase2_synthesis.py,
physicalized-weights/data/production_trace_schema.json,M-TRACE-1,schema,true,true,5056,0ec4f128b708467ec96440302551d2519c8dde9c079183b1971e6f9b64cfac43,python3 physicalized-weights/scripts/production_trace_validator.py,
physicalized-weights/data/reopen_thresholds_summary.json,M-REOPEN-1,summary_data,true,true,3213,f1d29788c312c44c36dea201456466a07dc2ffe802a62334e9692245c5541908,python3 physicalized-weights/scripts/reopen_thresholds.py,
physicalized-weights/data/reopen_pipeline_summary.json,M-PIPELINE-1,summary_data,true,true,865,4c129122d2206892d69e64e0b03652f86df37c9c70911fa32b53726cc4447b14,python3 physicalized-weights/scripts/reopen_pipeline_demo.py,
physicalized-weights/data/evidence_pack_manifest_schema.json,M-EVIDENCEPACK-1,schema,true,true,1149,bb14c90a17456147d3641b010cdead00d1a805db4eff1bde898aaa0ef82e2d78,python3 physicalized-weights/scripts/evidence_pack_replay.py,
physicalized-weights/data/evidence_pack_replay_summary.json,M-EVIDENCEPACK-1,summary_data,true,true,1066,5486804032fadf489cbe4707a986a33818b54f0053831d8c98612ab6310a4b59,python3 physicalized-weights/scripts/evidence_pack_replay.py,
physicalized-weights/data/phase3_reopen_summary.json,M-PHASE3-SYNTH-1,summary_data,true,true,1780,b0ef34f926993bb44672b705bfdfdc46fad06cf69876f9804da6df68c9bb4582,python3 physicalized-weights/scripts/build_phase3_reopen_synthesis.py,
physicalized-weights/docs/phase3_reopen_pathway_summary.md,M-PHASE3-SYNTH-1,report,true,true,4979,1ccddf63d4df66f38bfb40d5e9aedab2e691b4ed6a692a46009cab852e2c709e,,
physicalized-weights/data/evidence_acquisition_readiness_summary.json,M-ACQUIRE-1,summary_data,true,true,1641,3cf452853643f44486f4ea5548ac2a96cba50b4af43c2bcb730fcf7b6d051ad0,python3 physicalized-weights/scripts/evidence_acquisition_readiness.py,
physicalized-weights/data/evidence_pack_dryrun_summary.json,M-DRYRUN-1,summary_data,true,true,2250,19d3436f5d11ab0caf407ebd9bc5b32b78bb6e05aa68fdd97c838008c69a2fe8,python3 physicalized-weights/scripts/evidence_pack_template_dryrun.py,dry-run fixture summary; non-production control artifact
physicalized-weights/data/evidence_pack_intake_rehearsal_summary.json,M-INTAKE-1,summary_data,true,true,1657,04aee29e4590c2089c8c4fdda9ec9bc31a0cc0d8970325dbde970fb49e79e3b4,python3 physicalized-weights/scripts/evidence_pack_intake_rehearsal.py,rehearsal fixture summary; non-production control artifact
physicalized-weights/data/reopen_uncertainty_summary.json,M-UNCERTAINTY-1,summary_data,true,true,1655,a3f0f7ca9b1c4d9aa5175ce6d1ae94c66df6190d6f801145fdad9bcd83f09144,python3 physicalized-weights/scripts/reopen_uncertainty_protocol.py,
physicalized-weights/docs/measured_reopen_uncertainty_protocol.md,M-UNCERTAINTY-1,report,true,true,3008,1764e1f318bdc7e1b098a948994c2ade91f53b90e5ab6e1089adceddb9c7339a,,
