case_id,description,artifact_class,source_actuality,acquisition_ready,dryrun_ready,intake_preserved,package_valid,hash_match,threshold_mapping_known,privacy_attestation,provenance_attestation,replay_valid,admissible_source,measured_terms,request_count,accepted_fast_path_count,fallback_frequency,threshold_crossed,uncertainty_classification,uncertainty_durable,hypothetical_control,current_artifact,expected_terminal_state
acquisition_shadow_ready_design,M-ACQUIRE-1-ready shadow design before collection.,acquisition_design,readiness_plan,true,false,false,false,false,true,false,false,false,true,false,0,0,0,false,not_evaluated,false,false,true,collection_ready_not_evidence
dryrun_complete_template_only,M-DRYRUN-1 complete template with no measured rows.,dryrun_template,template_dryrun,true,true,false,false,true,true,false,false,false,true,false,0,0,0,false,not_evaluated,false,false,true,dryrun_ready_not_evidence
intake_shadow_synthetic_non_crossing,M-INTAKE-1 shadow rehearsal package that reaches replay as non-crossing.,intake_rehearsal,synthetic_safe_rehearsal,true,true,true,true,true,true,true,true,true,true,true,6,4,0.33,false,not_evaluated,false,false,true,intake_rehearsed_not_evidence
intake_canary_synthetic_non_crossing,M-INTAKE-1 canary rehearsal package that reaches replay as non-crossing.,intake_rehearsal,synthetic_safe_rehearsal,true,true,true,true,true,true,true,true,true,true,true,6,4,0.33,false,not_evaluated,false,false,true,intake_rehearsed_not_evidence
synthetic_counterfactual_threshold_crossing,Synthetic replay crosses the point threshold but is not actual evidence.,evidence_pack_replay,synthetic_control,true,true,true,true,true,true,true,true,true,false,true,6,4,0.33,true,not_evaluated,false,false,true,threshold_crossed_nonactual
uncertainty_durable_synthetic_control,Synthetic control crosses the threshold and uncertainty rule but remains nonactual.,uncertainty_control,synthetic_control,true,true,true,true,true,true,true,true,true,false,true,1000000,800000,0.03,true,statistically_durable_nonactual_control,true,false,true,statistically_durable_nonactual
noisy_point_crossing_actual_like_blocked_by_uncertainty,Actual-like package crosses the point threshold but fails UCB durability.,future_measured_candidate_control,actual_measured_shadow,true,true,true,true,true,true,true,true,true,true,true,1000000,650000,0.08,true,point_crossing_not_statistically_durable,false,false,false,uncertainty_inconclusive
missing_privacy_attestation,Package has no privacy attestation and must stop before replay.,evidence_pack_replay,actual_measured_shadow,true,true,true,false,true,true,false,true,false,true,true,1000,700,0.1,true,not_evaluated,false,false,true,blocked_invalid_or_unsafe
stale_trace_hash,Hash mismatch from M-EVIDENCEPACK-1/M-INTAKE-1 blocks before threshold evaluation.,evidence_pack_replay,actual_measured_shadow,true,true,false,false,false,true,true,true,false,true,true,1000,700,0.1,true,not_evaluated,false,false,true,replay_blocked
unknown_threshold_mapping,Unknown threshold scenario blocks before threshold or uncertainty evaluation.,evidence_pack_replay,actual_measured_shadow,true,true,true,false,true,false,true,true,false,true,true,1000,700,0.1,true,not_evaluated,false,false,true,replay_blocked
zero_volume_measured_like,Measured-like package with zero request volume cannot create amortized margin evidence.,future_measured_candidate_control,actual_measured_shadow,true,true,true,true,true,true,true,true,true,true,true,0,0,0,true,blocked_zero_volume,false,false,false,blocked_invalid_or_unsafe
all_fallback_measured_like,Measured-like package with all fallback has no accepted physicalized fast-path credit.,future_measured_candidate_control,actual_measured_canary,true,true,true,true,true,true,true,true,true,true,true,100000,0,1,true,blocked_all_fallback,false,false,false,blocked_invalid_or_unsafe
proxy_replay_valid_nonactual,Proxy package is replay-valid enough to diagnose but cannot proceed as actual evidence.,evidence_pack_replay,local_proxy,true,true,true,true,true,true,true,true,true,false,false,100000,60000,0.1,false,not_evaluated,false,false,true,replay_valid_nonactual
actual_measured_threshold_not_crossed_control,Actual-like measured package reaches threshold evaluation but does not cross.,future_measured_candidate_control,actual_measured_shadow,true,true,true,true,true,true,true,true,true,true,true,1000000,700000,0.05,false,not_evaluated,false,false,false,threshold_evaluable_not_crossed
hypothetical_actual_measured_durable_candidate_control,"Positive control for a future fully measured, durable, privacy-safe candidate branch.",future_measured_candidate_control,actual_measured_canary,true,true,true,true,true,true,true,true,true,true,true,1000000,850000,0.02,true,statistically_durable_actual_candidate,true,true,false,actual_reopen_candidate
