workload_class,object_class,architecture_option,risk_class,synthetic_risk_score,mitigation_overhead_proxy,expected_security_loss_proxy,retained_value_proxy,security_adjusted_value_proxy,reversal_due_to_security,claim_type,evidence_label
RAG,weights,B_memory_object_aware_runtime,leakage,1.485,0.31,0.668,10.8,9.822,false,simulated,synthetic
batch summarization/offline inference control,weights,A_conventional_request_model_kv_serving,leakage,1.1,0.23,0.495,-2.0,-2.725,false,simulated,synthetic
code-agent loop,weights,C_trajectory_dag_memory_fabric,leakage,1.925,0.437,0.866,31.8,30.497,false,simulated,synthetic
multi-agent branch/merge,weights,C_trajectory_dag_memory_fabric,leakage,1.925,0.437,0.866,50.0,48.697,false,simulated,synthetic
single-turn chat control,weights,A_conventional_request_model_kv_serving,leakage,1.1,0.23,0.495,-2.0,-2.725,false,simulated,synthetic
verification-heavy,weights,C_trajectory_dag_memory_fabric,leakage,1.925,0.437,0.866,33.8,32.497,false,simulated,synthetic
RAG,KV cache,B_memory_object_aware_runtime,leakage,2.97,0.419,1.337,10.8,9.045,false,simulated,synthetic
RAG,KV cache,B_memory_object_aware_runtime,cross-tenant aliasing,2.97,0.419,1.337,10.8,9.045,false,simulated,synthetic
batch summarization/offline inference control,KV cache,A_conventional_request_model_kv_serving,leakage,2.2,0.31,0.99,-2.0,-3.3,false,simulated,synthetic
batch summarization/offline inference control,KV cache,A_conventional_request_model_kv_serving,cross-tenant aliasing,2.2,0.31,0.99,-2.0,-3.3,false,simulated,synthetic
code-agent loop,KV cache,C_trajectory_dag_memory_fabric,leakage,3.85,0.589,1.733,31.8,29.478,false,simulated,synthetic
code-agent loop,KV cache,C_trajectory_dag_memory_fabric,cross-tenant aliasing,3.85,0.589,1.733,31.8,29.478,false,simulated,synthetic
multi-agent branch/merge,KV cache,C_trajectory_dag_memory_fabric,leakage,3.85,0.589,1.733,50.0,47.678,false,simulated,synthetic
multi-agent branch/merge,KV cache,C_trajectory_dag_memory_fabric,cross-tenant aliasing,3.85,0.589,1.733,50.0,47.678,false,simulated,synthetic
single-turn chat control,KV cache,A_conventional_request_model_kv_serving,leakage,2.2,0.31,0.99,-2.0,-3.3,false,simulated,synthetic
single-turn chat control,KV cache,A_conventional_request_model_kv_serving,cross-tenant aliasing,2.2,0.31,0.99,-2.0,-3.3,false,simulated,synthetic
verification-heavy,KV cache,C_trajectory_dag_memory_fabric,leakage,3.85,0.589,1.733,33.8,31.478,false,simulated,synthetic
verification-heavy,KV cache,C_trajectory_dag_memory_fabric,cross-tenant aliasing,3.85,0.589,1.733,33.8,31.478,false,simulated,synthetic
RAG,prefix cache,B_memory_object_aware_runtime,leakage,4.455,0.527,2.005,10.8,8.268,false,simulated,synthetic
RAG,prefix cache,B_memory_object_aware_runtime,cross-tenant aliasing,4.455,0.527,2.005,10.8,8.268,false,simulated,synthetic
RAG,prefix cache,B_memory_object_aware_runtime,stale reuse,2.835,1.269,0.709,10.8,8.822,false,simulated,synthetic
code-agent loop,prefix cache,C_trajectory_dag_memory_fabric,leakage,5.775,0.741,2.599,31.8,28.46,false,simulated,synthetic
code-agent loop,prefix cache,C_trajectory_dag_memory_fabric,cross-tenant aliasing,5.775,0.741,2.599,31.8,28.46,false,simulated,synthetic
code-agent loop,prefix cache,C_trajectory_dag_memory_fabric,stale reuse,3.675,1.786,0.919,31.8,29.095,false,simulated,synthetic
