grid_id,max_covariate_imbalance_smd,positivity_overlap_fraction,baseline_effect_ms,estimated_effect_ms,threshold_value,apparent_threshold_passed,causal_status
imbalance-0.0-overlap-0.35-effect-4.5,0.00,0.35,4.50,5.40,5.50,false,causally_unidentified
imbalance-0.0-overlap-0.35-effect-6.0,0.00,0.35,6.00,6.90,5.50,true,causally_unidentified
imbalance-0.0-overlap-0.35-effect-7.4,0.00,0.35,7.40,8.30,5.50,true,causally_unidentified
imbalance-0.0-overlap-0.65-effect-4.5,0.00,0.65,4.50,4.80,5.50,false,causally_unidentified
imbalance-0.0-overlap-0.65-effect-6.0,0.00,0.65,6.00,6.30,5.50,true,causally_unidentified
imbalance-0.0-overlap-0.65-effect-7.4,0.00,0.65,7.40,7.70,5.50,true,causally_unidentified
imbalance-0.0-overlap-0.85-effect-4.5,0.00,0.85,4.50,4.50,5.50,false,causally_admissible
imbalance-0.0-overlap-0.85-effect-6.0,0.00,0.85,6.00,6.00,5.50,true,causally_admissible
imbalance-0.0-overlap-0.85-effect-7.4,0.00,0.85,7.40,7.40,5.50,true,causally_admissible
imbalance-0.0-overlap-0.95-effect-4.5,0.00,0.95,4.50,4.50,5.50,false,causally_admissible
imbalance-0.0-overlap-0.95-effect-6.0,0.00,0.95,6.00,6.00,5.50,true,causally_admissible
imbalance-0.0-overlap-0.95-effect-7.4,0.00,0.95,7.40,7.40,5.50,true,causally_admissible
imbalance-0.05-overlap-0.35-effect-4.5,0.05,0.35,4.50,5.65,5.50,true,causally_unidentified
imbalance-0.05-overlap-0.35-effect-6.0,0.05,0.35,6.00,7.15,5.50,true,causally_unidentified
imbalance-0.05-overlap-0.35-effect-7.4,0.05,0.35,7.40,8.55,5.50,true,causally_unidentified
imbalance-0.05-overlap-0.65-effect-4.5,0.05,0.65,4.50,5.05,5.50,false,causally_unidentified
imbalance-0.05-overlap-0.65-effect-6.0,0.05,0.65,6.00,6.55,5.50,true,causally_unidentified
imbalance-0.05-overlap-0.65-effect-7.4,0.05,0.65,7.40,7.95,5.50,true,causally_unidentified
imbalance-0.05-overlap-0.85-effect-4.5,0.05,0.85,4.50,4.75,5.50,false,causally_admissible
imbalance-0.05-overlap-0.85-effect-6.0,0.05,0.85,6.00,6.25,5.50,true,causally_admissible
imbalance-0.05-overlap-0.85-effect-7.4,0.05,0.85,7.40,7.65,5.50,true,causally_admissible
imbalance-0.05-overlap-0.95-effect-4.5,0.05,0.95,4.50,4.75,5.50,false,causally_admissible
imbalance-0.05-overlap-0.95-effect-6.0,0.05,0.95,6.00,6.25,5.50,true,causally_admissible
imbalance-0.05-overlap-0.95-effect-7.4,0.05,0.95,7.40,7.65,5.50,true,causally_admissible
imbalance-0.15-overlap-0.35-effect-4.5,0.15,0.35,4.50,6.15,5.50,true,causally_unidentified
imbalance-0.15-overlap-0.35-effect-6.0,0.15,0.35,6.00,7.65,5.50,true,causally_unidentified
imbalance-0.15-overlap-0.35-effect-7.4,0.15,0.35,7.40,9.05,5.50,true,causally_unidentified
imbalance-0.15-overlap-0.65-effect-4.5,0.15,0.65,4.50,5.55,5.50,true,causally_unidentified
imbalance-0.15-overlap-0.65-effect-6.0,0.15,0.65,6.00,7.05,5.50,true,causally_unidentified
imbalance-0.15-overlap-0.65-effect-7.4,0.15,0.65,7.40,8.45,5.50,true,causally_unidentified
imbalance-0.15-overlap-0.85-effect-4.5,0.15,0.85,4.50,5.25,5.50,false,causally_confounded
imbalance-0.15-overlap-0.85-effect-6.0,0.15,0.85,6.00,6.75,5.50,true,causally_confounded
imbalance-0.15-overlap-0.85-effect-7.4,0.15,0.85,7.40,8.15,5.50,true,causally_confounded
imbalance-0.15-overlap-0.95-effect-4.5,0.15,0.95,4.50,5.25,5.50,false,causally_confounded
imbalance-0.15-overlap-0.95-effect-6.0,0.15,0.95,6.00,6.75,5.50,true,causally_confounded
imbalance-0.15-overlap-0.95-effect-7.4,0.15,0.95,7.40,8.15,5.50,true,causally_confounded
imbalance-0.3-overlap-0.35-effect-4.5,0.30,0.35,4.50,6.90,5.50,true,causally_unidentified
imbalance-0.3-overlap-0.35-effect-6.0,0.30,0.35,6.00,8.40,5.50,true,causally_unidentified
imbalance-0.3-overlap-0.35-effect-7.4,0.30,0.35,7.40,9.80,5.50,true,causally_unidentified
imbalance-0.3-overlap-0.65-effect-4.5,0.30,0.65,4.50,6.30,5.50,true,causally_unidentified
imbalance-0.3-overlap-0.65-effect-6.0,0.30,0.65,6.00,7.80,5.50,true,causally_unidentified
imbalance-0.3-overlap-0.65-effect-7.4,0.30,0.65,7.40,9.20,5.50,true,causally_unidentified
imbalance-0.3-overlap-0.85-effect-4.5,0.30,0.85,4.50,6.00,5.50,true,causally_confounded
imbalance-0.3-overlap-0.85-effect-6.0,0.30,0.85,6.00,7.50,5.50,true,causally_confounded
imbalance-0.3-overlap-0.85-effect-7.4,0.30,0.85,7.40,8.90,5.50,true,causally_confounded
imbalance-0.3-overlap-0.95-effect-4.5,0.30,0.95,4.50,6.00,5.50,true,causally_confounded
imbalance-0.3-overlap-0.95-effect-6.0,0.30,0.95,6.00,7.50,5.50,true,causally_confounded
imbalance-0.3-overlap-0.95-effect-7.4,0.30,0.95,7.40,8.90,5.50,true,causally_confounded
