case_id,bundle_id,attestation_status,key_id,key_state,signature_checked,signature_valid,manifest_digest_bound,payload_digest_set_bound,adapter_conformance_digest_bound,operator_identity_valid,collector_identity_valid,collection_window_valid,replay_checked,replay_valid,evidence_label,attestation_source_trusted,production_trust_established,production_target_granted,production_calibrated,production_ready,claim_credit_allowed,expected_blocked_reason,blocked_reason
valid-test-attestation,intake-bundle-001,mechanically_valid,test-key-active-a,active,true,true,true,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,,
invalid-missing-signature,intake-bundle-001,blocked,test-key-active-a,active,false,false,true,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,missing_signature,missing_signature
invalid-unknown-key,intake-bundle-001,blocked,test-key-unknown-a,unknown,true,false,true,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,unknown_key_id,unknown_key_id
invalid-expired-key,intake-bundle-001,blocked,test-key-expired-a,expired,true,true,true,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,expired_key,expired_key
invalid-revoked-key,intake-bundle-001,blocked,test-key-revoked-a,revoked,true,true,true,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,revoked_key,revoked_key
invalid-wrong-operator,intake-bundle-001,blocked,test-key-active-a,active,true,true,true,true,true,false,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,operator_identity_mismatch,operator_identity_mismatch
invalid-wrong-collector,intake-bundle-001,blocked,test-key-active-a,active,true,true,true,true,true,true,false,true,true,true,test_attestation_fixture,false,false,false,false,false,false,collector_identity_mismatch,collector_identity_mismatch
invalid-mismatched-manifest-digest,intake-bundle-001,blocked,test-key-active-a,active,true,true,false,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,mismatched_manifest_digest,mismatched_manifest_digest
invalid-mismatched-payload-digest-set,intake-bundle-001,blocked,test-key-active-a,active,true,true,true,false,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,mismatched_payload_digest_set,mismatched_payload_digest_set
invalid-stale-collection-window,intake-bundle-001,blocked,test-key-active-a,active,true,true,true,true,true,true,true,false,true,true,test_attestation_fixture,false,false,false,false,false,false,stale_collection_window,stale_collection_window
invalid-replayed-bundle-id,replayed-intake-bundle-001,blocked,test-key-active-a,active,true,true,true,true,true,true,true,true,true,false,test_attestation_fixture,false,false,false,false,false,false,replayed_bundle_id,replayed_bundle_id
invalid-fixture-production-trust,intake-bundle-001,blocked,test-key-active-a,active,true,true,true,true,true,true,true,true,true,true,test_attestation_fixture,false,false,false,false,false,false,fixture_attempted_production_trust,fixture_attempted_production_trust
