case_id,case_type,policy_profile_id,source_fixture_id,measurement_run_pseudonym,bundle_pseudonym,collector_pseudonym,tenant_pseudonym,object_pseudonym,object_pseudonym_interval_2,workload_label,topology_bucket,topology_granularity,security_context_pseudonym,noise_floor_class,clock_domain_pseudonym,interval_id,raw_tenant_identifier,raw_tool_output_uri,join_key_collision_count,evidence_label,expected_blocked_reason,notes
invalid-unknown-source-fixture,invalid_fixture,profile-unknown-source-fixture,not-a-timebase-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,unknown_source_fixture_id,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-missing-source-fixture,invalid_fixture,profile-missing-source-fixture,,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,missing_source_fixture_id,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-unsupported-evidence-label,invalid_fixture,profile-unsupported-evidence-label,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,host_local_proxy,unsupported_evidence_label,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-missing-evidence-label,invalid_fixture,profile-missing-evidence-label,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,,unsupported_evidence_label,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-empty-redaction-policy,invalid_fixture,profile-empty-redaction-policy,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,,,object-pseudo-ragctx-001,,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,missing_tenant_pseudonym,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-all-fields-raw,invalid_fixture,profile-all-fields-raw,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,tenant-prod-acme-payroll,s3://prod-tool-output/customer/doc,0,redaction_integrity_fixture,raw_tenant_identifier_leaked,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-all-fields-suppressed,invalid_fixture,profile-all-fields-suppressed,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,,,object-pseudo-ragctx-001,,,threshold_topology_bucket,,,,interval-0001,,,0,redaction_integrity_fixture,missing_tenant_pseudonym,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-missing-tenant-pseudonym,invalid_fixture,profile-missing-tenant-pseudonym,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,missing_tenant_pseudonym,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-unstable-object-pseudonym,invalid_fixture,profile-unstable-object-pseudonym,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-rotated,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,unstable_object_pseudonym_across_intervals,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-removed-workload-label,invalid_fixture,profile-removed-workload-label,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,removed_workload_label,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-topology-overcoarsened,invalid_fixture,profile-topology-overcoarsened,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,region-wide,region_only,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,topology_coarsened_past_threshold_replay,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-suppressed-security-context,invalid_fixture,profile-suppressed-security-context,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,suppressed_security_context,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-removed-noise-metadata,invalid_fixture,profile-removed-noise-metadata,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,,clock-domain-pseudo-ptp-a,interval-0001,,,0,redaction_integrity_fixture,removed_measurement_noise_metadata,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-redacted-clock-domain,invalid_fixture,profile-redacted-clock-domain,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,,interval-0001,,,0,redaction_integrity_fixture,redacted_clock_domain,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-raw-tenant-identifier,invalid_fixture,profile-raw-tenant-identifier,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,tenant-prod-acme-payroll,,0,redaction_integrity_fixture,raw_tenant_identifier_leaked,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-raw-tool-output-uri,invalid_fixture,profile-raw-tool-output-uri,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,s3://prod-tool-output/customer/doc,0,redaction_integrity_fixture,raw_tool_output_uri_leaked,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-join-key-collision,invalid_fixture,profile-join-key-collision,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,shared-pseudo,shared-pseudo,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,2,redaction_integrity_fixture,irreversible_join_key_collision,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-negative-join-key-collision,invalid_fixture,profile-negative-join-key-collision,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,-1,redaction_integrity_fixture,negative_join_key_collision_count,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-nonnumeric-join-key-collision,invalid_fixture,profile-nonnumeric-join-key-collision,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,not-an-integer,redaction_integrity_fixture,invalid_join_key_collision_count,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
invalid-fixture-attempted-production-calibration,invalid_fixture,profile-fixture-attempted-production-calibration,valid-timebase-complete-fixture,run-pseudo-001,bundle-pseudo-001,collector-pseudo-001,tenant-pseudo-001,object-pseudo-ragctx-001,object-pseudo-ragctx-001,RAG,target_cxl_pool,threshold_topology_bucket,security-context-pseudo-001,above_dc12_noise_floor,clock-domain-pseudo-ptp-a,interval-0001,,,0,production_target,fixture_attempted_production_calibration,malformed redaction must fail closed as privacy_leakage or replay_nonidentifiable
