path_id,evidence_label,last_state_seen,blocked_at_state,production_claim_credit_allowed,boundary_reason,option_bc_contract_ready_only
invalid-empty-path,,,,false,empty_path,true
invalid-failed-attestation,production_target,handoff_traceable,attestation_mechanically_valid,false,failed_attestation_mechanically_valid,true
invalid-final-readiness-without-handoff,production_target,final_readiness_update_eligible,final_readiness_update_eligible,false,final_readiness_without_handoff_traceability,true
invalid-fixture-evidence-production-ingestion,production_intake_fixture,handoff_traceable,production_ingestion_accepted,false,non_production_evidence_label,true
invalid-mismatched-bundle-id,production_target,handoff_traceable,intake_structurally_admissible,false,mismatched_bundle_id,true
invalid-mismatched-collector-id,production_target,handoff_traceable,attestation_mechanically_valid,false,mismatched_collector_id,true
invalid-mismatched-measurement-run-id,production_target,handoff_traceable,adapter_normalized,false,mismatched_measurement_run_id,true
invalid-mismatched-operator-id,production_target,handoff_traceable,trust_policy_admissible,false,mismatched_operator_id,true
invalid-mismatched-schema-version,production_target,handoff_traceable,production_ingestion_accepted,false,mismatched_schema_version,true
invalid-out-of-order-threshold,production_target,handoff_traceable,production_ingestion_accepted,false,out_of_order_state,true
invalid-proxy-evidence-threshold-credit,host_local_proxy,handoff_traceable,threshold_replay_passed,false,proxy_evidence_threshold_credit_blocked,true
invalid-skipped-adapter-conformance,production_target,handoff_traceable,adapter_normalized,false,skipped_adapter_conformance,true
invalid-skipped-attestation,production_target,handoff_traceable,trust_policy_admissible,false,skipped_attestation,true
invalid-skipped-intake,production_target,handoff_traceable,adapter_conformant,false,skipped_intake,true
invalid-skipped-trust-policy,production_target,handoff_traceable,intake_structurally_admissible,false,skipped_trust_policy,true
invalid-threshold-without-noise-floor,production_target,handoff_traceable,threshold_replay_passed,false,threshold_without_noise_floor,true
invalid-threshold-without-security,production_target,handoff_traceable,noise_floor_passed,false,threshold_without_security_provenance,true
valid-current-fixture-quarantined,operator_trust_policy_fixture,handoff_traceable,production_ingestion_accepted,false,non_production_evidence_label,true
valid-synthetic-production-shaped-quarantined,synthetic_production_fixture,handoff_traceable,production_ingestion_accepted,false,non_production_evidence_label,true
