case_id,case_type,source_fixture_id,measurement_run_id,bundle_id,collector_id,schema_version,evidence_label,timing_admissible,threshold_replay_status,threshold_crossed_if_valid,blocked_field,blocked_reason,expected_blocked_reason,expected_reason_matched,production_calibrated,production_ready,claim_credit_allowed,measurement_quality_precondition_only
valid-timebase-complete-fixture,valid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,true,threshold_passed,true,,,,true,false,false,false,true
invalid-unknown-source-fixture,invalid_fixture,unknown-threshold-row,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,false,source_fixture_id,unknown_source_fixture_id,unknown_source_fixture_id,true,false,false,false,true
invalid-measurement-run-id-mismatch,invalid_fixture,valid-dc002-rag-c,wrong-run,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,measurement_run_id,measurement_run_id_mismatch,measurement_run_id_mismatch,true,false,false,false,true
invalid-bundle-id-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,wrong-bundle,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,bundle_id,bundle_id_mismatch,bundle_id_mismatch,true,false,false,false,true
invalid-collector-id-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,wrong-collector,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,collector_id,collector_id_mismatch,collector_id_mismatch,true,false,false,false,true
invalid-schema-version-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,wrong_schema_v9,timebase_integrity_fixture,false,measurement_invalid,true,schema_version,schema_version_mismatch,schema_version_mismatch,true,false,false,false,true
invalid-missing-clock-domain,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,clock_domain_id,missing_clock_domain,missing_clock_domain,true,false,false,false,true
invalid-cross-source-skew,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,max_cross_source_skew_ms,cross_source_skew_above_tolerance,cross_source_skew_above_tolerance,true,false,false,false,true
invalid-negative-skew,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,max_cross_source_skew_ms,negative_cross_source_skew,negative_cross_source_skew,true,false,false,false,true
invalid-interval-overlap-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,power_interval_start_ms,interval_overlap_mismatch,interval_overlap_mismatch,true,false,false,false,true
invalid-interval-gap,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,latency_interval_start_ms,interval_gap,interval_gap,true,false,false,false,true
invalid-inconsistent-sampling-period,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,sampling_period_ms,inconsistent_sampling_period,inconsistent_sampling_period,true,false,false,false,true
invalid-zero-sampling-period,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,sampling_period_ms,non_positive_sampling_period,non_positive_sampling_period,true,false,false,false,true
invalid-negative-jitter,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,sampling_jitter_ms,negative_sampling_jitter,negative_sampling_jitter,true,false,false,false,true
invalid-stale-workload-label,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,workload_label_sampled_at_ms,stale_workload_label,stale_workload_label,true,false,false,false,true
invalid-missing-overhead-estimate,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,collector_overhead_pct,missing_collector_overhead_estimate,missing_collector_overhead_estimate,true,false,false,false,true
invalid-overhead-above-budget,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,collector_overhead_pct,observer_overhead_above_budget,observer_overhead_above_budget,true,false,false,false,true
invalid-negative-overhead,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,collector_overhead_pct,negative_collector_overhead,negative_collector_overhead,true,false,false,false,true
invalid-counter-reset-inside-interval,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,false,measurement_invalid,true,counter_sequence_end,counter_reset_inside_interval,counter_reset_inside_interval,true,false,false,false,true
