threshold_id,workload_class,object_class,placement_tier,latency_percentile,contention_setting,benefit_margin,collapse_threshold,decision,evidence_label
DC002-RAG-B-p50,RAG,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,10.8,10.8,warm_tier_helps,synthetic_sensitivity
DC002-RAG-B-p95,RAG,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p95,2.0,10.8,10.8,warm_tier_helps,synthetic_sensitivity
DC002-RAG-B-p99,RAG,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99,8.0,10.8,10.8,warm_tier_helps,synthetic_sensitivity
DC002-RAG-B-p99_pathological,RAG,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,10.8,10.8,downgrade_warm_tier,synthetic_sensitivity
DC002-RAG-C-p50,RAG,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p50,0.5,8.8,5.5,warm_tier_helps,synthetic_sensitivity
DC002-RAG-C-p95,RAG,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p95,2.0,8.8,5.5,warm_tier_helps,synthetic_sensitivity
DC002-RAG-C-p99,RAG,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99,8.0,8.8,5.5,downgrade_warm_tier,synthetic_sensitivity
DC002-RAG-C-p99_pathological,RAG,branch state; verifier state; trajectory log; durable workspace,CXL_or_pooled_memory_warm_tier,p99_pathological,1000.0,8.8,5.5,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-B-p50,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p50,0.5,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-B-p95,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p95,2.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
DC002-batch summarization/offline inference control-B-p99,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,CXL_or_pooled_memory_warm_tier,p99,8.0,0.0,0.0,downgrade_warm_tier,synthetic_sensitivity
