sensitivity_case_id,source_fixture_id,skew_ms,jitter_ms,collector_overhead_pct,skew_tolerance_ms,jitter_tolerance_ms,observer_perturbation_budget_pct,threshold_crossed_if_valid,threshold_replay_status,interpretability
timebase-sensitivity-001,valid-dc002-rag-c,0,0,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-002,valid-dc002-rag-c,0,0,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-003,valid-dc002-rag-c,0,0,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-004,valid-dc002-rag-c,0,0,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-005,valid-dc002-rag-c,0,0,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-006,valid-dc002-rag-c,0,10,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-007,valid-dc002-rag-c,0,10,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-008,valid-dc002-rag-c,0,10,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-009,valid-dc002-rag-c,0,10,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-010,valid-dc002-rag-c,0,10,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-011,valid-dc002-rag-c,0,25,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-012,valid-dc002-rag-c,0,25,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-013,valid-dc002-rag-c,0,25,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-014,valid-dc002-rag-c,0,25,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-015,valid-dc002-rag-c,0,25,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-016,valid-dc002-rag-c,0,35,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-017,valid-dc002-rag-c,0,35,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-018,valid-dc002-rag-c,0,35,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-019,valid-dc002-rag-c,0,35,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-020,valid-dc002-rag-c,0,35,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-021,valid-dc002-rag-c,10,0,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-022,valid-dc002-rag-c,10,0,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-023,valid-dc002-rag-c,10,0,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-024,valid-dc002-rag-c,10,0,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-025,valid-dc002-rag-c,10,0,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-026,valid-dc002-rag-c,10,10,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-027,valid-dc002-rag-c,10,10,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-028,valid-dc002-rag-c,10,10,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-029,valid-dc002-rag-c,10,10,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-030,valid-dc002-rag-c,10,10,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-031,valid-dc002-rag-c,10,25,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-032,valid-dc002-rag-c,10,25,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-033,valid-dc002-rag-c,10,25,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-034,valid-dc002-rag-c,10,25,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-035,valid-dc002-rag-c,10,25,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-036,valid-dc002-rag-c,10,35,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-037,valid-dc002-rag-c,10,35,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-038,valid-dc002-rag-c,10,35,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-039,valid-dc002-rag-c,10,35,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-040,valid-dc002-rag-c,10,35,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-041,valid-dc002-rag-c,25,0,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-042,valid-dc002-rag-c,25,0,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-043,valid-dc002-rag-c,25,0,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-044,valid-dc002-rag-c,25,0,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-045,valid-dc002-rag-c,25,0,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-046,valid-dc002-rag-c,25,10,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-047,valid-dc002-rag-c,25,10,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-048,valid-dc002-rag-c,25,10,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-049,valid-dc002-rag-c,25,10,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-050,valid-dc002-rag-c,25,10,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-051,valid-dc002-rag-c,25,25,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-052,valid-dc002-rag-c,25,25,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-053,valid-dc002-rag-c,25,25,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-054,valid-dc002-rag-c,25,25,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-055,valid-dc002-rag-c,25,25,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-056,valid-dc002-rag-c,25,35,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-057,valid-dc002-rag-c,25,35,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-058,valid-dc002-rag-c,25,35,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-059,valid-dc002-rag-c,25,35,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-060,valid-dc002-rag-c,25,35,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-061,valid-dc002-rag-c,50,0,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-062,valid-dc002-rag-c,50,0,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-063,valid-dc002-rag-c,50,0,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-064,valid-dc002-rag-c,50,0,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-065,valid-dc002-rag-c,50,0,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-066,valid-dc002-rag-c,50,10,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-067,valid-dc002-rag-c,50,10,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-068,valid-dc002-rag-c,50,10,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-069,valid-dc002-rag-c,50,10,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-070,valid-dc002-rag-c,50,10,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-071,valid-dc002-rag-c,50,25,0.0,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-072,valid-dc002-rag-c,50,25,2.5,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-073,valid-dc002-rag-c,50,25,4.9,50,25,5.0,true,threshold_passed,identifiable
timebase-sensitivity-074,valid-dc002-rag-c,50,25,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-075,valid-dc002-rag-c,50,25,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-076,valid-dc002-rag-c,50,35,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-077,valid-dc002-rag-c,50,35,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-078,valid-dc002-rag-c,50,35,4.9,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-079,valid-dc002-rag-c,50,35,5.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-080,valid-dc002-rag-c,50,35,7.5,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-081,valid-dc002-rag-c,75,0,0.0,50,25,5.0,true,measurement_invalid,non_identifiable
timebase-sensitivity-082,valid-dc002-rag-c,75,0,2.5,50,25,5.0,true,measurement_invalid,non_identifiable
