case_id,expected_status,observed_status,matched_expected,primary_reason,age_hours,ttl_hours,evidence_label,upstream_replay_state,copied_old_replay_result
fresh_prior_production_replay,currently_supportable,currently_supportable,true,within_ttl_and_no_drift,0,168,production_target,production_supported,false
t0_without_upstream_production,not_production_supported,not_production_supported,true,upstream_or_label_not_production_supported,0,168,production_target,not_production_supported,false
dry_run_fixture_attempt,not_production_supported,not_production_supported,true,upstream_or_label_not_production_supported,0,168,collector_dry_run_fixture,production_supported,false
synthetic_proxy_attempt,not_production_supported,not_production_supported,true,upstream_or_label_not_production_supported,0,168,synthetic_proxy,production_supported,false
age_exceeds_policy_ttl,expired,expired,true,evidence_age_exceeds_or_equals_ttl,169,168,production_target,production_supported,false
age_equals_policy_ttl,expired,expired,true,evidence_age_exceeds_or_equals_ttl,168,168,production_target,production_supported,false
model_version_changed,invalidated_by_change,invalidated_by_change,true,model_version_changed,0,168,production_target,production_supported,false
topology_changed,invalidated_by_change,invalidated_by_change,true,topology_changed,0,168,production_target,production_supported,false
workload_mix_outside_overlap,revalidation_required,revalidation_required,true,workload_mix_outside_causal_overlap,0,168,production_target,production_supported,false
scheduler_policy_changed,revalidation_required,revalidation_required,true,scheduler_policy_changed,0,168,production_target,production_supported,false
memory_tier_regime_shifted,revalidation_required,revalidation_required,true,memory_tier_latency_or_energy_regime_shifted,0,168,production_target,production_supported,false
collector_rotated_without_reenrollment,invalidated_by_change,invalidated_by_change,true,collector_identity_rotated_without_reenrollment,0,168,production_target,production_supported,false
trust_policy_rotated,invalidated_by_change,invalidated_by_change,true,trust_policy_rotated,0,168,production_target,production_supported,false
security_deny_rate_drifted,revalidation_required,revalidation_required,true,security_deny_rate_drifted,0,168,production_target,production_supported,false
redaction_policy_changed,invalidated_by_change,invalidated_by_change,true,redaction_policy_changed,0,168,production_target,production_supported,false
uncertainty_interval_widened,revalidation_required,revalidation_required,true,uncertainty_interval_widened,0,168,production_target,production_supported,false
causal_controls_not_comparable,revalidation_required,revalidation_required,true,causal_controls_no_longer_comparable,0,168,production_target,production_supported,false
copied_old_replay_after_drift,revalidation_required,revalidation_required,true,scheduler_policy_changed,0,168,production_target,production_supported,true
