claim_id,claim,claim_type,supporting_artifacts,assumptions,falsification_condition,risk_level
CL-001,"Control workloads with no durable, branch, or cross-request reuse variables collapse to conventional Option A serving.",validated_artifact,data/runtime_workload_summary.csv; data/queueing_architecture_winners.csv; data/scheduling_regime_winners.csv,single-turn and batch/offline controls have zero material DAG dependence,A control trace shows positive non-KV retained value and valid reuse that beats Option A under overheads.,low
CL-002,"RAG-like workloads justify Option B when retrieved-context, semantic-cache, or prefix reuse survives provenance and freshness checks.",simulated,data/runtime_workload_summary.csv; data/compression_workload_summary.csv; data/security_workload_summary.csv,semantic-cache correctness and invalidation costs are not calibrated,Measured stale/false-positive or validation costs make safe object reuse consistently negative.,medium
CL-003,"Option C is justified only when branch survival, verifier state, trajectory logs, and durable workspace state create retained value after coordination costs.",simulated,data/runtime_workload_summary.csv; data/queueing_architecture_winners.csv; data/security_workload_summary.csv,production trajectory reuse distribution is deferred,Production traces show low trajectory reuse or high DAG overhead so C loses to B/A.,high
CL-004,High object-registry overhead can reverse both Option B and C to Option A.,simulated,data/queueing_architecture_winners.csv; memory-centric-agentic/queueing_model.md,M-QUEUE-1 uses synthetic service-time multipliers,Measured metadata services remain below reversal thresholds at target load.,medium
CL-005,High DAG/verifier/durable coordination overhead can reverse Option C to Option B.,simulated,data/queueing_architecture_winners.csv,"DAG synchronization, verifier sync, durable consistency, and preemption costs are synthetic",Measured DAG coordination overhead is small relative to branch/verifier retained value.,medium
CL-006,Compression/offload must be representation-safe before byte savings are counted.,validated_artifact,data/compression_safety_failures.csv; data/compression_best_strategy_by_object.csv; memory-centric-agentic/compression_model.md,"correctness-sensitive lossy state requires pointer, validation, or exact recovery",A lossy strategy without recovery preserves correctness across replay/merge/verification fixtures.,low
CL-007,Current compression/offload settings do not preserve queue thresholds under synthetic coefficients.,simulated,data/compression_object_queue_interactions.csv; data/compression_queue_interactions.csv,reconstruction and metadata overhead coefficients are synthetic,Measured reconstruction/metadata costs are low enough to create positive object-level queue relief.,medium
CL-008,"Public sources calibrate HBM capacity/bandwidth, fabric capability, PCIe capability, and some workload/cache mechanisms, but not core agentic reuse distributions.",sourced,REFERENCES.md; data/calibration_memory_tiers.csv; data/calibration_workload_evidence.csv; data/calibration_deferred_constants.csv,"vendor and standards data are capability evidence, not workload-achieved measurements","Public or reproducible traces provide calibrated trajectory reuse, security overhead, and durable latency constants.",medium
CL-009,"Security validation is part of architecture selection, not an add-on.",validated_artifact,data/security_workload_summary.csv; data/security_invalid_trace_fixtures.csv; memory-centric-agentic/security_provenance_model.md,unsafe reuse must not receive positive retained value,"A design safely reuses objects without provenance, freshness, isolation, lineage, verifier, or retention checks.",low
CL-010,Trace v2 is sufficient for lifetime/reuse/DAG analysis but not production-grade security.,validated_artifact,memory-centric-agentic/trace_schema.md; data/security_invalid_trace_fixtures.csv,"tenant scope, cache salt, replay authorization, verifier hash, and retention hold are required security fields",Production security review shows trace v2 fields alone can enforce all required reuse gates.,medium
CL-011,The architecture rule is to expose the coarsest state boundary that preserves causal retained-value variables.,derived,memory-centric-agentic/architecture_proposal.md; data/synthesis_architecture_decision_matrix.csv,"coordination, validation, and compression overheads are subtracted before choosing a richer boundary",Fine-grained state visibility wins even when causal variables are zero or hidden.,low
CL-012,"The strongest unresolved memory-centric claim is economic and energy value, because per-tier energy and pricing are not calibrated.",speculative,data/calibration_deferred_constants.csv; memory-centric-agentic/cost_model.md,DC-001 per-tier energy per byte moved or retained remains missing,Telemetry shows placement/reuse energy savings are negligible relative to arithmetic and system overhead.,high
