risk_id,object_class,workload_class,architecture_option,risk_class,required_fields,failure_condition,impact,detectability,mitigation_hook,claim_type,source_or_artifact_refs
SR-001,weights,RAG,B_memory_object_aware_runtime,leakage,object_id; object_class; tier,weights reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-002,weights,batch summarization/offline inference control,A_conventional_request_model_kv_serving,leakage,object_id; object_class; tier,weights reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-003,weights,code-agent loop,C_trajectory_dag_memory_fabric,leakage,object_id; object_class; tier,weights reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-004,weights,multi-agent branch/merge,C_trajectory_dag_memory_fabric,leakage,object_id; object_class; tier,weights reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-005,weights,single-turn chat control,A_conventional_request_model_kv_serving,leakage,object_id; object_class; tier,weights reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-006,weights,verification-heavy,C_trajectory_dag_memory_fabric,leakage,object_id; object_class; tier,weights reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-007,KV cache,RAG,B_memory_object_aware_runtime,leakage,object_id; object_class; tenant_scope,KV cache reused outside authorized isolation boundary,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-008,KV cache,RAG,B_memory_object_aware_runtime,cross-tenant aliasing,object_id; object_class; tenant_scope,cache salt or tenant scope differs between producer and consumer,medium,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
SR-009,KV cache,batch summarization/offline inference control,A_conventional_request_model_kv_serving,leakage,object_id; object_class; tenant_scope,KV cache reused outside authorized isolation boundary,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,derived,M-TRACE-1; M-PROTO-1
SR-010,KV cache,batch summarization/offline inference control,A_conventional_request_model_kv_serving,cross-tenant aliasing,object_id; object_class; tenant_scope,cache salt or tenant scope differs between producer and consumer,low,requires_new_tenant_or_trust_field,cache_salt_or_tenant_scope,speculative,M-TRACE-1 synthetic fixture
