workload_class,time_step,event_type,object_id,object_class,size_units,tier,created_at,last_seen_at,lifetime,reuse_count,reuse_distance,correctness_sensitive,provenance_id,source_version,invalidation_signal,trajectory_node_id,branch_id,verifier_id,durability_horizon,merge_state,active,placement_decision,retention_decision,compression_strategy,eviction_decision,runtime_architecture_option,evidence_label
single-turn chat control,1,object_create,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,1,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,2,object_place,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,2,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,2,object_create,single-turn_chat_control:prefix_cache:1,prefix cache,44.0,CPU DRAM,2,2,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,3,object_place,single-turn_chat_control:prefix_cache:1,prefix cache,44.0,CPU DRAM,2,3,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,3,object_create,single-turn_chat_control:KV_cache:1,KV cache,22.0,HBM/GPU memory,3,3,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,4,object_place,single-turn_chat_control:KV_cache:1,KV cache,22.0,HBM/GPU memory,3,4,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,4,object_create,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,32.0,CPU DRAM,4,4,0,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,5,object_place,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,32.0,CPU DRAM,4,5,1,0,0.0,false,,synthetic_v2,none,,,,0,,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,8,object_access,single-turn_chat_control:weights:1,weights,908.0,HBM/GPU memory,1,8,7,1,6.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
single-turn chat control,8,object_access,single-turn_chat_control:KV_cache:1,KV cache,22.0,HBM/GPU memory,3,8,5,1,4.0,false,,synthetic_v2,none,,,,0,,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,pending_reuse_or_trace_end,A_conventional_request_model_kv_serving,synthetic
