"expression","special_point","symbolic_result","interpretation","memory_centric_implication"
"advantage","zero_transfer_cost","-(A*Naccess) + Closs*Pcorrect + Crecompute*Preuse - (B*H*L*R + X)/B","Movement penalty is removed; residency and bandwidth-delay still matter.","weakens movement-centric claim if recommendations do not change"
"bandwidth_delay","infinite_bandwidth","A*Naccess","Streaming delay collapses to access latency only.","isolates latency/residency from bandwidth pressure"
"retained_value","zero_reuse","Closs*Pcorrect","Recompute avoidance disappears; only correctness-sensitive retention remains.","controls should weaken unless correctness risk is active"
"retained_value","perfect_reuse_or_pinned_prefix","Crecompute + Closs*Pcorrect","Pinned or always-reused state receives full recomputation-avoidance value.","strengthens prefix and repeated tool-output placement"
"durable_live","zero_durable_state","0","No durable workspace bytes remain.","collapses durable workspace advantage"
"tier_choice","equal_tier_costs","0","All tiers have equal symbolic costs, so placement preference is undefined.","rules out hard-coded tier preference"
"kv_live","context_cap_unsaturated","skv*T","KV bytes scale linearly before context cap.","ordinary serving explanation remains sufficient"
"kv_live","context_cap_saturated","skv*Tmax","KV bytes stop growing after context cap.","durable/branch state can still grow outside KV cap"
"retained_value","correctness_sensitive_loss_zero","Crecompute*Preuse","Correctness/audit penalty is removed.","tool/verifier/trajectory claims must then rely on recompute or transfer"
"retained_value","recomputation_cost_zero","Closs*Pcorrect","Recompute penalty is removed.","remaining benefit must come from correctness or staleness risk"
