bundle_id,evidence_label,replay_state,first_failed_gate,boundary_reason,production_calibrated,production_ready,claim_credit_allowed,claim_support_candidate,automatic_architecture_endorsement
no-real-production-target-bundle,,no_real_telemetry_available,input_discovery,no_production_target_bundle_found,false,false,false,false,false
negative-control-synthetic_production_fixture,synthetic_production_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-host_local_proxy,host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-production_intake_fixture,production_intake_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-host_local_proxy,host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-operator_trust_policy_fixture,operator_trust_policy_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-synthetic_production_fixture,synthetic_production_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-uncertainty_fixture,uncertainty_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-uncertainty_fixture,uncertainty_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-causal_fixture,causal_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-causal_fixture,causal_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-production_intake_fixture,production_intake_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-test_attestation_fixture,test_attestation_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-operator_trust_policy_fixture,operator_trust_policy_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-adapter_conformance_fixture,adapter_conformance_fixture,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-host_local_proxy,host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
negative-control-synthetic_enforcement_plus_host_local_proxy,synthetic_enforcement_plus_host_local_proxy,real_telemetry_rejected,evidence_label,non_production_evidence_label,false,false,false,false,false
