risk_class,mitigation_hook,owner,covered_object_classes,validation_action,fallback_if_validation_fails,coverage_status,claim_type,source_or_artifact_refs
leakage,cache_salt_or_tenant_scope,runtime+storage,KV cache; intermediate scratch; prefix cache; weights,cache isolation,forbid_cross_boundary_reuse,covered,derived,M-TRACE-1; M-PROTO-1
stale reuse,source_version_and_invalidation_check,runtime,prefix cache; retrieved context; semantic cache entry,freshness validation,revalidate_or_recompute,covered,sourced_from_calibration,M-TRACE-1; M-CALIB-1 DC-004
cache poisoning,provenance_pointer_validation,runtime+storage,retrieved context; semantic cache entry,reject untrusted cache entries,revalidate_or_recompute,covered,sourced_from_calibration,M-CALIB-1 DC-004; M-PROTO-1
provenance forgery,provenance_pointer_validation,storage+runtime,retrieved context; tool output; trajectory log,validate artifact/source pointer,revalidate_or_recompute,covered,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-006
replay ambiguity,trajectory_lineage_validation,runtime+audit,branch state; tool output; trajectory log; verifier state,validate DAG edge and replay authorization,reject_replay_or_downgrade_to_Option_B,covered,derived,M-TRACE-1; M-PROTO-1; M-CALIB-1 DC-005
cross-tenant aliasing,cache_salt_or_tenant_scope,runtime+storage,KV cache; branch state; prefix cache; semantic cache entry,partition reusable state,forbid_cross_boundary_reuse,covered,speculative,M-TRACE-1 synthetic fixture
retention overrun,retention_ttl_or_legal_hold_policy,storage,durable workspace,expire or preserve with explicit hold,expire_or_preserve_under_explicit_hold,covered,derived,M-TRACE-1 durability_horizon; M-CALIB-1 DC-003
deletion/audit conflict,retention_ttl_or_legal_hold_policy,storage+audit,durable workspace; trajectory log,track deletion versus audit hold,expire_or_preserve_under_explicit_hold,covered,speculative,M-CALIB-1 deferred legal/compliance evidence
verifier tampering,verifier_evidence_hash,runtime+audit,verifier state,hash verifier evidence and bind result to branch,reject_replay_or_downgrade_to_Option_B,covered,derived,M-TRACE-1 verifier_id; M-PROTO-1
unsafe summary-pointer recovery,downgrade_to_exact_or_option_fallback,compiler+runtime,durable workspace; tool output,fallback to exact state or Option A/B,retain_exact_state_or_downgrade_to_Option_A/B,covered,derived,M-COMP-1; M-PROTO-1
