upstream_replay_state,evidence_label,age_hours,ttl_hours,model_version_changed,topology_changed,workload_overlap_score,scheduler_policy_changed,memory_tier_regime_changed,collector_identity_current,trust_policy_current,security_deny_rate_delta,redaction_policy_changed,uncertainty_interval_widened,causal_controls_comparable,copied_old_replay_result,case_id,expected_status
not_production_supported,production_target,0,168,false,false,0.92,false,false,true,true,0.0,false,false,true,false,t0_without_upstream_production,not_production_supported
production_supported,collector_dry_run_fixture,0,168,false,false,0.92,false,false,true,true,0.0,false,false,true,false,dry_run_fixture_attempt,not_production_supported
production_supported,synthetic_proxy,0,168,false,false,0.92,false,false,true,true,0.0,false,false,true,false,synthetic_proxy_attempt,not_production_supported
production_supported,production_target,169,168,false,false,0.92,false,false,true,true,0.0,false,false,true,false,age_exceeds_policy_ttl,expired
production_supported,production_target,168,168,false,false,0.92,false,false,true,true,0.0,false,false,true,false,age_equals_policy_ttl,expired
production_supported,production_target,0,168,true,false,0.92,false,false,true,true,0.0,false,false,true,false,model_version_changed,invalidated_by_change
production_supported,production_target,0,168,false,true,0.92,false,false,true,true,0.0,false,false,true,false,topology_changed,invalidated_by_change
production_supported,production_target,0,168,false,false,0.63,false,false,true,true,0.0,false,false,true,false,workload_mix_outside_overlap,revalidation_required
production_supported,production_target,0,168,false,false,0.92,true,false,true,true,0.0,false,false,true,false,scheduler_policy_changed,revalidation_required
production_supported,production_target,0,168,false,false,0.92,false,true,true,true,0.0,false,false,true,false,memory_tier_regime_shifted,revalidation_required
production_supported,production_target,0,168,false,false,0.92,false,false,false,true,0.0,false,false,true,false,collector_rotated_without_reenrollment,invalidated_by_change
production_supported,production_target,0,168,false,false,0.92,false,false,true,false,0.0,false,false,true,false,trust_policy_rotated,invalidated_by_change
production_supported,production_target,0,168,false,false,0.92,false,false,true,true,0.05,false,false,true,false,security_deny_rate_drifted,revalidation_required
production_supported,production_target,0,168,false,false,0.92,false,false,true,true,0.0,true,false,true,false,redaction_policy_changed,invalidated_by_change
production_supported,production_target,0,168,false,false,0.92,false,false,true,true,0.0,false,true,true,false,uncertainty_interval_widened,revalidation_required
production_supported,production_target,0,168,false,false,0.92,false,false,true,true,0.0,false,false,false,false,causal_controls_not_comparable,revalidation_required
production_supported,production_target,0,168,false,false,0.92,true,false,true,true,0.0,false,false,true,true,copied_old_replay_after_drift,revalidation_required
