fixture_id,fixture_type,workload_class,object_class,fixture_validity,violated_field,validation_gate_ids,expected_validation_decision,actual_validation_decision,failed_gate_ids,validation_overhead,safe_reuse_credit,unsafe_positive_credit,evidence_label
FX-CTRL-001,valid_control_prefix,single-turn chat control,prefix cache,valid,,source_freshness; tenant_isolation; cache_salt_isolation,safe_reuse,safe_reuse,,0.169,2.831,false,synthetic_fixture
FX-CTRL-002,valid_control_kv,batch summarization/offline inference control,KV cache,valid,,tenant_isolation; cache_salt_isolation,safe_reuse,safe_reuse,,0.169,2.831,false,synthetic_fixture
FX-001,missing_provenance,RAG,retrieved context,invalid,provenance_id,provenance_presence; source_freshness; pointer_recoverability,denied_reuse,denied_reuse,provenance_presence,0.169,0.0,false,synthetic_fixture
FX-002,stale_source_version,RAG,semantic cache entry,invalid,source_version,provenance_presence; source_freshness; tenant_isolation; cache_salt_isolation,downgraded_reuse,downgraded_reuse,source_freshness,0.169,0.0,false,synthetic_fixture
FX-003,invalidation_signal,RAG,semantic cache entry,invalid,invalidation_signal,provenance_presence; source_freshness; tenant_isolation; cache_salt_isolation,downgraded_reuse,downgraded_reuse,source_freshness,0.169,0.0,false,synthetic_fixture
FX-004,tenant_mismatch,single-turn chat control,prefix cache,invalid,tenant_scope,source_freshness; tenant_isolation; cache_salt_isolation,denied_reuse,denied_reuse,tenant_isolation,0.169,0.0,false,synthetic_fixture
FX-005,cache_salt_mismatch,RAG,prefix cache,invalid,cache_salt,source_freshness; tenant_isolation; cache_salt_isolation,denied_reuse,denied_reuse,cache_salt_isolation,0.169,0.0,false,synthetic_fixture
FX-006,unauthorized_actor,code-agent loop,trajectory log,invalid,actor_id,provenance_presence; trajectory_lineage; replay_authorization,denied_reuse,denied_reuse,replay_authorization,0.169,0.0,false,synthetic_fixture
FX-007,contaminated_lineage,multi-agent branch/merge,branch state,invalid,trajectory_node_id,trajectory_lineage; replay_authorization,downgraded_reuse,downgraded_reuse,trajectory_lineage,0.169,0.0,false,synthetic_fixture
FX-008,tampered_verifier_hash,verification-heavy,verifier state,invalid,verifier_evidence_hash,trajectory_lineage; replay_authorization; verifier_evidence_binding,denied_reuse,denied_reuse,verifier_evidence_binding,0.169,0.0,false,synthetic_fixture
FX-009,expired_retention_without_hold,multi-agent branch/merge,durable workspace,invalid,retention_hold_state,provenance_presence; retention_hold_compliance; pointer_recoverability,downgraded_reuse,downgraded_reuse,retention_hold_compliance,0.169,0.0,false,synthetic_fixture
FX-010,invalid_pointer,code-agent loop,tool output,invalid,pointer_valid,provenance_presence; trajectory_lineage; replay_authorization; pointer_recoverability,downgraded_reuse,downgraded_reuse,pointer_recoverability,0.169,0.0,false,synthetic_fixture
FX-011,missing_validation_timing,RAG,retrieved context,invalid,validation_start_time,provenance_presence; source_freshness; pointer_recoverability,downgraded_reuse,downgraded_reuse,validation_timing,0.02,0.0,false,synthetic_fixture
