case_id,case_type,enrollment_id,deployment_root_id,root_type,root_status,root_valid_from,root_valid_until,key_id,key_rotation_epoch,operator_id,collector_id,collector_firmware_identity,firmware_attested_at,topology_id,topology_version,schema_version,measurement_run_id,bundle_id,counter_source_id,counter_source_binding,tenant_id,security_context_id,evidence_label,expected_blocked_reason,notes
invalid-unknown-root,invalid_fixture,root-enroll-fixture-001,unknown-root-999,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,unknown_deployment_root,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-unknown-key,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-unknown-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,unknown_key_id,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-missing-firmware-identity,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,missing_collector_firmware_identity,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-stale-firmware-attestation,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T08:00:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,stale_firmware_attestation,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-duplicate-collector-different-operator,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-other-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,duplicate_collector_id_different_operator,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-key-rotation-gap,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,gap-before-epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,key_rotation_gap,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-stale-enrollment-window,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T09:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,stale_enrollment_window,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-topology-id-mismatch,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-other-fixture,topology-v1,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,topology_id_mismatch,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-topology-drift,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v0-stale,production_dc12_schema_v1,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,topology_drift,Malformed enrollment must fail closed before downstream gatechain replay.
invalid-schema-version-mismatch,invalid_fixture,root-enroll-fixture-001,deployment-root-fixture-001,fixture_kms_profile,active,2026-05-12T09:55:00Z,2026-05-12T11:00:00Z,test-key-active-a,epoch-2026-05-a,operator-secops-fixture,collector-fixture-001,collector-fw-fixture-digest-001,2026-05-12T09:58:00Z,topology-fixture-001,topology-v1,production_dc12_schema_v0,gatechain-run-001,gatechain-bundle-001,counter-source-fixture-001,collector+topology+tenant+security+run,tenant-fixture-001,security-context-fixture-001,deployment_root_enrollment_fixture,schema_version_mismatch,Malformed enrollment must fail closed before downstream gatechain replay.
