path_id,case_type,states_seen,last_state_seen,blocked_at_state,quarantined,blocked_reason,expected_blocked_reason,expected_reason_matched,evidence_label,production_claim_credit_allowed,option_bc_contract_ready_only
invalid-empty-path,invalid_path,0,,,true,empty_path,empty_path,true,,false,true
invalid-failed-attestation,invalid_path,13,handoff_traceable,attestation_mechanically_valid,true,failed_attestation_mechanically_valid,failed_attestation_mechanically_valid,true,production_target,false,true
invalid-final-readiness-without-handoff,invalid_path,12,final_readiness_update_eligible,final_readiness_update_eligible,true,final_readiness_without_handoff_traceability,final_readiness_without_handoff_traceability,true,production_target,false,true
invalid-fixture-evidence-production-ingestion,invalid_path,13,handoff_traceable,production_ingestion_accepted,true,non_production_evidence_label,non_production_evidence_label,true,production_intake_fixture,false,true
invalid-mismatched-bundle-id,invalid_path,13,handoff_traceable,intake_structurally_admissible,true,mismatched_bundle_id,mismatched_bundle_id,true,production_target,false,true
invalid-mismatched-collector-id,invalid_path,13,handoff_traceable,attestation_mechanically_valid,true,mismatched_collector_id,mismatched_collector_id,true,production_target,false,true
invalid-mismatched-measurement-run-id,invalid_path,13,handoff_traceable,adapter_normalized,true,mismatched_measurement_run_id,mismatched_measurement_run_id,true,production_target,false,true
invalid-mismatched-operator-id,invalid_path,13,handoff_traceable,trust_policy_admissible,true,mismatched_operator_id,mismatched_operator_id,true,production_target,false,true
invalid-mismatched-schema-version,invalid_path,13,handoff_traceable,production_ingestion_accepted,true,mismatched_schema_version,mismatched_schema_version,true,production_target,false,true
invalid-out-of-order-threshold,invalid_path,13,handoff_traceable,production_ingestion_accepted,true,out_of_order_state,out_of_order_state,true,production_target,false,true
invalid-proxy-evidence-threshold-credit,invalid_path,13,handoff_traceable,threshold_replay_passed,true,proxy_evidence_threshold_credit_blocked,proxy_evidence_threshold_credit_blocked,true,host_local_proxy,false,true
invalid-skipped-adapter-conformance,invalid_path,12,handoff_traceable,adapter_normalized,true,skipped_adapter_conformance,skipped_adapter_conformance,true,production_target,false,true
invalid-skipped-attestation,invalid_path,12,handoff_traceable,trust_policy_admissible,true,skipped_attestation,skipped_attestation,true,production_target,false,true
invalid-skipped-intake,invalid_path,12,handoff_traceable,adapter_conformant,true,skipped_intake,skipped_intake,true,production_target,false,true
invalid-skipped-trust-policy,invalid_path,12,handoff_traceable,intake_structurally_admissible,true,skipped_trust_policy,skipped_trust_policy,true,production_target,false,true
invalid-threshold-without-noise-floor,invalid_path,12,handoff_traceable,threshold_replay_passed,true,threshold_without_noise_floor,threshold_without_noise_floor,true,production_target,false,true
invalid-threshold-without-security,invalid_path,12,handoff_traceable,noise_floor_passed,true,threshold_without_security_provenance,threshold_without_security_provenance,true,production_target,false,true
valid-current-fixture-quarantined,valid_fixture_boundary,13,handoff_traceable,production_ingestion_accepted,true,non_production_evidence_label,,true,operator_trust_policy_fixture,false,true
valid-synthetic-production-shaped-quarantined,valid_fixture_boundary,13,handoff_traceable,production_ingestion_accepted,true,non_production_evidence_label,,true,synthetic_production_fixture,false,true
