case_id,case_type,source_fixture_id,measurement_run_id,bundle_id,collector_id,schema_version,evidence_label,clock_domain_id,clock_sync_source,clock_sync_status,interval_id,interval_start_ms,interval_end_ms,byte_interval_start_ms,byte_interval_end_ms,power_interval_start_ms,power_interval_end_ms,latency_interval_start_ms,latency_interval_end_ms,queue_interval_start_ms,queue_interval_end_ms,security_interval_start_ms,security_interval_end_ms,sampling_period_ms,sampling_jitter_ms,max_cross_source_skew_ms,skew_tolerance_ms,jitter_tolerance_ms,workload_label_sampled_at_ms,workload_label_max_age_ms,collector_overhead_pct,observer_perturbation_budget_pct,counter_sequence_start,counter_sequence_end,counter_reset_observed,clock_drift_ppm,clock_drift_tolerance_ppm,expected_blocked_reason,notes
invalid-unknown-source-fixture,invalid_fixture,unknown-threshold-row,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,unknown_source_fixture_id,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-measurement-run-id-mismatch,invalid_fixture,valid-dc002-rag-c,wrong-run,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,measurement_run_id_mismatch,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-bundle-id-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,wrong-bundle,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,bundle_id_mismatch,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-collector-id-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,wrong-collector,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,collector_id_mismatch,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-schema-version-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,wrong_schema_v9,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,schema_version_mismatch,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-missing-clock-domain,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,missing_clock_domain,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-cross-source-skew,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,75,50,25,950,200,1.5,5.0,1000,1020,false,4,25,cross_source_skew_above_tolerance,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-negative-skew,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,50,5,-1,50,25,950,200,1.5,5.0,1000,1020,false,4,25,negative_cross_source_skew,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-interval-overlap-mismatch,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,100,1100,0,1000,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,interval_overlap_mismatch,"malformed timing must become measurement_invalid, not a threshold miss"
invalid-interval-gap,invalid_fixture,valid-dc002-rag-c,gatechain-run-001,gatechain-bundle-001,collector-fixture-001,production_dc12_schema_v1,timebase_integrity_fixture,clock-domain-fixture-ptp-a,fixture_ptp_grandmaster,synchronized,interval-0001,0,1000,0,1000,0,1000,1050,2050,0,1000,0,1000,50,5,0,50,25,950,200,1.5,5.0,1000,1020,false,4,25,interval_gap,"malformed timing must become measurement_invalid, not a threshold miss"
