path_id,case_type,step_order,state_id,bundle_id,measurement_run_id,operator_id,collector_id,schema_version,claim_id,evidence_label,state_passed,source_artifact,notes,expected_blocked_reason
invalid-empty-path,invalid_path,,,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,,false,,empty path must fail before any gate,empty_path
invalid-failed-attestation,invalid_path,1,raw_bundle_seen,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,future production bundle,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,2,attestation_mechanically_valid,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,false,data/production_attestation_results.csv,failed gate probe,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,3,trust_policy_admissible,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/operator_trust_policy_results.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,4,intake_structurally_admissible,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/production_intake_admission_results.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,5,adapter_conformant,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/adapter_conformance_results.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,6,adapter_normalized,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/telemetry_adapter_normalized_rows.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,7,production_ingestion_accepted,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/production_dc12_ingestion_results.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,8,security_provenance_passed,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/production_dc12_ingestion_results.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
invalid-failed-attestation,invalid_path,9,noise_floor_passed,gatechain-bundle-001,gatechain-run-001,operator-secops-fixture,collector-fixture-001,production_dc12_schema_v1,CL-012,production_target,true,data/production_dc12_ingestion_results.csv,current fixture path exercises gate ordering but remains non-production evidence,failed_attestation_mechanically_valid
