rank,experiment_id,question,prototype_or_measurement,target_audience,required_instrumentation,expected_signal,would_support,would_falsify,depends_on_deferred_constant,priority_rationale
1,EXP-TRAJ-REUSE,"Do production agent runs reuse trajectory, verifier, branch, and durable workspace state often enough to justify Option C?",instrumented trace collection,AI infra; distributed systems; agent-runtime teams,trajectory_node_id; branch_id; verifier_id; durability_horizon; replay outcome,reuse-distance and branch-survival distributions over long agent runs,high reuse and correctness-sensitive replay preserve Option C value,near-zero trajectory reuse or short lifetimes collapse agentic workloads toward Option B/A,DC-005 production agent trajectory reuse distribution,highest-risk missing evidence for the trajectory/DAG memory fabric
2,EXP-PROV-OVERHEAD,"What is the end-to-end cost of provenance, source-version, cache-salt, and lineage validation?",runtime microbenchmark plus trace replay,runtime; compiler; security teams,provenance_id; source_version; invalidation_signal; cache_salt; lineage checks,validation overhead per reused object and per trajectory replay,low overhead makes pointer-preserving reuse practical,validation overhead exceeds retained value for RAG and agentic workloads,DC-006 provenance-validation overhead,M-SEC-1 shows security overhead can reverse B/C under synthetic scoring
3,EXP-SEMANTIC-CACHE-CORRECTNESS,"How often do semantic-cache hits become stale, poisoned, tenant-invalid, or semantically false-positive?",RAG cache correctness benchmark,RAG serving; database/search; security teams,query hash; source_version; invalidation_signal; tenant_scope; correctness label,"hit rate, false-positive rate, invalidation rate, and recovery cost",low invalid-hit rate and cheap invalidation strengthen Option B,frequent stale/false-positive hits make semantic reuse unsafe or uneconomic,DC-004 semantic-cache correctness and invalidation cost,decides whether RAG remains a strong object-runtime case
4,EXP-QUEUE-HOTPATH,"Where do object registry, policy, migration, verifier sync, and preemption queues saturate?",coordinated metadata-service load test,serving infrastructure; OS/runtime; datacenter developers,registry ops; policy ops; migration events; verifier sync events; queue wait,service-time thresholds that reverse B/C to A/B,low metadata and DAG queueing overhead preserves memory-centric wins,hot-path metadata saturation erases retained value at realistic arrival rates,DC-002 real CXL memory latency under contention,M-QUEUE-1 identifies registry and DAG coordination as first-order reversal mechanisms
5,EXP-DURABLE-STORE-TAILS,Do durable workspace and object-store latency tails make replay/checkpoint paths too expensive?,durable agent-state read/write/replay benchmark,storage; distributed systems; agent-platform teams,object size; consistency mode; p50/p95/p99 latency; replay dependency path,tail-latency distribution for durable state under agent access patterns,bounded tails make summary-plus-pointer and durable workspace reuse practical,high tails dominate retained value and force recompute or local-only retention,DC-003 remote object-store latency distributions for agent state,durable state is central to Option C but uncalibrated
6,EXP-COMPRESSION-RECOVERY,Can summary-plus-pointer representations recover exact state cheaply enough for correctness-sensitive replay?,compression/offload recovery benchmark,compiler; runtime; storage teams,compression_strategy; pointer validity; reconstruction latency; validation result,byte savings versus reconstruction/metadata/provenance overhead,exact recovery or validated pointer paths reduce capacity pressure without unsafe reuse,recovery failures or overhead exceed byte movement savings,DC-006 provenance-validation overhead,M-COMP-1 found no current queue-help rows and many unsafe lossy cases
7,EXP-TRACE-SEC-FIELDS,Do security-grade trace fields catch unsafe reuse end to end?,trace v3 schema and invalid-fixture replay,observability; security; runtime teams,tenant_scope; cache_salt; actor_id; replay_authorization_scope; verifier_evidence_hash; retention_hold_state,invalid fixture rejection and downgraded architecture decisions,unsafe reuse is observable before retained value is counted,"missing fields allow stale, cross-tenant, or unauthorized reuse to score as beneficial",DC-006 provenance-validation overhead,M-SEC-1 names required fields not present in trace v2
8,EXP-CXL-CONTENTION,When does CXL or pooled memory help warm objects rather than adding queueing delay?,contention benchmark with object-tier placement,hardware; OS; datacenter teams,tier placement; access size; contention level; p50/p99 latency,latency-under-contention curves for warm object spill tiers,predictable contention makes CXL a useful warm tier,contention tails make CXL worse than recompute/offload for reusable state,DC-002 real CXL memory latency under contention,"public CXL evidence is capability-level, not deployment-latency evidence"
9,EXP-PREFIX-CACHE-ISOLATION,Can prefix-cache reuse preserve tenant isolation and cache-salt boundaries without losing most hits?,serving cache A/B test with isolation instrumentation,LLM serving; security teams,tenant_scope; cache_salt; prefix hash; hit/miss; blocked reuse reason,safe cache hit rate after isolation constraints,isolation-preserving cache reuse remains high,safe reuse rate collapses when tenant/cache-salt checks are enforced,DC-004 semantic-cache correctness and invalidation cost,tests whether production safety constraints erase object-reuse wins
10,EXP-ENERGY-BYTE-MOVED,Do memory-placement policies reduce measured energy per useful agent step?,telemetry-backed energy experiment,GPU; datacenter; sustainability teams,bytes moved by tier; GPU/CPU/storage power telemetry; useful step count,energy per retained/reused object and per completed agent step,memory-aware placement lowers energy versus recompute/movement baselines,energy differences are noise or arithmetic dominates total energy,DC-001 per-tier energy per byte moved or retained,energy/economics claims remain explicitly deferred without measurement
11,EXP-COMPILER-ANNOTATIONS,Can compiler/runtime annotations expose memory objects without developer-heavy manual labeling?,annotation pass over agent traces,compiler; framework; runtime teams,object_class; lifetime boundaries; provenance pointers; branch/verifier metadata,coverage and false annotation rate,automatic annotations recover causal memory variables with low error,manual annotations are required for most correctness-sensitive objects,DC-006 provenance-validation overhead,turns the architecture proposal into a usable programming model
12,EXP-ABLATION-REPLAY,Do ablations of provenance/reuse and branch/verifier/durable fields reproduce architecture collapse on real traces?,runtime prototype replay over public or production traces,AI infra; systems researchers,all trace v2 fields plus M-SEC-1 security fields,B to A and C to B/A collapses when causal fields are hidden,mechanism causality seen in M-PROTO-1 generalizes,architecture choices do not change when claimed causal fields are removed,DC-005 production agent trajectory reuse distribution,directly validates the object/trajectory causal boundary
