workload_class,scheduling_unit,dominant_object_class,missing_fields,failure_mode,wrong_decision_risk
RAG with retrieved-context reuse,context_segment,semantic cache entry,correctness_sensitive;loss_cost,context_segment cannot observe correctness-sensitive eviction loss for semantic cache entry,evict_or_recompute_state_without_observing_its_lifetime_boundary
RAG with retrieved-context reuse,cache_page,semantic cache entry,correctness_sensitive;loss_cost;recompute_cost,cache_page cannot observe correctness-sensitive eviction loss for semantic cache entry,evict_or_recompute_state_without_observing_its_lifetime_boundary
RAG with retrieved-context reuse,model,semantic cache entry,correctness_sensitive;loss_cost;recompute_cost;reuse_probability,model cannot observe correctness-sensitive eviction loss for semantic cache entry,evict_or_recompute_state_without_observing_its_lifetime_boundary
RAG with retrieved-context reuse,job,semantic cache entry,correctness_sensitive;loss_cost;object_class;recompute_cost;reuse_probability,job cannot observe correctness-sensitive eviction loss for semantic cache entry,evict_or_recompute_state_without_observing_its_lifetime_boundary
RAG with retrieved-context reuse,request,semantic cache entry,correctness_sensitive;loss_cost;object_class;recompute_cost;reuse_probability,request cannot observe correctness-sensitive eviction loss for semantic cache entry,evict_or_recompute_state_without_observing_its_lifetime_boundary
RAG with retrieved-context reuse,kernel,semantic cache entry,correctness_sensitive;loss_cost;object_class;recompute_cost;reuse_probability,kernel cannot observe correctness-sensitive eviction loss for semantic cache entry,evict_or_recompute_state_without_observing_its_lifetime_boundary
batch summarization/offline inference control,request,intermediate scratch,object_class,request misses required fields object_class for intermediate scratch,evict_or_recompute_state_without_observing_its_lifetime_boundary
batch summarization/offline inference control,job,intermediate scratch,object_class,job misses required fields object_class for intermediate scratch,evict_or_recompute_state_without_observing_its_lifetime_boundary
batch summarization/offline inference control,kernel,intermediate scratch,object_class,kernel misses required fields object_class for intermediate scratch,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,memory_object,durable workspace,branch_fanout;branch_survival;verifier_delay,memory_object cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,job,durable workspace,branch_fanout;branch_survival;correctness_sensitive;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,job cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,context_segment,durable workspace,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;verifier_delay,context_segment cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,cache_page,durable workspace,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;recompute_cost;verifier_delay,cache_page cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,model,durable workspace,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;recompute_cost;reuse_probability;verifier_delay,model cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,request,durable workspace,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,request cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
code-agent loop with tool outputs and durable workspace,kernel,durable workspace,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,kernel cannot observe branch/verifier lifetime fields for durable workspace,evict_or_recompute_state_without_observing_its_lifetime_boundary
multi-agent branch/merge run,memory_object,verifier state,branch_fanout;branch_survival;verifier_delay,memory_object cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
multi-agent branch/merge run,context_segment,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;verifier_delay,context_segment cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
multi-agent branch/merge run,job,verifier state,branch_fanout;branch_survival;correctness_sensitive;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,job cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
multi-agent branch/merge run,cache_page,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;recompute_cost;verifier_delay,cache_page cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
multi-agent branch/merge run,model,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;recompute_cost;reuse_probability;verifier_delay,model cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
multi-agent branch/merge run,request,verifier state,branch_fanout;branch_survival;correctness_sensitive;durability_horizon;loss_cost;object_class;recompute_cost;reuse_probability;verifier_delay,request cannot observe branch/verifier lifetime fields for verifier state,evict_or_recompute_state_without_observing_its_lifetime_boundary
