case_id,object_id,object_class,selected_option,planner_action,constraint_binding,downstream_action_type,emitted,production_calibrated,production_ready,threshold_success,causal_validity_granted,claim_credit_allowed
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,residency_hint,placement,true,false,false,false,false,false
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,residency_hint,reuse,true,false,false,false,false,false
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,residency_hint,compression,true,false,false,false,false,false
valid_retrieved_context,obj_retrieved_context,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,residency_hint,retention,true,false,false,false,false,false
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,admit_for_option_c_dag_planning,residency_hint,placement,true,false,false,false,false,false
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,admit_for_option_c_dag_planning,residency_hint,migration,true,false,false,false,false,false
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,admit_for_option_c_dag_planning,residency_hint,reuse,true,false,false,false,false,false
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,admit_for_option_c_dag_planning,residency_hint,compression,true,false,false,false,false,false
valid_branch_state,obj_branch_state,branch state,C_trajectory_dag_memory_fabric,admit_for_option_c_dag_planning,residency_hint,retention,true,false,false,false,false,false
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,default_no_residency_hint,placement,true,false,false,false,false,false
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,default_no_residency_hint,reuse,true,false,false,false,false,false
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,default_no_residency_hint,compression,true,false,false,false,false,false
missing_advisory_residency_hint,bad_advisory_residency_hint,retrieved context,B_memory_object_aware_runtime,admit_for_option_b_object_planning,default_no_residency_hint,retention,true,false,false,false,false,false
option_a_opaque_baseline,opaque_request,opaque request/model/KV serving state,A_conventional_request_model_kv_serving,baseline_request_schedule,option_a_opaque,opaque_execute,true,false,false,false,false,false
