redaction_status,blocked_reason,case_count,fail_closed
privacy_leakage,raw_tenant_identifier_leaked,2,true
privacy_leakage,raw_tool_output_uri_leaked,1,true
replay_nonidentifiable,fixture_attempted_production_calibration,1,true
replay_nonidentifiable,invalid_join_key_collision_count,1,true
replay_nonidentifiable,irreversible_join_key_collision,1,true
replay_nonidentifiable,missing_source_fixture_id,1,true
replay_nonidentifiable,missing_tenant_pseudonym,3,true
replay_nonidentifiable,negative_join_key_collision_count,1,true
replay_nonidentifiable,redacted_clock_domain,1,true
replay_nonidentifiable,removed_measurement_noise_metadata,1,true
replay_nonidentifiable,removed_workload_label,1,true
replay_nonidentifiable,suppressed_security_context,1,true
replay_nonidentifiable,topology_coarsened_past_threshold_replay,1,true
replay_nonidentifiable,unknown_source_fixture_id,1,true
replay_nonidentifiable,unstable_object_pseudonym_across_intervals,1,true
replay_nonidentifiable,unsupported_evidence_label,2,true
