failure_mode,count
dangling_branch_parent,1
durable_retention_without_policy,1
impossible_lifetime_interval,1
invalid_compression_policy,1
lossy_compression_for_correctness_critical_object,1
missing_lineage_or_provenance,1
missing_mandatory_field_compression_policy,1
missing_mandatory_field_evidence_label,1
missing_mandatory_field_producer_id,1
missing_mandatory_field_reuse_scope,1
missing_mandatory_field_security_label,1
missing_mandatory_field_tenant_id,1
missing_object_class,1
planner_required_field_absent_but_marked_advisory,1
production_evidence_label_not_runtime_abi,1
residency_hint_exceeds_allowed_tier,1
tenant_reuse_scope_mismatch,1
tool_output_without_freshness_source,1
verifier_state_without_checked_target,1
