"fanout","branch_survival","reuse_rate_lambda","durability_horizon","kv_live_bytes","branch_live_bytes","durable_live_bytes","prefix_expected_bytes","total_expected_retained_bytes","dominant_state","regime_label"
1,"0","0",0,4096,0,2000,0,6096,"KV","control_single_turn_or_batch"
1,"0","0",8,4096,0,3760,0,7856,"KV","kv_or_prefix_dominated"
1,"0","0",32,4096,0,9040,0,13136,"durable_workspace","durable_dominated"
1,"0","0.05",0,4096,0,2000,314.77547222989324,6410.775472229893,"KV","kv_or_prefix_dominated"
1,"0","0.05",8,4096,0,3760,314.77547222989324,8170.775472229893,"KV","kv_or_prefix_dominated"
1,"0","0.05",32,4096,0,9040,314.77547222989324,13450.775472229892,"durable_workspace","durable_dominated"
1,"0","0.2",0,4096,0,2000,691.7317734107098,6787.73177341071,"KV","kv_or_prefix_dominated"
1,"0","0.2",8,4096,0,3760,691.7317734107098,8547.73177341071,"KV","kv_or_prefix_dominated"
1,"0","0.2",32,4096,0,9040,691.7317734107098,13827.73177341071,"durable_workspace","durable_dominated"
1,"0.25","0",0,4096,2272.5,2000,0,8368.5,"KV","kv_or_prefix_dominated"
1,"0.25","0",8,4096,2272.5,3760,0,10128.5,"KV","kv_or_prefix_dominated"
1,"0.25","0",32,4096,2272.5,9040,0,15408.5,"durable_workspace","durable_dominated"
1,"0.25","0.05",0,4096,2272.5,2000,314.77547222989324,8683.275472229892,"KV","kv_or_prefix_dominated"
1,"0.25","0.05",8,4096,2272.5,3760,314.77547222989324,10443.275472229892,"KV","kv_or_prefix_dominated"
1,"0.25","0.05",32,4096,2272.5,9040,314.77547222989324,15723.275472229892,"durable_workspace","durable_dominated"
1,"0.25","0.2",0,4096,2272.5,2000,691.7317734107098,9060.23177341071,"KV","kv_or_prefix_dominated"
1,"0.25","0.2",8,4096,2272.5,3760,691.7317734107098,10820.23177341071,"KV","kv_or_prefix_dominated"
1,"0.25","0.2",32,4096,2272.5,9040,691.7317734107098,16100.23177341071,"durable_workspace","durable_dominated"
1,"0.5","0",0,4096,4545,2000,0,10641,"branch_state","branch_dominated"
1,"0.5","0",8,4096,4545,3760,0,12401,"branch_state","branch_dominated"
1,"0.5","0",32,4096,4545,9040,0,17681,"durable_workspace","durable_dominated"
1,"0.5","0.05",0,4096,4545,2000,314.77547222989324,10955.775472229892,"branch_state","branch_dominated"
1,"0.5","0.05",8,4096,4545,3760,314.77547222989324,12715.775472229892,"branch_state","branch_dominated"
1,"0.5","0.05",32,4096,4545,9040,314.77547222989324,17995.775472229892,"durable_workspace","durable_dominated"
1,"0.5","0.2",0,4096,4545,2000,691.7317734107098,11332.73177341071,"branch_state","branch_dominated"
1,"0.5","0.2",8,4096,4545,3760,691.7317734107098,13092.73177341071,"branch_state","branch_dominated"
1,"0.5","0.2",32,4096,4545,9040,691.7317734107098,18372.73177341071,"durable_workspace","durable_dominated"
1,"0.75","0",0,4096,6817.5,2000,0,12913.5,"branch_state","branch_dominated"
1,"0.75","0",8,4096,6817.5,3760,0,14673.5,"branch_state","branch_dominated"
1,"0.75","0",32,4096,6817.5,9040,0,19953.5,"durable_workspace","durable_dominated"
1,"0.75","0.05",0,4096,6817.5,2000,314.77547222989324,13228.275472229892,"branch_state","branch_dominated"
1,"0.75","0.05",8,4096,6817.5,3760,314.77547222989324,14988.275472229892,"branch_state","branch_dominated"
1,"0.75","0.05",32,4096,6817.5,9040,314.77547222989324,20268.275472229892,"durable_workspace","durable_dominated"
1,"0.75","0.2",0,4096,6817.5,2000,691.7317734107098,13605.23177341071,"branch_state","branch_dominated"
1,"0.75","0.2",8,4096,6817.5,3760,691.7317734107098,15365.23177341071,"branch_state","branch_dominated"
1,"0.75","0.2",32,4096,6817.5,9040,691.7317734107098,20645.23177341071,"durable_workspace","durable_dominated"
2,"0","0",0,4096,0,2000,0,6096,"KV","kv_or_prefix_dominated"
2,"0","0",8,4096,0,3760,0,7856,"KV","kv_or_prefix_dominated"
2,"0","0",32,4096,0,9040,0,13136,"durable_workspace","durable_dominated"
2,"0","0.05",0,4096,0,2000,314.77547222989324,6410.775472229893,"KV","kv_or_prefix_dominated"
2,"0","0.05",8,4096,0,3760,314.77547222989324,8170.775472229893,"KV","kv_or_prefix_dominated"
2,"0","0.05",32,4096,0,9040,314.77547222989324,13450.775472229892,"durable_workspace","durable_dominated"
2,"0","0.2",0,4096,0,2000,691.7317734107098,6787.73177341071,"KV","kv_or_prefix_dominated"
2,"0","0.2",8,4096,0,3760,691.7317734107098,8547.73177341071,"KV","kv_or_prefix_dominated"
2,"0","0.2",32,4096,0,9040,691.7317734107098,13827.73177341071,"durable_workspace","durable_dominated"
2,"0.25","0",0,4096,4545,2000,0,10641,"branch_state","branch_dominated"
2,"0.25","0",8,4096,4545,3760,0,12401,"branch_state","branch_dominated"
2,"0.25","0",32,4096,4545,9040,0,17681,"durable_workspace","durable_dominated"
2,"0.25","0.05",0,4096,4545,2000,314.77547222989324,10955.775472229892,"branch_state","branch_dominated"
2,"0.25","0.05",8,4096,4545,3760,314.77547222989324,12715.775472229892,"branch_state","branch_dominated"
2,"0.25","0.05",32,4096,4545,9040,314.77547222989324,17995.775472229892,"durable_workspace","durable_dominated"
2,"0.25","0.2",0,4096,4545,2000,691.7317734107098,11332.73177341071,"branch_state","branch_dominated"
2,"0.25","0.2",8,4096,4545,3760,691.7317734107098,13092.73177341071,"branch_state","branch_dominated"
2,"0.25","0.2",32,4096,4545,9040,691.7317734107098,18372.73177341071,"durable_workspace","durable_dominated"
2,"0.5","0",0,4096,9090,2000,0,15186,"branch_state","branch_dominated"
2,"0.5","0",8,4096,9090,3760,0,16946,"branch_state","branch_dominated"
2,"0.5","0",32,4096,9090,9040,0,22226,"branch_state","branch_dominated"
2,"0.5","0.05",0,4096,9090,2000,314.77547222989324,15500.775472229892,"branch_state","branch_dominated"
2,"0.5","0.05",8,4096,9090,3760,314.77547222989324,17260.775472229892,"branch_state","branch_dominated"
2,"0.5","0.05",32,4096,9090,9040,314.77547222989324,22540.775472229892,"branch_state","branch_dominated"
2,"0.5","0.2",0,4096,9090,2000,691.7317734107098,15877.73177341071,"branch_state","branch_dominated"
2,"0.5","0.2",8,4096,9090,3760,691.7317734107098,17637.73177341071,"branch_state","branch_dominated"
2,"0.5","0.2",32,4096,9090,9040,691.7317734107098,22917.73177341071,"branch_state","branch_dominated"
2,"0.75","0",0,4096,13635,2000,0,19731,"branch_state","branch_dominated"
2,"0.75","0",8,4096,13635,3760,0,21491,"branch_state","branch_dominated"
2,"0.75","0",32,4096,13635,9040,0,26771,"branch_state","branch_dominated"
2,"0.75","0.05",0,4096,13635,2000,314.77547222989324,20045.775472229892,"branch_state","branch_dominated"
2,"0.75","0.05",8,4096,13635,3760,314.77547222989324,21805.775472229892,"branch_state","branch_dominated"
2,"0.75","0.05",32,4096,13635,9040,314.77547222989324,27085.775472229892,"branch_state","branch_dominated"
2,"0.75","0.2",0,4096,13635,2000,691.7317734107098,20422.73177341071,"branch_state","branch_dominated"
2,"0.75","0.2",8,4096,13635,3760,691.7317734107098,22182.73177341071,"branch_state","branch_dominated"
2,"0.75","0.2",32,4096,13635,9040,691.7317734107098,27462.73177341071,"branch_state","branch_dominated"
4,"0","0",0,4096,0,2000,0,6096,"KV","kv_or_prefix_dominated"
4,"0","0",8,4096,0,3760,0,7856,"KV","kv_or_prefix_dominated"
