check_name,requirement_level,pass_condition,failure_state,claim_credit_effect
production_root_marker,required_for_production,production root marker file exists and declares production_root=true,not_running_in_production_root,none
deployment_root_identity_file,required_for_production,operator-supplied deployment root identity exists,operator_material_missing,none
collector_identity_file,required_for_all_emission,collector identity exists and binds collector_id,collector_capability_missing,none
operator_trust_policy_file,required_for_production,operator trust policy exists and is externally produced,operator_material_missing,none
external_attestation_file,required_for_production,external attestation exists and is not collector-generated,operator_material_missing,none
telemetry_counter_source_file,required_for_production,counter source file exists for measured telemetry,collector_capability_missing,none
time_source_file,required_for_all_emission,time source exists and is fresh,collector_capability_missing,none
artifact_output_root,required_for_all_emission,output root is writable,collector_capability_missing,none
self_attestation_guard,required_for_production,attestation producer differs from collector producer,operator_material_missing,none
source_material:deployment_root_identity_file,required_for_production_artifact_emission,deployment_root_identity_file exists and is the source material for root_enrollment: deployment root identity must come from operator enrollment material,operator_material_missing,none
source_material:external_attestation_file,required_for_production_artifact_emission,"external_attestation_file exists and is the source material for attestation_envelope: attestation must be supplied by hardware/KMS/HSM or external attester, not generated by this collector",operator_material_missing,none
source_material:operator_trust_policy_file,required_for_production_artifact_emission,operator_trust_policy_file exists and is the source material for trust_policy: operator trust policy must be supplied and signed outside the collector,operator_material_missing,none
source_material:bundle_manifest_file,required_for_production_artifact_emission,bundle_manifest_file exists and is the source material for intake_custody: collector can observe local manifest and output custody path,collector_capability_missing,none
source_material:adapter_conformance_file,required_for_production_artifact_emission,adapter_conformance_file exists and is the source material for adapter_conformance: collector can bind an adapter conformance report produced by the adapter/conformance kit,collector_capability_missing,none
source_material:time_source_file,required_for_production_artifact_emission,time_source_file exists and is the source material for timebase_integrity: collector can observe time source freshness and measurement window,collector_capability_missing,none
source_material:redaction_report_file,required_for_production_artifact_emission,redaction_report_file exists and is the source material for redaction_integrity: collector can bind redaction evaluator output,collector_capability_missing,none
source_material:gatechain_report_file,required_for_production_artifact_emission,gatechain_report_file exists and is the source material for evidence_gatechain: derived replay consumes prior gate outputs,collector_capability_missing,none
source_material:uncertainty_report_file,required_for_production_artifact_emission,uncertainty_report_file exists and is the source material for uncertainty_qualification: collector can bind confidence report produced from captured telemetry,collector_capability_missing,none
source_material:causal_control_report_file,required_for_production_artifact_emission,causal_control_report_file exists and is the source material for causal_attribution: control-arm/covariate material must be supplied by experiment owner,operator_material_missing,none
source_material:threshold_replay_file,required_for_production_artifact_emission,threshold_replay_file exists and is the source material for dc001_dc002_threshold_replay: collector can bind threshold replay output from telemetry counters,collector_capability_missing,none
source_material:planner_boundary_file,required_for_production_artifact_emission,"planner_boundary_file exists and is the source material for planner_readiness_boundary: derived boundary consumes threshold, security, and planner outputs",collector_capability_missing,none
source_material:handoff_traceability_file,required_for_production_artifact_emission,handoff_traceability_file exists and is the source material for final_handoff_traceability: operator must supply final claim-to-evidence traceability material,operator_material_missing,none
