threshold_status,blocked_reason,case_count,fail_closed
statistical_invalid,fixture_attempted_production_calibration,1,true
statistical_invalid,missing_control_arm,1,true
statistical_invalid,missing_noise_model,1,true
statistical_invalid,missing_variance,1,true
statistical_invalid,nan_metric,1,true
statistical_invalid,negative_variance,1,true
statistical_invalid,nonpositive_sample_count,1,true
statistical_invalid,unbounded_p99_latency_ci,1,true
statistical_invalid,unknown_source_fixture_id,1,true
statistically_indeterminate,confidence_interval_crosses_threshold,1,true
statistically_indeterminate,confidence_interval_touches_threshold,1,true
statistically_indeterminate,control_treatment_drift_exceeds_budget,1,true
statistically_indeterminate,insufficient_sample_count,1,true
statistically_indeterminate,non_independent_repeated_samples,1,true
