mechanism,classification,kappa,eta,A,A_offset,sigma,D,beta,beta_formula,grouped_variance_exponent,denominator_safe_regime,saving_survives_denominator,theorem_ready_spc_kernel,coefficient_variation_equivalent,near_zero_denominator_obstruction
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,0.0,0.0,beta=(2*kappa-A)*eta+sigma-D,1.12,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,0.25,-0.25,beta=(2*kappa-A)*eta+sigma-D,1.37,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,0.5,-0.5,beta=(2*kappa-A)*eta+sigma-D,1.62,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.02,6.0,0.0,0.0,1.0,-1.0,beta=(2*kappa-A)*eta+sigma-D,2.12,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,0.0,0.0,beta=(2*kappa-A)*eta+sigma-D,1.3,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,0.25,-0.25,beta=(2*kappa-A)*eta+sigma-D,1.55,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,0.5,-0.5,beta=(2*kappa-A)*eta+sigma-D,1.8,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.05,6.0,0.0,0.0,1.0,-1.0,beta=(2*kappa-A)*eta+sigma-D,2.3,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,0.0,0.0,beta=(2*kappa-A)*eta+sigma-D,1.48,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,0.25,-0.25,beta=(2*kappa-A)*eta+sigma-D,1.73,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,0.5,-0.5,beta=(2*kappa-A)*eta+sigma-D,1.98,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.08,6.0,0.0,0.0,1.0,-1.0,beta=(2*kappa-A)*eta+sigma-D,2.48,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,0.0,0.0,beta=(2*kappa-A)*eta+sigma-D,1.72,True,False,False,False,False
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,0.25,-0.25,beta=(2*kappa-A)*eta+sigma-D,1.97,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,0.5,-0.5,beta=(2*kappa-A)*eta+sigma-D,2.2199999999999998,False,False,False,False,True
markov_baseline,paper_proved_baseline,3.0,0.12,6.0,0.0,0.0,1.0,-1.0,beta=(2*kappa-A)*eta+sigma-D,2.7199999999999998,False,False,False,False,True
