k,pair_class,reduced_pair_types,word_pair_multiplicity,max_template_exponent,max_distinct_basepoint_exponent,max_same_basepoint_exponent,distinct_basepoint_partial_injection_failures,same_basepoint_partial_injection_failures,positive_power_obstruction,representative_w1,representative_w2,covariance_order_before_normalization,normalized_variance_order_after_n_minus_2
2,cyclic_or_inverse_conjugate,16,16,0,0,-1,0,0,False,AB,BA,O(1),O(n^-2)
2,generic_disjoint_generators,8,8,0,0,-1,0,0,False,AA,BB,O(1),O(n^-2)
2,generic_shared_generator,96,96,0,0,-1,0,96,False,AA,AB,O(1),O(n^-2)
2,identity_identity,1,16,-2,2,1,0,0,False,id,id,O(n^-2),O(n^-4)
2,identity_nontrivial,24,96,-2,1,0,0,0,False,id,AA,O(n^-2),O(n^-4)
2,inverse_reduced_word,12,12,0,0,-1,0,12,False,AA,aa,O(1),O(n^-2)
2,same_reduced_word,12,12,0,0,-1,0,12,False,AA,AA,O(1),O(n^-2)
4,cyclic_or_inverse_conjugate,464,2048,0,0,-1,0,320,False,AAAB,AABA,O(1),O(n^-2)
4,generic_disjoint_generators,32,968,0,0,-1,0,0,False,AA,BB,O(1),O(n^-2)
4,generic_shared_generator,13616,45872,0,0,-1,5136,12256,False,AA,AAAB,O(1),O(n^-2)
4,identity_identity,1,784,-2,2,1,0,0,False,id,id,O(n^-2),O(n^-4)
4,identity_nontrivial,240,12768,-2,1,0,48,48,False,id,AA,O(n^-2),O(n^-4)
4,inverse_reduced_word,120,1308,0,0,-1,24,120,False,AA,aa,O(1),O(n^-2)
4,same_reduced_word,120,1308,0,0,-1,24,120,False,AA,AA,O(1),O(n^-2)
4,shared_power_relation,48,480,0,0,-1,0,48,False,AA,AAAA,O(1),O(n^-2)
6,cyclic_or_inverse_conjugate,7536,272304,0,0,-1,0,5840,False,AAAAAB,AAAABA,O(1),O(n^-2)
6,generic_disjoint_generators,72,103968,0,0,-1,0,0,False,AA,BB,O(1),O(n^-2)
6,generic_shared_generator,1182528,14191248,0,0,-1,506352,1070032,False,AA,AAAAAB,O(1),O(n^-2)
6,identity_identity,1,53824,-2,2,1,0,0,False,id,id,O(n^-2),O(n^-4)
6,identity_nontrivial,2184,1792896,-2,1,0,528,528,False,id,AA,O(n^-2),O(n^-4)
6,inverse_reduced_word,1092,141528,0,0,-1,264,1092,False,AA,aa,O(1),O(n^-2)
6,same_reduced_word,1092,141528,0,0,-1,264,1092,False,AA,AA,O(1),O(n^-2)
6,shared_power_relation,144,79920,0,0,-1,0,144,False,AA,AAAA,O(1),O(n^-2)
