alpha_label,lambda_model,alpha_kind,alpha,lambda_power,energy_label,lambda_growth_exponent,set_volume_exponent_a,small_set_mass_exponent,small_set_bound_nontrivial,effective_support_exponent,support_fraction_exponent_vs_cover,classification
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,-1.0,-1.04,True,0.04,-0.96,nontrivial_mass_delocalization
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,0.0,-0.04,True,0.04,-0.96,nontrivial_mass_delocalization
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,0.05,0.010000000000000002,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,0.1,0.060000000000000005,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,0.25,0.21,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,0.5,0.46,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,0.75,0.71,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,fixed_low_energy,0.0,1.0,0.96,False,0.04,-0.96,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,-1.0,-1.04,True,0.04,-0.96,nontrivial_mass_delocalization
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,0.0,-0.04,True,0.04,-0.96,nontrivial_mass_delocalization
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,0.05,0.010000000000000002,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,0.1,0.060000000000000005,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,0.25,0.21,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,0.5,0.46,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,0.75,0.71,False,0.04,-0.96,standard_interpolation
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,bulk_fixed,0.0,1.0,0.96,False,0.04,-0.96,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,-1.0,-0.89,True,-0.11000000000000001,-1.11,nontrivial_mass_delocalization
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,0.0,0.11000000000000001,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,0.05,0.16000000000000003,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,0.1,0.21000000000000002,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,0.25,0.36,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,0.5,0.6100000000000001,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,0.75,0.86,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,mild_growth,0.05,1.0,1.1099999999999999,False,-0.11000000000000001,-1.11,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,-1.0,-0.43999999999999995,True,-0.56,-1.56,nontrivial_mass_delocalization
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,0.0,0.56,False,-0.56,-1.56,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,0.05,0.6100000000000001,False,-0.56,-1.56,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,0.1,0.6600000000000001,False,-0.56,-1.56,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,0.25,0.81,False,-0.56,-1.56,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,0.5,1.06,False,-0.56,-1.56,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,0.75,1.31,False,-0.56,-1.56,bookkeeping_only
direct_theorem2_representative,direct_lambda_3_over_2,proved_shape_representative,0.02,1.5,high_growth,0.2,1.0,1.56,False,-0.56,-1.56,bookkeeping_only
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,-1.0,-1.012,True,0.012,-0.988,nontrivial_mass_delocalization
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,0.0,-0.012,True,0.012,-0.988,nontrivial_mass_delocalization
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,0.05,0.038000000000000006,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,0.1,0.08800000000000001,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,0.25,0.238,False,0.012,-0.988,standard_interpolation
direct_small_alpha_stress,direct_lambda_3_over_2,proved_shape_representative,0.006,1.5,fixed_low_energy,0.0,0.5,0.488,False,0.012,-0.988,standard_interpolation
