kappa,eta,mechanism,classification,stratum_type,A,A_offset_from_markov,sigma,denominator_loss_D,Lambda0_power,candidate_beta,markov_variance_exponent,signed_variance_exponent,survives_absolute_values,coefficient_variation_equivalent,independent_signed_target,paper_proved_success
3.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,4.5,1.5,0.35,0.0,20,0.38,1.12,0.7400000000000001,True,False,True,False
3.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,fixed_d,4.5,1.5,0.35,0.0,20,0.38,1.12,0.7400000000000001,True,False,True,False
3.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,fixed_length,4.5,1.5,0.35,0.0,20,0.38,1.12,0.7400000000000001,True,False,True,False
3.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,primitive_power,4.5,1.5,0.35,0.0,20,0.38,1.12,0.7400000000000001,True,False,True,False
3.0,0.02,surface_signed_pointwise_grouping,surface_theorem_target,quotient_complexity,4.5,1.5,0.35,0.0,20,0.38,1.12,0.7400000000000001,True,False,True,False
3.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,all_terms,5.0,1.0,0.25,0.0,20,0.27,1.12,0.8500000000000001,True,False,True,False
3.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_d,5.0,1.0,0.25,0.0,20,0.27,1.12,0.8500000000000001,True,False,True,False
3.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_length,5.0,1.0,0.25,0.0,20,0.27,1.12,0.8500000000000001,True,False,True,False
3.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,primitive_power,5.0,1.0,0.25,0.0,20,0.27,1.12,0.8500000000000001,True,False,True,False
3.0,0.02,diagonal_offdiagonal_signed_balance,surface_theorem_target,quotient_complexity,5.0,1.0,0.25,0.0,20,0.27,1.12,0.8500000000000001,True,False,True,False
3.0,0.02,oscillatory_transform_phase,surface_theorem_target,all_terms,5.0,1.0,0.35,0.0,20,0.37,1.12,0.7500000000000001,True,False,True,False
3.0,0.02,oscillatory_transform_phase,surface_theorem_target,fixed_d,5.0,1.0,0.35,0.0,20,0.37,1.12,0.7500000000000001,True,False,True,False
3.0,0.02,oscillatory_transform_phase,surface_theorem_target,fixed_length,5.0,1.0,0.35,0.0,20,0.37,1.12,0.7500000000000001,True,False,True,False
3.0,0.02,oscillatory_transform_phase,surface_theorem_target,primitive_power,5.0,1.0,0.35,0.0,20,0.37,1.12,0.7500000000000001,True,False,True,False
3.0,0.02,oscillatory_transform_phase,surface_theorem_target,quotient_complexity,5.0,1.0,0.35,0.0,20,0.37,1.12,0.7500000000000001,True,False,True,False
3.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.0,0.0,20,0.04,1.12,1.08,False,True,False,False
3.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.0,0.0,20,0.04,1.12,1.08,False,True,False,False
3.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.0,0.0,20,0.04,1.12,1.08,False,True,False,False
3.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.0,0.0,20,0.04,1.12,1.08,False,True,False,False
3.0,0.02,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.0,0.0,20,0.04,1.12,1.08,False,True,False,False
3.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.15,0.0,20,0.19,1.12,0.9300000000000002,False,True,False,False
3.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.15,0.0,20,0.19,1.12,0.9300000000000002,False,True,False,False
3.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.15,0.0,20,0.19,1.12,0.9300000000000002,False,True,False,False
3.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.15,0.0,20,0.19,1.12,0.9300000000000002,False,True,False,False
3.0,0.02,coefficient_sign_variation_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.15,0.0,20,0.19,1.12,0.9300000000000002,False,True,False,False
3.0,0.02,x_zero_only_cancellation,range_blocked,special_point,4.0,2.0,0.35,0.0,20,0.38999999999999996,1.12,0.7300000000000002,False,False,False,False
3.0,0.02,off_range_reciprocal_cancellation,range_blocked,reciprocal_boundary,4.0,2.0,0.35,0.0,20,0.38999999999999996,1.12,0.7300000000000002,False,False,False,False
3.0,0.02,near_zero_denominator_signed_saving,denominator_blocked,denominator,4.0,2.0,0.6,1.0,20,-0.36,1.12,1.48,False,False,False,False
3.0,0.02,schreier_pairing_transfer,toy_only,toy,4.0,2.0,0.35,0.0,20,0.38999999999999996,1.12,0.7300000000000002,False,False,False,False
3.0,0.05,surface_signed_pointwise_grouping,surface_theorem_target,all_terms,4.5,1.5,0.35,0.0,20,0.425,1.3,0.875,True,False,True,False
3.0,0.05,surface_signed_pointwise_grouping,surface_theorem_target,fixed_d,4.5,1.5,0.35,0.0,20,0.425,1.3,0.875,True,False,True,False
3.0,0.05,surface_signed_pointwise_grouping,surface_theorem_target,fixed_length,4.5,1.5,0.35,0.0,20,0.425,1.3,0.875,True,False,True,False
3.0,0.05,surface_signed_pointwise_grouping,surface_theorem_target,primitive_power,4.5,1.5,0.35,0.0,20,0.425,1.3,0.875,True,False,True,False
3.0,0.05,surface_signed_pointwise_grouping,surface_theorem_target,quotient_complexity,4.5,1.5,0.35,0.0,20,0.425,1.3,0.875,True,False,True,False
3.0,0.05,diagonal_offdiagonal_signed_balance,surface_theorem_target,all_terms,5.0,1.0,0.25,0.0,20,0.3,1.3,1.0,True,False,True,False
3.0,0.05,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_d,5.0,1.0,0.25,0.0,20,0.3,1.3,1.0,True,False,True,False
3.0,0.05,diagonal_offdiagonal_signed_balance,surface_theorem_target,fixed_length,5.0,1.0,0.25,0.0,20,0.3,1.3,1.0,True,False,True,False
3.0,0.05,diagonal_offdiagonal_signed_balance,surface_theorem_target,primitive_power,5.0,1.0,0.25,0.0,20,0.3,1.3,1.0,True,False,True,False
3.0,0.05,diagonal_offdiagonal_signed_balance,surface_theorem_target,quotient_complexity,5.0,1.0,0.25,0.0,20,0.3,1.3,1.0,True,False,True,False
3.0,0.05,oscillatory_transform_phase,surface_theorem_target,all_terms,5.0,1.0,0.35,0.0,20,0.39999999999999997,1.3,0.9000000000000001,True,False,True,False
3.0,0.05,oscillatory_transform_phase,surface_theorem_target,fixed_d,5.0,1.0,0.35,0.0,20,0.39999999999999997,1.3,0.9000000000000001,True,False,True,False
3.0,0.05,oscillatory_transform_phase,surface_theorem_target,fixed_length,5.0,1.0,0.35,0.0,20,0.39999999999999997,1.3,0.9000000000000001,True,False,True,False
3.0,0.05,oscillatory_transform_phase,surface_theorem_target,primitive_power,5.0,1.0,0.35,0.0,20,0.39999999999999997,1.3,0.9000000000000001,True,False,True,False
3.0,0.05,oscillatory_transform_phase,surface_theorem_target,quotient_complexity,5.0,1.0,0.35,0.0,20,0.39999999999999997,1.3,0.9000000000000001,True,False,True,False
3.0,0.05,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.0,0.0,20,0.1,1.3,1.2,False,True,False,False
3.0,0.05,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.0,0.0,20,0.1,1.3,1.2,False,True,False,False
3.0,0.05,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.0,0.0,20,0.1,1.3,1.2,False,True,False,False
3.0,0.05,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,primitive_power,4.0,2.0,0.0,0.0,20,0.1,1.3,1.2,False,True,False,False
3.0,0.05,fixed_d_absolute_stratum_control,coefficient_variation_equivalent,quotient_complexity,4.0,2.0,0.0,0.0,20,0.1,1.3,1.2,False,True,False,False
3.0,0.05,coefficient_sign_variation_control,coefficient_variation_equivalent,all_terms,4.0,2.0,0.15,0.0,20,0.25,1.3,1.05,False,True,False,False
3.0,0.05,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_d,4.0,2.0,0.15,0.0,20,0.25,1.3,1.05,False,True,False,False
3.0,0.05,coefficient_sign_variation_control,coefficient_variation_equivalent,fixed_length,4.0,2.0,0.15,0.0,20,0.25,1.3,1.05,False,True,False,False
