kappa,eta,model,family,classification,A,sigma,denominator_loss_D,Lambda0_power,q_loss_exponent,variance_exponent,markov_variance_exponent,saving_vs_markov,candidate_beta,baseline_q_2kappa_reproduced,paper_proved_success,claims_proved_exponent_improvement
3.0,0.02,markov_baseline,markov,paper_proved_baseline,6.0,0.0,0.0,20,0.12,1.12,1.12,0.0,0.0,True,True,False
3.0,0.02,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,5.0,0.35,0.0,20,0.1,0.7500000000000001,1.12,0.37,0.37,False,False,False
3.0,0.02,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,4.0,0.6,0.0,20,0.08,0.4800000000000001,1.12,0.64,0.64,False,False,False
3.0,0.02,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,4.0,0.6,0.5,20,0.08,0.9800000000000001,1.12,0.14,0.14,False,False,False
3.0,0.02,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,4.0,0.0,0.0,20,0.08,1.08,1.12,0.040000000000000036,0.04,False,False,False
3.0,0.02,signed_cancellation_control,signed_cancellation,conditional_comparable_to_direct_input,4.5,0.35,0.0,20,0.09,0.7400000000000001,1.12,0.38,0.38,False,False,False
3.0,0.02,stronger_lemma33_input,lemma33,conditional_stronger_input,3.0,0.35,0.0,20,0.06,0.7100000000000001,1.12,0.41000000000000003,0.41,False,False,False
3.0,0.02,schreier_toy_transfer,toy_transfer,blocked_toy_only_insufficient,4.0,0.35,0.0,20,0.08,0.7300000000000001,1.12,0.39,0.38999999999999996,False,False,False
3.0,0.05,markov_baseline,markov,paper_proved_baseline,6.0,0.0,0.0,20,0.30000000000000004,1.3,1.3,0.0,0.0,True,True,False
3.0,0.05,direct_small_x_pointwise,direct_small_x,conditional_surface_theorem_target,5.0,0.35,0.0,20,0.25,0.9,1.3,0.4,0.39999999999999997,False,False,False
3.0,0.05,direct_small_x_strong,direct_small_x,conditional_surface_theorem_target,4.0,0.6,0.0,20,0.2,0.6,1.3,0.7000000000000001,0.7,False,False,False
3.0,0.05,direct_small_x_with_denominator_loss,direct_small_x,conditional_but_denominator_sensitive,4.0,0.6,0.5,20,0.2,1.1,1.3,0.19999999999999996,0.19999999999999996,False,False,False
3.0,0.05,coefficient_variation_control,coefficient_variation,conditional_stronger_structured_target,4.0,0.0,0.0,20,0.2,1.2,1.3,0.10000000000000009,0.1,False,False,False
