grouping_rule,group_key,L,variant,weight_scheme,n_power,coefficient_order,coefficient_signs_present,num_terms,num_profiles,signed_coefficient_sum,coefficient_absolute_variation,weight_l1,cancellation_ratio,notes
coefficient_sign_vector,-+++,4,all_conflict_free,weight_exp_decay_theta_0_5,1,1,-,2,1,-1.31872599999,1.31872599999,0.14652511111,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_exp_decay_theta_0_5,1,2,+,2,1,1.31872599999,1.31872599999,0.14652511111,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_exp_decay_theta_0_5,1,3,+,2,1,5.71447933329,5.71447933329,0.14652511111,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_exp_decay_theta_0_5,1,4,+,2,1,11.8685339999,11.8685339999,0.14652511111,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_length_inverse,1,1,-,2,1,-4.5,4.5,0.5,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_length_inverse,1,2,+,2,1,4.5,4.5,0.5,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_length_inverse,1,3,+,2,1,19.5,19.5,0.5,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_length_inverse,1,4,+,2,1,40.5,40.5,0.5,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_unweighted,1,1,-,2,1,-72,72,8,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_unweighted,1,2,+,2,1,72,72,8,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_unweighted,1,3,+,2,1,312,312,8,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,all_conflict_free,weight_unweighted,1,4,+,2,1,648,648,8,1,group rows refine ungrouped fixed-stratum signed sums
coefficient_sign_vector,-+++,4,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,-,2,1,-1.31872599999,1.31872599999,0.14652511111,1,group rows refine ungrouped fixed-stratum signed sums
