n,g,epsilon,alpha_label,alpha_kind,alpha,energy_label,lambda,density,mean_spacing,rigidity_radius,cluster_envelope,normalized_envelope,classification
1000,2,0.05,theorem1_representative,proved_shape_representative,0.006,edge_delta_n_alpha,0.4278279410038923,0.4339861643968355,0.0011521104611593139,0.6014479230122564,1441.7726364385344,1.4417726364385344,edge_endpoint_equivalent
1000,2,0.05,theorem1_representative,proved_shape_representative,0.006,near_edge_fixed,0.26,0.15210809644337234,0.0032871360019033754,0.4573359498860832,392.27200800418836,0.3922720080041884,rigidity_scale_cluster_bound
1000,2,0.05,theorem1_representative,proved_shape_representative,0.006,bulk_fixed,4.0,0.4999948025437013,0.0010000103950206527,2.056520273598676,4113.779760542762,4.113779760542762,tautological_or_endpoint_only
1000,2,0.05,theorem1_representative,proved_shape_representative,0.006,high_energy,100.0,0.5,0.001,12.078138351067805,24157.27770864714,24.15727770864714,high_energy_loss_dominated
1000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,edge_delta_n_alpha,0.4278279410038923,0.4339861643968355,0.0011521104611593139,0.6098148970698045,1465.0388662439043,1.4650388662439042,edge_endpoint_equivalent
1000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,near_edge_fixed,0.26,0.15210809644337234,0.0032871360019033754,0.46369812669619925,398.465494475165,0.398465494475165,rigidity_scale_cluster_bound
1000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,bulk_fixed,4.0,0.4999948025437013,0.0010000103950206527,2.0851293204000085,4170.981188098007,4.170981188098007,tautological_or_endpoint_only
1000,2,0.05,edge_weakened_representative,proved_shape_representative,0.004,high_energy,100.0,0.5,0.001,12.246161992650489,24493.32500581448,24.49332500581448,high_energy_loss_dominated
1000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,edge_delta_n_alpha,0.4278279410038923,0.4339861643968355,0.0011521104611593139,0.15747007323592901,407.63530812747587,0.4076353081274759,hypothetical_comparison_only
1000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,near_edge_fixed,0.26,0.15210809644337234,0.0032871360019033754,0.11973892130394326,80.37501483577489,0.08037501483577489,hypothetical_comparison_only
1000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,bulk_fixed,4.0,0.4999948025437013,0.0010000103950206527,0.5384346436393912,1077.8565073449565,1.0778565073449564,hypothetical_comparison_only
1000,2,0.05,bounded_loss_hypothetical,comparison_only_not_proved,0.2,high_energy,100.0,0.5,0.001,3.16227766016838,6325.555583859905,6.325555583859905,hypothetical_comparison_only
