n,Lambda,regime,Delta_exponent_d,Delta_lambda,delta_r_exact,delta_r_exponent,support_model,support_type,eta,support_R,support_exponent,R_delta_r,R_delta_exponent,asymptotic_R_delta,kernel,leakage_proxy,resolved_flag,small_leakage_flag,classification
1000000,0.25,edge,0,1,1,0,log_n,sub_polynomial,0,13.815510558,0,13.815510558,0,diverges_logarithmically,gaussian_fourier_tail,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,log_n,sub_polynomial,0,13.815510558,0,13.815510558,0,diverges_logarithmically,exponential_tail_proxy,1e-06,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,log_n,sub_polynomial,0,13.815510558,0,13.815510558,0,diverges_logarithmically,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0,1,0,1,0,stays_bounded,gaussian_fourier_tail,0.317310507863,true,false,fixed-quality only
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0,1,0,1,0,stays_bounded,exponential_tail_proxy,0.367879441171,true,false,fixed-quality only
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0,1,0,1,0,stays_bounded,compact_fejer_transition_proxy,0,true,true,fixed-quality only
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.002,1.02801629813,0.002,1.02801629813,0.002,goes_to_infinity,gaussian_fourier_tail,0.303942161204,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.002,1.02801629813,0.002,1.02801629813,0.002,goes_to_infinity,exponential_tail_proxy,0.357715858835,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.002,1.02801629813,0.002,1.02801629813,0.002,goes_to_infinity,compact_fejer_transition_proxy,0,true,true,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.004,1.05681750921,0.004,1.05681750921,0.004,goes_to_infinity,gaussian_fourier_tail,0.290594881746,true,false,small leakage asymptotically
1000000,0.25,edge,0,1,1,0,n_eta,polynomial,0.004,1.05681750921,0.004,1.05681750921,0.004,goes_to_infinity,exponential_tail_proxy,0.347560159112,true,false,small leakage asymptotically
