row_id	severity	classification	reason	message
1	warning	legacy_prior_campaign	pre-pivot public taxonomy sample artifact	ledger:line 17: artifact path 'data/public_taxonomy_sample/v0.1/raw/wfo/' not canonicalized
2	warning	legacy_prior_campaign	pre-pivot public taxonomy sample artifact	ledger:line 17: artifact path 'data/public_taxonomy_sample/v0.1/raw/gbif/' not canonicalized
3	warning	legacy_prior_campaign	pre-pivot public taxonomy sample artifact	ledger:line 17: artifact path 'data/public_taxonomy_sample/v0.1/raw/opentree/' not canonicalized
4	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.T3' has no ledger events yet
5	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.T2' has no ledger events yet
6	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M2.T1' has no ledger events yet
7	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M2.T6' has no ledger events yet
8	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M4.V1–V6' has no ledger events yet
9	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M2.T5' has no ledger events yet
10	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.T6' has no ledger events yet
11	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone '(Barrier 3)' has no ledger events yet
12	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M1.2' has no ledger events yet
13	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone '(Barrier 2)' has no ledger events yet
14	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M2.T3' has no ledger events yet
15	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M3.A' has no ledger events yet
16	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M1.3' has no ledger events yet
17	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone '(Barrier 4)' has no ledger events yet
18	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M0.1' has no ledger events yet
19	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M1.4' has no ledger events yet
20	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone '(Barrier 1)' has no ledger events yet
21	warning	active_phytograph	future or pending PhytoGraph milestone has no event yet	plan milestone 'M4.F1–F≥3' has no ledger events yet
