m,n,h,sampled_loss,l2_error_sq,du_l2_sq,d2u_l2_sq,regularity_certificate,bound_rhs,bound_ratio
4,1,0.25,0.0,0.375,78.95683520871486,49873.45460940924,12468.36365235231,12468.36365235231,33248.96973960616
4,2,0.25,0.0,0.375,315.82734083485946,797975.2737505478,199493.81843763695,199493.81843763695,531983.5158336986
4,4,0.25,0.0,0.375,1263.3093633394378,12767604.380008765,3191901.095002191,3191901.095002191,8511736.253339177
4,8,0.25,0.0,0.375,5053.237453357751,204281670.08014023,51070417.52003506,51070417.52003506,136187780.05342683
4,16,0.25,0.0,0.375,20212.949813431005,3268506721.2822437,817126680.3205609,817126680.3205609,2179004480.8548293
4,32,0.25,0.0,0.375,80851.79925372402,52296107540.5159,13074026885.128975,13074026885.128975,34864071693.67727
8,1,0.125,0.0,0.375,315.82734083485946,797975.2737505478,49873.45460940924,49873.45460940924,132995.87895842464
8,2,0.125,0.0,0.375,1263.3093633394378,12767604.380008765,797975.2737505478,797975.2737505478,2127934.0633347942
8,4,0.125,0.0,0.375,5053.237453357751,204281670.08014023,12767604.380008765,12767604.380008765,34046945.01335671
8,8,0.125,0.0,0.375,20212.949813431005,3268506721.2822437,204281670.08014023,204281670.08014023,544751120.2137073
8,16,0.125,0.0,0.375,80851.79925372402,52296107540.5159,3268506721.2822437,3268506721.2822437,8716017923.419317
8,32,0.125,0.0,0.375,323407.1970148961,836737720648.2544,52296107540.5159,52296107540.5159,139456286774.70908
16,1,0.0625,0.0,0.375,1263.3093633394378,12767604.380008765,199493.81843763695,199493.81843763695,531983.5158336986
16,2,0.0625,0.0,0.375,5053.237453357751,204281670.08014023,3191901.095002191,3191901.095002191,8511736.253339177
16,4,0.0625,0.0,0.375,20212.949813431005,3268506721.2822437,51070417.52003506,51070417.52003506,136187780.05342683
16,8,0.0625,0.0,0.375,80851.79925372402,52296107540.5159,817126680.3205609,817126680.3205609,2179004480.8548293
16,16,0.0625,0.0,0.375,323407.1970148961,836737720648.2544,13074026885.128975,13074026885.128975,34864071693.67727
16,32,0.0625,0.0,0.375,1293628.7880595843,13387803530372.07,209184430162.0636,209184430162.0636,557825147098.8363
