family	compound_class	n_taxa	n_assertions	n_sources
Acanthaceae	Triterpene	5	13	1
Acoraceae	Monoterpene	1	20	1
Acoraceae	Sesquiterpene	1	11	1
Acoraceae	Inorganic	1	9	1
Acoraceae	Phenylpropanoid	1	9	1
Acoraceae	Essential Oil	1	3	1
Acoraceae	Miscellaneous Alkaloid	1	3	1
Acoraceae	Benzenoid	1	2	1
Acoraceae	Carbohydrate	1	2	1
Acoraceae	Alkaloid Misc	1	1	1
Acoraceae	Alkaloid-Misc	1	1	1
Acoraceae	Alkane	1	1	1
Acoraceae	Alkane to C4	1	1	1
Acoraceae	Flavonoid	1	1	1
Acoraceae	Lipid	1	1	1
Acoraceae	Miscellaneous	1	1	1
Acoraceae	Oxygen Heterocycle	1	1	1
Acoraceae	Tannin	1	1	1
Acoraceae	Vitamin	1	1	1
Actinidiaceae	Inorganic	1	8	1
Actinidiaceae	Carotenoid	1	7	1
Actinidiaceae	Carbohydrate	1	5	1
Actinidiaceae	Flavonoid	1	3	1
Actinidiaceae	Vitamin	1	2	1
Actinidiaceae	Alicyclic	1	1	1
Actinidiaceae	Alkane	1	1	1
Actinidiaceae	Lipid	1	1	1
Actinidiaceae	Monoterpene Alkaloid	1	1	1
Actinidiaceae	Phenylpropanoid	1	1	1
Actinidiaceae	Proteid	1	1	1
Actinidiaceae	Sesquiterpene	1	1	1
Actinidiaceae	Steroid	1	1	1
Actinidiaceae	Tannin	1	1	1
Alismataceae	Inorganic	1	9	1
Alismataceae	Carbohydrate	1	8	1
Alismataceae	Flavonoid	1	4	1
Alismataceae	Lipid	1	4	1
Alismataceae	Proteid	1	3	1
Alismataceae	Miscellaneous Alkaloid	1	2	1
Alismataceae	Alkaloid	1	1	1
Alismataceae	Benzenoid	1	1	1
Alismataceae	Phenylpropanoid	1	1	1
Alismataceae	Steroid	1	1	1
Alismataceae	Tannin	1	1	1
Alismataceae	Vitamin	1	1	1
Amaranthaceae	Inorganic	2	15	1
Amaranthaceae	Carbohydrate	2	7	1
Amaranthaceae	Steroid	2	7	1
Amaranthaceae	Proteid	3	4	1
Amaranthaceae	Triterpene	3	3	1
Amaranthaceae	Vitamin	1	2	1
Amaranthaceae	Alkaloid	1	1	1
Amaranthaceae	Carotenoid	1	1	1
Amaranthaceae	Flavonoid	1	1	1
Amaranthaceae	Lipid	1	1	1
Amaryllidaceae	Proteid	4	204	1
Amaryllidaceae	Sulfur Compound	4	188	1
Amaryllidaceae	Inorganic	4	113	1
Amaryllidaceae	Carbohydrate	4	89	1
Amaryllidaceae	Lipid	4	75	1
Amaryllidaceae	Flavonoid	4	42	1
Amaryllidaceae	Phenylpropanoid	4	35	1
Amaryllidaceae	Vitamin	4	27	1
Amaryllidaceae	Steroid	4	24	1
Amaryllidaceae	Benzenoid	2	19	1
Amaryllidaceae	Sapogenin	2	17	1
Amaryllidaceae	Carotenoid	4	15	1
Amaryllidaceae	Triterpene	3	15	1
Amaryllidaceae	Alkaloid	3	10	1
Amaryllidaceae	Alkane	3	10	1
Amaryllidaceae	Alkane to C4	4	8	1
Amaryllidaceae	Miscellaneous	2	7	1
Amaryllidaceae	Alkaloid-Misc	2	6	1
Amaryllidaceae	Monoterpene	2	6	1
Amaryllidaceae	Oxygen Heterocycle	3	6	1
Amaryllidaceae	Alkanal to C4	1	5	1
Amaryllidaceae	Alkanol to C4	2	5	1
Amaryllidaceae	Coumarin	1	3	1
Amaryllidaceae	Diterpene	2	3	1
Amaryllidaceae	Essential Oil	2	3	1
Amaryllidaceae	Miscellaneoul	2	3	1
Amaryllidaceae	Miscellaneous Alkaloid	2	3	1
Amaryllidaceae	Quinolizidine Alkaloid	2	3	1
Amaryllidaceae	Alicyclic	2	2	1
Amaryllidaceae	Alkanal	1	2	1
Amaryllidaceae	Alkanol	1	2	1
Amaryllidaceae	Alkanone to C4	1	2	1
Amaryllidaceae	Alkene to C3	1	2	1
Amaryllidaceae	Misc Alkaloid	1	2	1
Amaryllidaceae	Proted	1	2	1
Amaryllidaceae	Sesquiterpene	2	2	1
Amaryllidaceae	Unknown	1	2	1
Amaryllidaceae	Alkene	1	1	1
Amaryllidaceae	Chromone	1	1	1
Amaryllidaceae	Indole Alkaloid	1	1	1
Amaryllidaceae	Miscellaneous alkaloid	1	1	1
Amaryllidaceae	Non-Alkaloid N-Heterocycle	1	1	1
Anacardiaceae	Inorganic	1	30	1
Anacardiaceae	Proteid	1	20	1
Anacardiaceae	Lipid	1	14	1
Anacardiaceae	Carbohydrate	1	12	1
Anacardiaceae	Vitamin	1	8	1
Anacardiaceae	Benzenoid	1	6	1
Anacardiaceae	Carotenoid	1	3	1
Anacardiaceae	Flavonoid	1	3	1
Anacardiaceae	Monoterpene	1	2	1
Anacardiaceae	Alkane to C4	1	1	1
Anacardiaceae	Quinolizidine Alkaloid	1	1	1
Anacardiaceae	Steroid	1	1	1
Anacardiaceae	Tannin	1	1	1
Anacardiaceae	Triterpene	1	1	1
Apiaceae	Monoterpene	6	398	1
Apiaceae	Coumarin	6	197	1
