track	speculation_statement	family	expected_validation_source	status	date_filed
track5	Family Acanthaceae signature is data-limited (status=data-limited:few_classes); no predictor output emitted.	Acanthaceae		data-limited	2026-05-18
track5	Family Acoraceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Acoraceae		data-limited	2026-05-18
track5	Family Actinidiaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Actinidiaceae		data-limited	2026-05-18
track5	Family Alismataceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Alismataceae		data-limited	2026-05-18
track5	Family Anacardiaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Anacardiaceae		data-limited	2026-05-18
track5	Family Araliaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Araliaceae		data-limited	2026-05-18
track5	Family Balanopaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Balanopaceae		data-limited	2026-05-18
track5	Family Basellaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Basellaceae		data-limited	2026-05-18
track5	Family Bixaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Bixaceae		data-limited	2026-05-18
track5	Family Bonnetiaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Bonnetiaceae		data-limited	2026-05-18
track5	Family Bromeliaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Bromeliaceae		data-limited	2026-05-18
track5	Family Convolvulaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Convolvulaceae		data-limited	2026-05-18
track5	Family Cornaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Cornaceae		data-limited	2026-05-18
track5	Family Cucurbitaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Cucurbitaceae		data-limited	2026-05-18
track5	Family Dilleniaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Dilleniaceae		data-limited	2026-05-18
track5	Family Euphorbiaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Euphorbiaceae		data-limited	2026-05-18
track5	Family Garryaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Garryaceae		data-limited	2026-05-18
track5	Family Lardizabalaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Lardizabalaceae		data-limited	2026-05-18
track5	Family Lauraceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Lauraceae		data-limited	2026-05-18
track5	Family Lecythidaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Lecythidaceae		data-limited	2026-05-18
track5	Family Lythraceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Lythraceae		data-limited	2026-05-18
track5	Family Menispermaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Menispermaceae		data-limited	2026-05-18
track5	Family Moraceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Moraceae		data-limited	2026-05-18
track5	Family Nartheciaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Nartheciaceae		data-limited	2026-05-18
track5	Family Oxalidaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Oxalidaceae		data-limited	2026-05-18
track5	Family Phyllanthaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Phyllanthaceae		data-limited	2026-05-18
track5	Family Plantaginaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Plantaginaceae		data-limited	2026-05-18
track5	Family Polygalaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Polygalaceae		data-limited	2026-05-18
track5	Family Primulaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Primulaceae		data-limited	2026-05-18
track5	Family Rhamnaceae signature is data-limited (status=data-limited:few_classes); no predictor output emitted.	Rhamnaceae		data-limited	2026-05-18
track5	Family Rosaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Rosaceae		data-limited	2026-05-18
track5	Family Saururaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Saururaceae		data-limited	2026-05-18
track5	Family Simaroubaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Simaroubaceae		data-limited	2026-05-18
track5	Family Thymelaeaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Thymelaeaceae		data-limited	2026-05-18
track5	Family Urticaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Urticaceae		data-limited	2026-05-18
track5	Family Verbenaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Verbenaceae		data-limited	2026-05-18
track5	Family Zygophyllaceae signature is data-limited (status=data-limited:few_taxa); no predictor output emitted.	Zygophyllaceae		data-limited	2026-05-18
