family	n_assertions	n_assertions_from_duke	duke_share	family_status_baseline	family_status_if_duke_dropped
Apiaceae	2361	2361	1.0	ge100_baseline	lost_entirely
Amaryllidaceae	1760	1760	1.0	ge100_baseline	lost_entirely
Malvaceae	789	789	1.0	ge100_baseline	lost_entirely
Ranunculaceae	687	685	0.997089	ge100_baseline	demoted_below_100
Rutaceae	590	590	1.0	ge100_baseline	lost_entirely
Lamiaceae	581	581	1.0	ge100_baseline	lost_entirely
Poaceae	503	502	0.998012	ge100_baseline	demoted_below_100
Berberidaceae	394	394	1.0	ge100_baseline	lost_entirely
Acoraceae	328	328	1.0	ge100_baseline	lost_entirely
Araceae	320	320	1.0	ge100_baseline	lost_entirely
Amaranthaceae	306	306	1.0	ge100_baseline	lost_entirely
Arecaceae	284	284	1.0	ge100_baseline	lost_entirely
Anacardiaceae	283	283	1.0	ge100_baseline	lost_entirely
Meliaceae	243	243	1.0	ge100_baseline	lost_entirely
Rosaceae	232	220	0.948276	ge100_baseline	demoted_below_100
Bromeliaceae	222	222	1.0	ge100_baseline	lost_entirely
Moraceae	206	206	1.0	ge100_baseline	lost_entirely
Euphorbiaceae	180	180	1.0	ge100_baseline	lost_entirely
Acanthaceae	160	160	1.0	ge100_baseline	lost_entirely
Bixaceae	147	147	1.0	ge100_baseline	lost_entirely
Betulaceae	146	145	0.993151	ge100_baseline	demoted_below_100
Oxalidaceae	145	145	1.0	ge100_baseline	lost_entirely
Araliaceae	143	143	1.0	ge100_baseline	lost_entirely
Verbenaceae	141	141	1.0	ge100_baseline	lost_entirely
Lecythidaceae	121	121	1.0	ge100_baseline	lost_entirely
Simaroubaceae	92	92	1.0	below_100_baseline	lost_entirely
Primulaceae	86	86	1.0	below_100_baseline	lost_entirely
Urticaceae	82	82	1.0	below_100_baseline	lost_entirely
Alismataceae	81	81	1.0	below_100_baseline	lost_entirely
Actinidiaceae	79	79	1.0	below_100_baseline	lost_entirely
Zygophyllaceae	75	75	1.0	below_100_baseline	lost_entirely
Vitaceae	74	74	1.0	below_100_baseline	lost_entirely
Basellaceae	72	72	1.0	below_100_baseline	lost_entirely
Cucurbitaceae	70	70	1.0	below_100_baseline	lost_entirely
Plantaginaceae	70	70	1.0	below_100_baseline	lost_entirely
Lauraceae	57	57	1.0	below_100_baseline	lost_entirely
Menispermaceae	56	56	1.0	below_100_baseline	lost_entirely
Phyllanthaceae	52	52	1.0	below_100_baseline	lost_entirely
Convolvulaceae	52	52	1.0	below_100_baseline	lost_entirely
Thymelaeaceae	49	49	1.0	below_100_baseline	lost_entirely
Lardizabalaceae	48	48	1.0	below_100_baseline	lost_entirely
Rhamnaceae	45	45	1.0	below_100_baseline	lost_entirely
Rubiaceae	45	45	1.0	below_100_baseline	lost_entirely
Cornaceae	35	35	1.0	below_100_baseline	lost_entirely
Nartheciaceae	32	32	1.0	below_100_baseline	lost_entirely
Bignoniaceae	31	31	1.0	below_100_baseline	lost_entirely
Campanulaceae	30	30	1.0	below_100_baseline	lost_entirely
Passifloraceae	27	27	1.0	below_100_baseline	lost_entirely
Liliaceae	22	22	1.0	below_100_baseline	lost_entirely
Saxifragaceae	19	19	1.0	below_100_baseline	lost_entirely
Polygalaceae	14	14	1.0	below_100_baseline	lost_entirely
Linderniaceae	12	12	1.0	below_100_baseline	lost_entirely
Lythraceae	11	11	1.0	below_100_baseline	lost_entirely
Scrophulariaceae	11	11	1.0	below_100_baseline	lost_entirely
Nyctaginaceae	10	10	1.0	below_100_baseline	lost_entirely
Bataceae	9	9	1.0	below_100_baseline	lost_entirely
Violaceae	9	9	1.0	below_100_baseline	lost_entirely
Cactaceae	8	8	1.0	below_100_baseline	lost_entirely
Anisophylleaceae	7	7	1.0	below_100_baseline	lost_entirely
Elaeocarpaceae	6	6	1.0	below_100_baseline	lost_entirely
Asteraceae	6	6	1.0	below_100_baseline	lost_entirely
Ancistrocladaceae	5	5	1.0	below_100_baseline	lost_entirely
Connaraceae	5	5	1.0	below_100_baseline	lost_entirely
Dilleniaceae	4	4	1.0	below_100_baseline	lost_entirely
Orobanchaceae	4	4	1.0	below_100_baseline	lost_entirely
Torricelliaceae	4	4	1.0	below_100_baseline	lost_entirely
Cannabaceae	4	4	1.0	below_100_baseline	lost_entirely
Saururaceae	4	4	1.0	below_100_baseline	lost_entirely
Salvadoraceae	3	3	1.0	below_100_baseline	lost_entirely
Melanthiaceae	3	3	1.0	below_100_baseline	lost_entirely
Garryaceae	3	3	1.0	below_100_baseline	lost_entirely
Sapotaceae	3	3	1.0	below_100_baseline	lost_entirely
Gentianaceae	2	2	1.0	below_100_baseline	lost_entirely
Bonnetiaceae	2	2	1.0	below_100_baseline	lost_entirely
Balanopaceae	2	2	1.0	below_100_baseline	lost_entirely
Melastomataceae	2	2	1.0	below_100_baseline	lost_entirely
Elatinaceae	2	2	1.0	below_100_baseline	lost_entirely
Icacinaceae	2	2	1.0	below_100_baseline	lost_entirely
Anacampserotaceae	1	1	1.0	below_100_baseline	lost_entirely
Achatocarpaceae	1	1	1.0	below_100_baseline	lost_entirely
Crassulaceae	1	1	1.0	below_100_baseline	lost_entirely
Francoaceae	1	1	1.0	below_100_baseline	lost_entirely
Iridaceae	1	1	1.0	below_100_baseline	lost_entirely
Loganiaceae	1	1	1.0	below_100_baseline	lost_entirely
Centroplacaceae	1	1	1.0	below_100_baseline	lost_entirely
Pandanaceae	1	1	1.0	below_100_baseline	lost_entirely
Picramniaceae	1	1	1.0	below_100_baseline	lost_entirely
Polygonaceae	1	1	1.0	below_100_baseline	lost_entirely
Opiliaceae	1	1	1.0	below_100_baseline	lost_entirely
Styracaceae	1	1	1.0	below_100_baseline	lost_entirely
Viburnaceae	1	1	1.0	below_100_baseline	lost_entirely
