raw_scientific_name	canonical_node_id	chromosome_count_assertion_count	distinct_reported_counts	reported_counts_list	ploidy_context_assertion_count	hybridization_event_count	polyploidization_event_count	reticulate_inheritance_evidence_count	explicit_parent_count	evidence_class_count	evidence_classes	source_count	source_ids	source_names	source_versions	access_dates	licenses	input_tables	reticulation_seed_flag	count_only_flag	event_supported_flag	allowed_support_summary
Arabidopsis thaliana	raw_name:Arabidopsis_thaliana	1	1	2n=10	1	0	0	0	0	2	chromosome_count_assertion|ploidy_context	2	ccdb|plant_dna_cvalues	Chromosome Counts Database|Plant DNA C-values Database	Release 7.1, April 2019|site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use|Not stated on probed pages; cite Kew Plant DNA C-values Database	chromosome_count_assertions.tsv|ploidy_state_assertions.tsv	true	false	false	supports caveated ploidy-context evidence only; does not establish event timing or progenitors || supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Arachis hypogaea	raw_name:Arachis_hypogaea	1	1	2n=40	0	0	0	0	0	1	chromosome_count_assertion	1	ccdb	Chromosome Counts Database	site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv	false	true	false	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Brassica napus	raw_name:Brassica_napus	1	1	2n=38	1	0	1	1	4	4	chromosome_count_assertion|ploidy_context|polyploidization_event|reticulate_inheritance_evidence	2	ccdb|wood_2009_polyploid_speciation	Chromosome Counts Database|Wood et al. 2009 polyploid speciation synthesis	2009 PNAS article|site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Article/supplement copyright by PNAS; factual extracted rows only|Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv|ploidy_state_assertions.tsv|polyploidization_events.tsv|reticulate_inheritance_evidence.tsv	true	false	true	supports caveated ploidy-context evidence only; does not establish event timing or progenitors || supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement || supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating || supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Gossypium hirsutum	raw_name:Gossypium_hirsutum	1	1	2n=52	0	0	0	0	0	1	chromosome_count_assertion	1	ccdb	Chromosome Counts Database	site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv	false	true	false	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Musa acuminata	raw_name:Musa_acuminata	1	1	2n=22	0	0	0	0	0	1	chromosome_count_assertion	1	ccdb	Chromosome Counts Database	site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv	false	true	false	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Musa balbisiana	raw_name:Musa_balbisiana	1	1	2n=22	0	0	0	0	0	1	chromosome_count_assertion	1	ccdb	Chromosome Counts Database	site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv	false	true	false	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Oryza sativa	raw_name:Oryza_sativa	1	1	2n=24	0	0	0	0	0	1	chromosome_count_assertion	1	ccdb	Chromosome Counts Database	site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv	false	true	false	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Spartina anglica	raw_name:Spartina_anglica	1	1	2n=120	1	1	0	1	4	4	chromosome_count_assertion|hybridization_event|ploidy_context|reticulate_inheritance_evidence	2	ccdb|wood_2009_polyploid_speciation	Chromosome Counts Database|Wood et al. 2009 polyploid speciation synthesis	2009 PNAS article|site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Article/supplement copyright by PNAS; factual extracted rows only|Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv|hybridization_events.tsv|ploidy_state_assertions.tsv|reticulate_inheritance_evidence.tsv	true	false	true	supports caveated ploidy-context evidence only; does not establish event timing or progenitors || supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement || supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating || supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Tragopogon mirus	raw_name:Tragopogon_mirus	1	1	2n=24	1	0	1	1	4	4	chromosome_count_assertion|ploidy_context|polyploidization_event|reticulate_inheritance_evidence	2	ccdb|wood_2009_polyploid_speciation	Chromosome Counts Database|Wood et al. 2009 polyploid speciation synthesis	2009 PNAS article|site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Article/supplement copyright by PNAS; factual extracted rows only|Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv|ploidy_state_assertions.tsv|polyploidization_events.tsv|reticulate_inheritance_evidence.tsv	true	false	true	supports caveated ploidy-context evidence only; does not establish event timing or progenitors || supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement || supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating || supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Tragopogon miscellus	raw_name:Tragopogon_miscellus	1	1	2n=24	1	0	1	1	4	4	chromosome_count_assertion|ploidy_context|polyploidization_event|reticulate_inheritance_evidence	2	ccdb|wood_2009_polyploid_speciation	Chromosome Counts Database|Wood et al. 2009 polyploid speciation synthesis	2009 PNAS article|site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Article/supplement copyright by PNAS; factual extracted rows only|Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv|ploidy_state_assertions.tsv|polyploidization_events.tsv|reticulate_inheritance_evidence.tsv	true	false	true	supports caveated ploidy-context evidence only; does not establish event timing or progenitors || supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement || supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating || supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Triticum aestivum	raw_name:Triticum_aestivum	1	1	2n=42	1	0	1	1	6	4	chromosome_count_assertion|ploidy_context|polyploidization_event|reticulate_inheritance_evidence	2	ccdb|wood_2009_polyploid_speciation	Chromosome Counts Database|Wood et al. 2009 polyploid speciation synthesis	2009 PNAS article|site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Article/supplement copyright by PNAS; factual extracted rows only|Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv|ploidy_state_assertions.tsv|polyploidization_events.tsv|reticulate_inheritance_evidence.tsv	true	false	true	supports caveated ploidy-context evidence only; does not establish event timing or progenitors || supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement || supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating || supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
Zea mays	raw_name:Zea_mays	1	1	2n=20	0	0	0	0	0	1	chromosome_count_assertion	1	ccdb	Chromosome Counts Database	site probed 2026-05-17; landing page reports version 1.66.6 in prior audit	2026-05-17	Not stated on probed pages; citation-required database use	chromosome_count_assertions.tsv	false	true	false	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event
