"check","r","k","residual"
"series_ladder",0,0,0
"series_ladder",0,1,0
"series_ladder",0,2,0
"series_ladder",0,3,0
"series_ladder",0,4,0
"series_ladder",0,5,0
"series_ladder",0,6,0
"series_ladder",0,7,0
"series_ladder",0,8,0
"series_ladder",0,9,0
"series_ladder",0,10,0
"series_ladder",0,11,0
"series_ladder",0,12,0
"series_ladder",0,13,0
"series_ladder",0,14,0
"series_ladder",0,15,0
"series_ladder",0,16,0
"series_ladder",0,17,0
"series_ladder",0,18,0
"series_ladder",0,19,0
"series_ladder",0,20,0
"series_ladder",0,21,0
"series_ladder",0,22,0
"series_ladder",0,23,0
"series_ladder",0,24,0
"series_ladder",0,25,0
"series_ladder",0,26,0
"series_ladder",0,27,0
"series_ladder",0,28,0
"series_ladder",0,29,0
"series_ladder",0,30,0
"series_ladder",0,31,0
"series_ladder",0,32,0
"series_ladder",0,33,0
"series_ladder",0,34,0
"series_ladder",0,35,0
"series_ladder",0,36,0
"series_ladder",0,37,0
"series_ladder",0,38,0
"series_ladder",0,39,0
"series_ladder",0,40,0
"series_ladder",1,0,0
"series_ladder",1,1,0
"series_ladder",1,2,0
"series_ladder",1,3,0
"series_ladder",1,4,0
"series_ladder",1,5,0
"series_ladder",1,6,0
"series_ladder",1,7,0
"series_ladder",1,8,0
"series_ladder",1,9,0
"series_ladder",1,10,0
"series_ladder",1,11,0
"series_ladder",1,12,0
"series_ladder",1,13,0
"series_ladder",1,14,0
"series_ladder",1,15,0
"series_ladder",1,16,0
"series_ladder",1,17,0
"series_ladder",1,18,0
"series_ladder",1,19,0
"series_ladder",1,20,0
"series_ladder",1,21,0
"series_ladder",1,22,0
"series_ladder",1,23,0
"series_ladder",1,24,0
"series_ladder",1,25,0
"series_ladder",1,26,0
"series_ladder",1,27,0
"series_ladder",1,28,0
"series_ladder",1,29,0
"series_ladder",1,30,0
"series_ladder",1,31,0
"series_ladder",1,32,0
"series_ladder",1,33,0
"series_ladder",1,34,0
"series_ladder",1,35,0
"series_ladder",1,36,0
"series_ladder",1,37,0
"series_ladder",1,38,0
"series_ladder",1,39,0
"series_ladder",1,40,0
"series_ladder",2,0,0
"series_ladder",2,1,0
"series_ladder",2,2,0
"series_ladder",2,3,0
"series_ladder",2,4,0
"series_ladder",2,5,0
"series_ladder",2,6,0
"series_ladder",2,7,0
"series_ladder",2,8,0
"series_ladder",2,9,0
"series_ladder",2,10,0
"series_ladder",2,11,0
"series_ladder",2,12,0
"series_ladder",2,13,0
"series_ladder",2,14,0
"series_ladder",2,15,0
"series_ladder",2,16,0
"series_ladder",2,17,0
"series_ladder",2,18,0
"series_ladder",2,19,0
"series_ladder",2,20,0
"series_ladder",2,21,0
"series_ladder",2,22,0
"series_ladder",2,23,0
"series_ladder",2,24,0
"series_ladder",2,25,0
"series_ladder",2,26,0
"series_ladder",2,27,0
"series_ladder",2,28,0
"series_ladder",2,29,0
"series_ladder",2,30,0
"series_ladder",2,31,0
"series_ladder",2,32,0
"series_ladder",2,33,0
"series_ladder",2,34,0
"series_ladder",2,35,0
"series_ladder",2,36,0
"series_ladder",2,37,0
"series_ladder",2,38,0
"series_ladder",2,39,0
"series_ladder",2,40,0
"series_ladder",3,0,0
"series_ladder",3,1,0
"series_ladder",3,2,0
"series_ladder",3,3,0
"series_ladder",3,4,0
"series_ladder",3,5,0
"series_ladder",3,6,0
"series_ladder",3,7,0
"series_ladder",3,8,0
"series_ladder",3,9,0
"series_ladder",3,10,0
"series_ladder",3,11,0
"series_ladder",3,12,0
"series_ladder",3,13,0
"series_ladder",3,14,0
"series_ladder",3,15,0
"series_ladder",3,16,0
"series_ladder",3,17,0
"series_ladder",3,18,0
"series_ladder",3,19,0
"series_ladder",3,20,0
"series_ladder",3,21,0
"series_ladder",3,22,0
"series_ladder",3,23,0
"series_ladder",3,24,0
"series_ladder",3,25,0
"series_ladder",3,26,0
"series_ladder",3,27,0
"series_ladder",3,28,0
"series_ladder",3,29,0
"series_ladder",3,30,0
"series_ladder",3,31,0
"series_ladder",3,32,0
"series_ladder",3,33,0
"series_ladder",3,34,0
"series_ladder",3,35,0
"series_ladder",3,36,0
"series_ladder",3,37,0
"series_ladder",3,38,0
"series_ladder",3,39,0
"series_ladder",3,40,0
"series_ladder",4,0,0
"series_ladder",4,1,0
"series_ladder",4,2,0
"series_ladder",4,3,0
"series_ladder",4,4,0
"series_ladder",4,5,0
"series_ladder",4,6,0
"series_ladder",4,7,0
"series_ladder",4,8,0
"series_ladder",4,9,0
"series_ladder",4,10,0
"series_ladder",4,11,0
"series_ladder",4,12,0
"series_ladder",4,13,0
"series_ladder",4,14,0
"series_ladder",4,15,0
"series_ladder",4,16,0
"series_ladder",4,17,0
"series_ladder",4,18,0
"series_ladder",4,19,0
"series_ladder",4,20,0
"series_ladder",4,21,0
"series_ladder",4,22,0
"series_ladder",4,23,0
"series_ladder",4,24,0
"series_ladder",4,25,0
"series_ladder",4,26,0
"series_ladder",4,27,0
"series_ladder",4,28,0
"series_ladder",4,29,0
"series_ladder",4,30,0
"series_ladder",4,31,0
"series_ladder",4,32,0
"series_ladder",4,33,0
"series_ladder",4,34,0
"series_ladder",4,35,0
"series_ladder",4,36,0
"series_ladder",4,37,0
"series_ladder",4,38,0
"series_ladder",4,39,0
"series_ladder",4,40,0
"series_ladder",5,0,0
"series_ladder",5,1,0
"series_ladder",5,2,0
"series_ladder",5,3,0
"series_ladder",5,4,0
"series_ladder",5,5,0
"series_ladder",5,6,0
"series_ladder",5,7,0
"series_ladder",5,8,0
"series_ladder",5,9,0
"series_ladder",5,10,0
"series_ladder",5,11,0
"series_ladder",5,12,0
"series_ladder",5,13,0
"series_ladder",5,14,0
"series_ladder",5,15,0
"series_ladder",5,16,0
"series_ladder",5,17,0
"series_ladder",5,18,0
"series_ladder",5,19,0
"series_ladder",5,20,0
"series_ladder",5,21,0
"series_ladder",5,22,0
"series_ladder",5,23,0
"series_ladder",5,24,0
"series_ladder",5,25,0
"series_ladder",5,26,0
"series_ladder",5,27,0
"series_ladder",5,28,0
"series_ladder",5,29,0
"series_ladder",5,30,0
"series_ladder",5,31,0
"series_ladder",5,32,0
"series_ladder",5,33,0
"series_ladder",5,34,0
"series_ladder",5,35,0
"series_ladder",5,36,0
"series_ladder",5,37,0
"series_ladder",5,38,0
"series_ladder",5,39,0
"series_ladder",5,40,0
"series_ladder",6,0,0
"series_ladder",6,1,0
"series_ladder",6,2,0
"series_ladder",6,3,0
"series_ladder",6,4,0
"series_ladder",6,5,0
"series_ladder",6,6,0
"series_ladder",6,7,0
"series_ladder",6,8,0
"series_ladder",6,9,0
"series_ladder",6,10,0
"series_ladder",6,11,0
"series_ladder",6,12,0
"series_ladder",6,13,0
"series_ladder",6,14,0
"series_ladder",6,15,0
"series_ladder",6,16,0
"series_ladder",6,17,0
"series_ladder",6,18,0
"series_ladder",6,19,0
"series_ladder",6,20,0
"series_ladder",6,21,0
"series_ladder",6,22,0
"series_ladder",6,23,0
"series_ladder",6,24,0
"series_ladder",6,25,0
"series_ladder",6,26,0
"series_ladder",6,27,0
"series_ladder",6,28,0
"series_ladder",6,29,0
"series_ladder",6,30,0
"series_ladder",6,31,0
"series_ladder",6,32,0
"series_ladder",6,33,0
"series_ladder",6,34,0
"series_ladder",6,35,0
"series_ladder",6,36,0
"series_ladder",6,37,0
"series_ladder",6,38,0
"series_ladder",6,39,0
"series_ladder",6,40,0
"series_ladder",7,0,0
"series_ladder",7,1,0
"series_ladder",7,2,0
"series_ladder",7,3,0
"series_ladder",7,4,0
"series_ladder",7,5,0
"series_ladder",7,6,0
"series_ladder",7,7,0
"series_ladder",7,8,0
"series_ladder",7,9,0
"series_ladder",7,10,0
"series_ladder",7,11,0
"series_ladder",7,12,0
"series_ladder",7,13,0
"series_ladder",7,14,0
"series_ladder",7,15,0
"series_ladder",7,16,0
"series_ladder",7,17,0
"series_ladder",7,18,0
"series_ladder",7,19,0
"series_ladder",7,20,0
"series_ladder",7,21,0
"series_ladder",7,22,0
"series_ladder",7,23,0
"series_ladder",7,24,0
"series_ladder",7,25,0
"series_ladder",7,26,0
"series_ladder",7,27,0
"series_ladder",7,28,0
"series_ladder",7,29,0
"series_ladder",7,30,0
"series_ladder",7,31,0
"series_ladder",7,32,0
"series_ladder",7,33,0
"series_ladder",7,34,0
"series_ladder",7,35,0
"series_ladder",7,36,0
"series_ladder",7,37,0
"series_ladder",7,38,0
"series_ladder",7,39,0
"series_ladder",7,40,0
"series_ladder",8,0,0
"series_ladder",8,1,0
"series_ladder",8,2,0
"series_ladder",8,3,0
"series_ladder",8,4,0
"series_ladder",8,5,0
"series_ladder",8,6,0
"series_ladder",8,7,0
"series_ladder",8,8,0
"series_ladder",8,9,0
"series_ladder",8,10,0
"series_ladder",8,11,0
"series_ladder",8,12,0
"series_ladder",8,13,0
"series_ladder",8,14,0
"series_ladder",8,15,0
"series_ladder",8,16,0
"series_ladder",8,17,0
"series_ladder",8,18,0
"series_ladder",8,19,0
"series_ladder",8,20,0
"series_ladder",8,21,0
"series_ladder",8,22,0
"series_ladder",8,23,0
"series_ladder",8,24,0
"series_ladder",8,25,0
"series_ladder",8,26,0
"series_ladder",8,27,0
"series_ladder",8,28,0
"series_ladder",8,29,0
"series_ladder",8,30,0
"series_ladder",8,31,0
"series_ladder",8,32,0
"series_ladder",8,33,0
"series_ladder",8,34,0
"series_ladder",8,35,0
"series_ladder",8,36,0
"series_ladder",8,37,0
"series_ladder",8,38,0
"series_ladder",8,39,0
"series_ladder",8,40,0
"series_ladder",9,0,0
"series_ladder",9,1,0
"series_ladder",9,2,0
"series_ladder",9,3,0
"series_ladder",9,4,0
"series_ladder",9,5,0
"series_ladder",9,6,0
"series_ladder",9,7,0
"series_ladder",9,8,0
"series_ladder",9,9,0
"series_ladder",9,10,0
"series_ladder",9,11,0
"series_ladder",9,12,0
"series_ladder",9,13,0
"series_ladder",9,14,0
"series_ladder",9,15,0
"series_ladder",9,16,0
"series_ladder",9,17,0
"series_ladder",9,18,0
"series_ladder",9,19,0
"series_ladder",9,20,0
"series_ladder",9,21,0
"series_ladder",9,22,0
"series_ladder",9,23,0
"series_ladder",9,24,0
"series_ladder",9,25,0
"series_ladder",9,26,0
"series_ladder",9,27,0
"series_ladder",9,28,0
"series_ladder",9,29,0
"series_ladder",9,30,0
"series_ladder",9,31,0
"series_ladder",9,32,0
"series_ladder",9,33,0
"series_ladder",9,34,0
"series_ladder",9,35,0
"series_ladder",9,36,0
"series_ladder",9,37,0
"series_ladder",9,38,0
"series_ladder",9,39,0
"series_ladder",9,40,0
"series_ladder",10,0,0
"series_ladder",10,1,0
"series_ladder",10,2,0
"series_ladder",10,3,0
"series_ladder",10,4,0
"series_ladder",10,5,0
"series_ladder",10,6,0
"series_ladder",10,7,0
"series_ladder",10,8,0
"series_ladder",10,9,0
"series_ladder",10,10,0
"series_ladder",10,11,0
"series_ladder",10,12,0
"series_ladder",10,13,0
"series_ladder",10,14,0
"series_ladder",10,15,0
"series_ladder",10,16,0
"series_ladder",10,17,0
"series_ladder",10,18,0
"series_ladder",10,19,0
"series_ladder",10,20,0
"series_ladder",10,21,0
"series_ladder",10,22,0
"series_ladder",10,23,0
"series_ladder",10,24,0
"series_ladder",10,25,0
"series_ladder",10,26,0
"series_ladder",10,27,0
"series_ladder",10,28,0
"series_ladder",10,29,0
"series_ladder",10,30,0
"series_ladder",10,31,0
"series_ladder",10,32,0
"series_ladder",10,33,0
"series_ladder",10,34,0
"series_ladder",10,35,0
"series_ladder",10,36,0
"series_ladder",10,37,0
"series_ladder",10,38,0
"series_ladder",10,39,0
"series_ladder",10,40,0
"series_ladder",11,0,0
"series_ladder",11,1,0
"series_ladder",11,2,0
"series_ladder",11,3,0
"series_ladder",11,4,0
"series_ladder",11,5,0
"series_ladder",11,6,0
"series_ladder",11,7,0
"series_ladder",11,8,0
"series_ladder",11,9,0
"series_ladder",11,10,0
"series_ladder",11,11,0
"series_ladder",11,12,0
"series_ladder",11,13,0
"series_ladder",11,14,0
"series_ladder",11,15,0
"series_ladder",11,16,0
"series_ladder",11,17,0
"series_ladder",11,18,0
"series_ladder",11,19,0
"series_ladder",11,20,0
"series_ladder",11,21,0
"series_ladder",11,22,0
"series_ladder",11,23,0
"series_ladder",11,24,0
"series_ladder",11,25,0
"series_ladder",11,26,0
"series_ladder",11,27,0
"series_ladder",11,28,0
"series_ladder",11,29,0
"series_ladder",11,30,0
"series_ladder",11,31,0
"series_ladder",11,32,0
"series_ladder",11,33,0
"series_ladder",11,34,0
"series_ladder",11,35,0
"series_ladder",11,36,0
"series_ladder",11,37,0
"series_ladder",11,38,0
"series_ladder",11,39,0
