"alpha","N","j","exponent","target_sign","signed_coefficient","object_count","canonical_object"
0,0,-2,11,1,0,0,"none"
0,0,-1,3,-1,0,0,"none"
0,0,0,0,1,1,1,"n=0,S={}"
0,0,1,2,-1,0,0,"none"
0,0,2,9,1,0,0,"none"
0,1,-3,24,-1,0,0,"none"
0,1,-2,11,1,0,0,"none"
0,1,-1,3,-1,0,0,"none"
0,1,0,0,1,1,1,"n=0,S={}"
0,1,1,2,-1,0,0,"none"
0,1,2,9,1,0,0,"none"
0,1,3,21,-1,0,0,"none"
0,2,-3,24,-1,0,0,"none"
0,2,-2,11,1,0,0,"none"
0,2,-1,3,-1,0,2,"n=0,S={1;2}"
0,2,0,0,1,1,1,"n=0,S={}"
0,2,1,2,-1,-1,1,"n=0,S={2}"
0,2,2,9,1,0,0,"none"
0,2,3,21,-1,0,0,"none"
0,2,4,38,1,0,0,"none"
0,3,-3,24,-1,0,0,"none"
0,3,-2,11,1,0,0,"none"
0,3,-1,3,-1,-1,3,"n=0,S={3}"
0,3,0,0,1,1,1,"n=0,S={}"
0,3,1,2,-1,-1,1,"n=0,S={2}"
0,3,2,9,1,1,1,"n=3,S={}"
0,3,3,21,-1,0,0,"none"
0,3,4,38,1,0,0,"none"
0,4,-3,24,-1,0,0,"none"
0,4,-2,11,1,1,1,"n=2,S={3;4}"
0,4,-1,3,-1,-1,3,"n=0,S={3}"
0,4,0,0,1,1,1,"n=0,S={}"
0,4,1,2,-1,-1,1,"n=0,S={2}"
0,4,2,9,1,0,2,"n=0,S={2;3;4}"
0,4,3,21,-1,0,0,"none"
0,4,4,38,1,0,0,"none"
0,5,-3,24,-1,0,0,"none"
0,5,-2,11,1,0,4,"n=0,S={2;4;5}"
0,5,-1,3,-1,-1,3,"n=0,S={3}"
0,5,0,0,1,1,1,"n=0,S={}"
0,5,1,2,-1,-1,1,"n=0,S={2}"
0,5,2,9,1,0,6,"n=0,S={4;5}"
0,5,3,21,-1,-1,1,"n=4,S={5}"
0,5,4,38,1,0,0,"none"
0,6,-3,24,-1,-1,1,"n=3,S={4;5;6}"
0,6,-2,11,1,0,8,"n=0,S={5;6}"
0,6,-1,3,-1,-1,3,"n=0,S={3}"
0,6,0,0,1,1,1,"n=0,S={}"
0,6,1,2,-1,-1,1,"n=0,S={2}"
0,6,2,9,1,1,9,"n=0,S={3;6}"
0,6,3,21,-1,-1,3,"n=0,S={1;2;3;4;5;6}"
0,6,4,38,1,0,0,"none"
0,7,-3,24,-1,-1,5,"n=0,S={2;4;5;6;7}"
0,7,-2,11,1,0,12,"n=0,S={4;7}"
0,7,-1,3,-1,-1,3,"n=0,S={3}"
0,7,0,0,1,1,1,"n=0,S={}"
0,7,1,2,-1,-1,1,"n=0,S={2}"
0,7,2,9,1,2,10,"n=0,S={2;7}"
0,7,3,21,-1,-1,11,"n=0,S={3;5;6;7}"
0,7,4,38,1,1,1,"n=5,S={6;7}"
0,8,-3,24,-1,-1,21,"n=0,S={3;6;7;8}"
0,8,-2,11,1,1,15,"n=0,S={3;8}"
0,8,-1,3,-1,-1,3,"n=0,S={3}"
0,8,0,0,1,1,1,"n=0,S={}"
0,8,1,2,-1,-1,1,"n=0,S={2}"
0,8,2,9,1,2,12,"n=0,S={1;8}"
0,8,3,21,-1,0,26,"n=0,S={6;7;8}"
0,8,4,38,1,1,1,"n=5,S={6;7}"
0,9,-3,24,-1,0,44,"n=0,S={7;8;9}"
0,9,-2,11,1,2,16,"n=0,S={2;9}"
0,9,-1,3,-1,-1,3,"n=0,S={3}"
0,9,0,0,1,1,1,"n=0,S={}"
0,9,1,2,-1,-1,1,"n=0,S={2}"
0,9,2,9,1,1,13,"n=0,S={9}"
0,9,3,21,-1,1,43,"n=0,S={4;8;9}"
0,9,4,38,1,0,14,"n=0,S={3;5;6;7;8;9}"
0,10,-3,24,-1,1,69,"n=0,S={5;9;10}"
0,10,-2,11,1,2,18,"n=0,S={1;10}"
0,10,-1,3,-1,-1,3,"n=0,S={3}"
0,10,0,0,1,1,1,"n=0,S={}"
0,10,1,2,-1,-1,1,"n=0,S={2}"
0,10,2,9,1,1,13,"n=0,S={9}"
0,10,3,21,-1,-1,59,"n=0,S={2;9;10}"
0,10,4,38,1,1,53,"n=0,S={4;7;8;9;10}"
0,11,-3,24,-1,1,95,"n=0,S={3;10;11}"
0,11,-2,11,1,1,19,"n=0,S={11}"
0,11,-1,3,-1,-1,3,"n=0,S={3}"
0,11,0,0,1,1,1,"n=0,S={}"
0,11,1,2,-1,-1,1,"n=0,S={2}"
0,11,2,9,1,1,13,"n=0,S={9}"
0,11,3,21,-1,-1,75,"n=0,S={10;11}"
0,11,4,38,1,1,127,"n=0,S={8;9;10;11}"
0,12,-3,24,-1,0,118,"n=0,S={1;11;12}"
