"comparison","r","first_nonzero_k","max_abs_coeff"
"backsolve_minus_series",0,"none_through_KMax",0
"backsolve_minus_series",1,"none_through_KMax",0
"backsolve_minus_series",2,"none_through_KMax",0
"backsolve_minus_series",3,"none_through_KMax",0
"backsolve_minus_series",4,"none_through_KMax",0
"backsolve_minus_series",5,"none_through_KMax",0
"backsolve_minus_series",6,"none_through_KMax",0
"backsolve_minus_series",7,"none_through_KMax",0
"backsolve_minus_series",8,"none_through_KMax",0
"backsolve_minus_series",9,"none_through_KMax",0
"backsolve_minus_series",10,"none_through_KMax",0
"backsolve_minus_series",11,"none_through_KMax",0
"backsolve_minus_series",12,"none_through_KMax",0
"backsolve_C0_minus_P14",0,"none_through_KMax",0
"backsolve_C1_minus_P23",1,"none_through_KMax",0
"forward_from_products_minus_backsolve",0,"none_through_KMax",0
"forward_from_products_minus_backsolve",1,"none_through_KMax",0
"forward_from_products_minus_backsolve",2,"none_through_KMax",0
"forward_from_products_minus_backsolve",3,"none_through_KMax",0
"forward_from_products_minus_backsolve",4,"none_through_KMax",0
"forward_from_products_minus_backsolve",5,"none_through_KMax",0
"forward_from_products_minus_backsolve",6,"none_through_KMax",0
"forward_from_products_minus_backsolve",7,"none_through_KMax",0
"forward_from_products_minus_backsolve",8,"none_through_KMax",0
"forward_from_products_minus_backsolve",9,"none_through_KMax",0
"forward_from_products_minus_backsolve",10,"none_through_KMax",0
"forward_from_products_minus_backsolve",11,"none_through_KMax",0
"forward_from_products_minus_backsolve",12,"none_through_KMax",0
"forward_from_products_minus_backsolve",13,"none_through_KMax",0
"forward_from_products_minus_backsolve",14,"none_through_KMax",0
"forward_from_products_tail_minus_1",10,"11",11
"forward_from_products_tail_minus_1",11,"12",9
"forward_from_products_tail_minus_1",12,"13",8
"forward_from_products_tail_minus_1",13,"14",7
"forward_from_products_tail_minus_1",14,"15",6
