"alpha","N","objects_tested","paired","unpaired","not_involutive","not_weight_preserving","not_sign_reversing"
0,0,1,0,1,0,0,0
0,1,3,2,1,0,0,0
0,2,7,4,3,0,0,0
0,3,15,8,7,0,0,0
0,4,31,16,15,0,0,0
0,5,63,32,31,0,0,0
0,6,127,64,63,0,0,0
0,7,253,128,125,0,0,0
0,8,503,256,247,0,0,0
0,9,976,504,472,0,0,0
0,10,1747,916,831,0,0,0
0,11,2803,1488,1315,0,0,0
0,12,4059,2172,1887,0,0,0
1,0,1,0,1,0,0,0
1,1,3,0,3,0,0,0
1,2,7,0,7,0,0,0
1,3,15,0,15,0,0,0
1,4,31,0,31,0,0,0
1,5,63,0,63,0,0,0
1,6,126,0,126,0,0,0
1,7,251,0,251,0,0,0
1,8,497,0,497,0,0,0
1,9,956,0,956,0,0,0
1,10,1693,0,1693,0,0,0
1,11,2690,0,2690,0,0,0
1,12,3865,0,3865,0,0,0
