"comparison","k","difference"
"RR1_true_S1_minus_P14",0,0
"RR1_true_S1_minus_P14",1,0
"RR1_true_S1_minus_P14",2,0
"RR1_true_S1_minus_P14",3,0
"RR1_true_S1_minus_P14",4,0
"RR1_true_S1_minus_P14",5,0
"RR1_true_S1_minus_P14",6,0
"RR1_true_S1_minus_P14",7,0
"RR1_true_S1_minus_P14",8,0
"RR1_true_S1_minus_P14",9,0
"RR1_true_S1_minus_P14",10,0
"RR1_true_S1_minus_P14",11,0
"RR1_true_S1_minus_P14",12,0
"RR1_true_S1_minus_P14",13,0
"RR1_true_S1_minus_P14",14,0
"RR1_true_S1_minus_P14",15,0
"RR1_true_S1_minus_P14",16,0
"RR1_true_S1_minus_P14",17,0
"RR1_true_S1_minus_P14",18,0
"RR1_true_S1_minus_P14",19,0
"RR1_true_S1_minus_P14",20,0
"RR1_true_S1_minus_P14",21,0
"RR1_true_S1_minus_P14",22,0
"RR1_true_S1_minus_P14",23,0
"RR1_true_S1_minus_P14",24,0
"RR1_true_S1_minus_P14",25,0
"RR1_true_S1_minus_P14",26,0
"RR1_true_S1_minus_P14",27,0
"RR1_true_S1_minus_P14",28,0
"RR1_true_S1_minus_P14",29,0
"RR1_true_S1_minus_P14",30,0
"RR1_true_S1_minus_P14",31,0
"RR1_true_S1_minus_P14",32,0
"RR1_true_S1_minus_P14",33,0
"RR1_true_S1_minus_P14",34,0
"RR1_true_S1_minus_P14",35,0
"RR1_true_S1_minus_P14",36,0
"RR1_true_S1_minus_P14",37,0
"RR1_true_S1_minus_P14",38,0
"RR1_true_S1_minus_P14",39,0
"RR1_true_S1_minus_P14",40,0
"RR2_true_S2_minus_P23",0,0
"RR2_true_S2_minus_P23",1,0
"RR2_true_S2_minus_P23",2,0
"RR2_true_S2_minus_P23",3,0
"RR2_true_S2_minus_P23",4,0
"RR2_true_S2_minus_P23",5,0
"RR2_true_S2_minus_P23",6,0
"RR2_true_S2_minus_P23",7,0
"RR2_true_S2_minus_P23",8,0
"RR2_true_S2_minus_P23",9,0
"RR2_true_S2_minus_P23",10,0
"RR2_true_S2_minus_P23",11,0
"RR2_true_S2_minus_P23",12,0
"RR2_true_S2_minus_P23",13,0
"RR2_true_S2_minus_P23",14,0
"RR2_true_S2_minus_P23",15,0
"RR2_true_S2_minus_P23",16,0
"RR2_true_S2_minus_P23",17,0
"RR2_true_S2_minus_P23",18,0
"RR2_true_S2_minus_P23",19,0
"RR2_true_S2_minus_P23",20,0
"RR2_true_S2_minus_P23",21,0
"RR2_true_S2_minus_P23",22,0
"RR2_true_S2_minus_P23",23,0
"RR2_true_S2_minus_P23",24,0
"RR2_true_S2_minus_P23",25,0
"RR2_true_S2_minus_P23",26,0
"RR2_true_S2_minus_P23",27,0
"RR2_true_S2_minus_P23",28,0
"RR2_true_S2_minus_P23",29,0
"RR2_true_S2_minus_P23",30,0
"RR2_true_S2_minus_P23",31,0
"RR2_true_S2_minus_P23",32,0
"RR2_true_S2_minus_P23",33,0
"RR2_true_S2_minus_P23",34,0
"RR2_true_S2_minus_P23",35,0
"RR2_true_S2_minus_P23",36,0
"RR2_true_S2_minus_P23",37,0
"RR2_true_S2_minus_P23",38,0
"RR2_true_S2_minus_P23",39,0
"RR2_true_S2_minus_P23",40,0
"NC_residues_13_S1_minus_P13",0,0
"NC_residues_13_S1_minus_P13",1,0
"NC_residues_13_S1_minus_P13",2,0
"NC_residues_13_S1_minus_P13",3,-1
"NC_residues_13_S1_minus_P13",4,0
"NC_residues_13_S1_minus_P13",5,0
"NC_residues_13_S1_minus_P13",6,-1
"NC_residues_13_S1_minus_P13",7,-1
"NC_residues_13_S1_minus_P13",8,-1
"NC_residues_13_S1_minus_P13",9,-2
"NC_residues_13_S1_minus_P13",10,-1
"NC_residues_13_S1_minus_P13",11,-2
"NC_residues_13_S1_minus_P13",12,-3
"NC_residues_13_S1_minus_P13",13,-3
"NC_residues_13_S1_minus_P13",14,-4
"NC_residues_13_S1_minus_P13",15,-5
"NC_residues_13_S1_minus_P13",16,-5
"NC_residues_13_S1_minus_P13",17,-7
"NC_residues_13_S1_minus_P13",18,-8
"NC_residues_13_S1_minus_P13",19,-10
"NC_residues_13_S1_minus_P13",20,-10
"NC_residues_13_S1_minus_P13",21,-13
"NC_residues_13_S1_minus_P13",22,-15
"NC_residues_13_S1_minus_P13",23,-17
"NC_residues_13_S1_minus_P13",24,-21
"NC_residues_13_S1_minus_P13",25,-24
"NC_residues_13_S1_minus_P13",26,-26
"NC_residues_13_S1_minus_P13",27,-33
"NC_residues_13_S1_minus_P13",28,-35
"NC_residues_13_S1_minus_P13",29,-41
"NC_residues_13_S1_minus_P13",30,-48
"NC_residues_13_S1_minus_P13",31,-53
"NC_residues_13_S1_minus_P13",32,-61
"NC_residues_13_S1_minus_P13",33,-71
"NC_residues_13_S1_minus_P13",34,-78
"NC_residues_13_S1_minus_P13",35,-91
"NC_residues_13_S1_minus_P13",36,-101
"NC_residues_13_S1_minus_P13",37,-115
"NC_residues_13_S1_minus_P13",38,-129
"NC_residues_13_S1_minus_P13",39,-147
"NC_residues_13_S1_minus_P13",40,-164
"NC_residues_24_S2_minus_P24",0,0
"NC_residues_24_S2_minus_P24",1,0
"NC_residues_24_S2_minus_P24",2,0
"NC_residues_24_S2_minus_P24",3,1
"NC_residues_24_S2_minus_P24",4,-1
"NC_residues_24_S2_minus_P24",5,1
"NC_residues_24_S2_minus_P24",6,0
"NC_residues_24_S2_minus_P24",7,1
"NC_residues_24_S2_minus_P24",8,0
"NC_residues_24_S2_minus_P24",9,1
"NC_residues_24_S2_minus_P24",10,1
"NC_residues_24_S2_minus_P24",11,1
"NC_residues_24_S2_minus_P24",12,1
"NC_residues_24_S2_minus_P24",13,2
"NC_residues_24_S2_minus_P24",14,1
"NC_residues_24_S2_minus_P24",15,4
"NC_residues_24_S2_minus_P24",16,1
"NC_residues_24_S2_minus_P24",17,5
"NC_residues_24_S2_minus_P24",18,2
"NC_residues_24_S2_minus_P24",19,6
"NC_residues_24_S2_minus_P24",20,4
"NC_residues_24_S2_minus_P24",21,7
"NC_residues_24_S2_minus_P24",22,6
"NC_residues_24_S2_minus_P24",23,9
"NC_residues_24_S2_minus_P24",24,9
"NC_residues_24_S2_minus_P24",25,12
"NC_residues_24_S2_minus_P24",26,11
"NC_residues_24_S2_minus_P24",27,17
"NC_residues_24_S2_minus_P24",28,13
"NC_residues_24_S2_minus_P24",29,22
"NC_residues_24_S2_minus_P24",30,19
"NC_residues_24_S2_minus_P24",31,27
"NC_residues_24_S2_minus_P24",32,25
"NC_residues_24_S2_minus_P24",33,34
"NC_residues_24_S2_minus_P24",34,34
"NC_residues_24_S2_minus_P24",35,42
"NC_residues_24_S2_minus_P24",36,43
"NC_residues_24_S2_minus_P24",37,54
"NC_residues_24_S2_minus_P24",38,54
"NC_residues_24_S2_minus_P24",39,70
"NC_residues_24_S2_minus_P24",40,67
"NC_shifted_exponent_Sshift_minus_P14",0,0
"NC_shifted_exponent_Sshift_minus_P14",1,-1
"NC_shifted_exponent_Sshift_minus_P14",2,-1
"NC_shifted_exponent_Sshift_minus_P14",3,0
"NC_shifted_exponent_Sshift_minus_P14",4,-1
"NC_shifted_exponent_Sshift_minus_P14",5,-1
"NC_shifted_exponent_Sshift_minus_P14",6,-2
"NC_shifted_exponent_Sshift_minus_P14",7,-2
"NC_shifted_exponent_Sshift_minus_P14",8,-2
"NC_shifted_exponent_Sshift_minus_P14",9,-3
"NC_shifted_exponent_Sshift_minus_P14",10,-3
"NC_shifted_exponent_Sshift_minus_P14",11,-4
"NC_shifted_exponent_Sshift_minus_P14",12,-5
"NC_shifted_exponent_Sshift_minus_P14",13,-6
"NC_shifted_exponent_Sshift_minus_P14",14,-7
"NC_shifted_exponent_Sshift_minus_P14",15,-8
"NC_shifted_exponent_Sshift_minus_P14",16,-10
"NC_shifted_exponent_Sshift_minus_P14",17,-11
"NC_shifted_exponent_Sshift_minus_P14",18,-13
"NC_shifted_exponent_Sshift_minus_P14",19,-15
"NC_shifted_exponent_Sshift_minus_P14",20,-18
"NC_shifted_exponent_Sshift_minus_P14",21,-20
"NC_shifted_exponent_Sshift_minus_P14",22,-24
"NC_shifted_exponent_Sshift_minus_P14",23,-27
"NC_shifted_exponent_Sshift_minus_P14",24,-31
"NC_shifted_exponent_Sshift_minus_P14",25,-36
"NC_shifted_exponent_Sshift_minus_P14",26,-41
"NC_shifted_exponent_Sshift_minus_P14",27,-46
"NC_shifted_exponent_Sshift_minus_P14",28,-53
"NC_shifted_exponent_Sshift_minus_P14",29,-60
"NC_shifted_exponent_Sshift_minus_P14",30,-68
"NC_shifted_exponent_Sshift_minus_P14",31,-77
"NC_shifted_exponent_Sshift_minus_P14",32,-87
"NC_shifted_exponent_Sshift_minus_P14",33,-98
"NC_shifted_exponent_Sshift_minus_P14",34,-111
"NC_shifted_exponent_Sshift_minus_P14",35,-124
"NC_shifted_exponent_Sshift_minus_P14",36,-140
"NC_shifted_exponent_Sshift_minus_P14",37,-157
"NC_shifted_exponent_Sshift_minus_P14",38,-176
"NC_shifted_exponent_Sshift_minus_P14",39,-196
"NC_shifted_exponent_Sshift_minus_P14",40,-220
