node_id	node_type	raw_label	canonical_taxon	attributes_json	source_id	source_provenance_json	allowed_evidence_scope	caveats_json
cultivar:Triticum_aestivum	cultivar	Triticum aestivum	Triticum aestivum	"{""selection_traits"": [""hexaploid grain"", ""free-threshing rachis"", ""winter/spring habit""], ""vavilov_center"": ""vc:near_eastern"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Marcussen T. et al. 2014, Science 345:1250092 \u2014 Ancient hybridizations among the ancestral genomes of bread wheat""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Triticum_turgidum_subsp._durum	cultivar	Triticum turgidum subsp. durum	Triticum turgidum subsp. durum	"{""selection_traits"": [""tetraploid pasta-quality grain"", ""non-shattering""], ""vavilov_center"": ""vc:near_eastern"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": true}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Salamini F. et al. 2002, Nat. Rev. Genet. 3:429-441""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Malus_domestica	cultivar	Malus domestica	Malus domestica	"{""selection_traits"": [""large dessert fruit"", ""self-incompatibility outcrossing"", ""scion-rootstock grafting""], ""vavilov_center"": ""vc:central_asian"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Cornille A. et al. 2014, Trends in Genet. 30(2):57-65 \u2014 The domestication and evolutionary ecology of apples""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Musa_x_paradisiaca___Musa_acuminata_cultivar_group	cultivar	Musa x paradisiaca / Musa acuminata cultivar group	Musa x paradisiaca / Musa acuminata cultivar group	"{""selection_traits"": [""sterile triploid (AAA, AAB, ABB)"", ""parthenocarpy"", ""starchy/sweet pulp""], ""vavilov_center"": ""vc:indo_malay"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""D'Hont A. et al. 2012, Nature 488:213-217 \u2014 The banana (Musa acuminata) genome""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Brassica_napus	cultivar	Brassica napus	Brassica napus	"{""selection_traits"": [""amphidiploid oilseed/forage"", ""winter habit""], ""vavilov_center"": ""vc:mediterranean"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": true}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Chalhoub B. et al. 2014, Science 345:950-953 \u2014 Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Brassica_juncea	cultivar	Brassica juncea	Brassica juncea	"{""selection_traits"": [""amphidiploid mustard greens / oilseed""], ""vavilov_center"": ""vc:central_asian"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""U N. 1935, Jap. J. Bot. 7:389-452 \u2014 Brassica triangle of U""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Brassica_carinata	cultivar	Brassica carinata	Brassica carinata	"{""selection_traits"": [""amphidiploid Ethiopian mustard""], ""vavilov_center"": ""vc:abyssinian"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""U N. 1935, Jap. J. Bot. 7:389-452""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Gossypium_hirsutum	cultivar	Gossypium hirsutum	Gossypium hirsutum	"{""selection_traits"": [""allotetraploid spinnable lint"", ""long-staple""], ""vavilov_center"": ""vc:south_mexican"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Wendel J.F. & Cronn R.C. 2003, Adv. Agron. 78:139-186 \u2014 Polyploidy and the evolutionary history of cotton""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Gossypium_barbadense	cultivar	Gossypium barbadense	Gossypium barbadense	"{""selection_traits"": [""allotetraploid extra-long-staple lint""], ""vavilov_center"": ""vc:south_american"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Wendel J.F. & Cronn R.C. 2003, Adv. Agron. 78:139-186""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
cultivar:Arachis_hypogaea	cultivar	Arachis hypogaea	Arachis hypogaea	"{""selection_traits"": [""allotetraploid groundnut"", ""geocarpy"", ""high oil""], ""vavilov_center"": ""vc:south_american"", ""confidence_tier"": ""A"", ""dating_provided_by_source"": false}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Bertioli D.J. et al. 2016, Nat. Genet. 48:438-446 \u2014 The genome sequences of Arachis duranensis and Arachis ipaensis""}"	supports named cross/pedigree per cited source; does not support dating unless source states it	"{""is_multi_parent"": true, ""confidence_tier"": ""A""}"
