node_id	node_type	raw_label	canonical_taxon	attributes_json	source_id	source_provenance_json	allowed_evidence_scope	caveats_json
breeder_pedigree:Triticum_aestivum_Norin_10___IR8_dwarfing_background	breeder_pedigree_node	Triticum aestivum 'Norin 10' / IR8 dwarfing background	Triticum aestivum	"{""note"": ""Green Revolution semidwarf wheat backbone (Rht1/Rht2 from Norin 10)"", ""citation"": ""Borlaug 1968 Nobel address; CIMMYT pedigree records""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""secondary_citation"": ""Borlaug 1968 Nobel address; CIMMYT pedigree records""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Borlaug 1968 Nobel address; CIMMYT pedigree records""}"
breeder_pedigree:Oryza_sativa_IR8	breeder_pedigree_node	Oryza sativa 'IR8'	Oryza sativa	"{""note"": ""IRRI semidwarf rice (DGWG x Peta)"", ""citation"": ""Khush G.S. 1995 Plant Mol. Biol. 35:25-34""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""secondary_citation"": ""Khush G.S. 1995 Plant Mol. Biol. 35:25-34""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Khush G.S. 1995 Plant Mol. Biol. 35:25-34""}"
breeder_pedigree:Oryza_sativa_IR36	breeder_pedigree_node	Oryza sativa 'IR36'	Oryza sativa	"{""note"": ""Multi-line IRRI release with multiple wild-relative introgressions"", ""citation"": ""Khush G.S. 1987 Rice Genetics""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Khush G.S. 1987 Rice Genetics""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Khush G.S. 1987 Rice Genetics""}"
breeder_pedigree:Zea_mays_B73_x_Mo17_hybrid_backbone	breeder_pedigree_node	Zea mays 'B73 x Mo17' hybrid backbone	Zea mays	"{""note"": ""Foundation inbred hybrid US corn belt"", ""citation"": ""Hallauer & Miranda 1988""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""secondary_citation"": ""Hallauer & Miranda 1988""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Hallauer & Miranda 1988""}"
breeder_pedigree:Glycine_max_Williams_82	breeder_pedigree_node	Glycine max 'Williams 82'	Glycine max	"{""note"": ""Soybean reference cultivar with multiple introgressions"", ""citation"": ""Schmutz J. et al. 2010, Nature 463:178-183""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""secondary_citation"": ""Schmutz J. et al. 2010, Nature 463:178-183""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Schmutz J. et al. 2010, Nature 463:178-183""}"
breeder_pedigree:Solanum_lycopersicum_Heinz_1706	breeder_pedigree_node	Solanum lycopersicum 'Heinz 1706'	Solanum lycopersicum	"{""note"": ""Processing tomato reference cultivar"", ""citation"": ""Tomato Genome Consortium 2012""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""secondary_citation"": ""Tomato Genome Consortium 2012""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Tomato Genome Consortium 2012""}"
breeder_pedigree:Solanum_tuberosum_Russet_Burbank	breeder_pedigree_node	Solanum tuberosum 'Russet Burbank'	Solanum tuberosum	"{""note"": ""Late-19th-century clonal selection from 'Burbank' seedling"", ""citation"": ""Bradshaw J.E. 2009 Potato Research 52:359-373""}"	usda_grin	"{""source_id"": ""usda_grin"", ""source_name"": ""USDA GRIN-Global"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Public domain (US gov)"", ""attribution"": ""USDA-ARS National Plant Germplasm System (NPGS) GRIN-Global"", ""source_reliability"": 0.92, ""secondary_citation"": ""Bradshaw J.E. 2009 Potato Research 52:359-373""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Bradshaw J.E. 2009 Potato Research 52:359-373""}"
breeder_pedigree:Triticum_aestivum_Veery_lines_(CIMMYT)	breeder_pedigree_node	Triticum aestivum 'Veery' lines (CIMMYT)	Triticum aestivum	"{""note"": ""1B/1R Rye-Wheat translocation backbone"", ""citation"": ""Rajaram S. et al. 1990 Wheat Genetics Symposium""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Rajaram S. et al. 1990 Wheat Genetics Symposium""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Rajaram S. et al. 1990 Wheat Genetics Symposium""}"
breeder_pedigree:Musa_AAA_Grand_Naine	breeder_pedigree_node	Musa AAA 'Grand Naine'	Musa AAA	"{""note"": ""Cavendish clone backbone for global export trade"", ""citation"": ""Stover R.H. & Simmonds N.W. 1987""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Stover R.H. & Simmonds N.W. 1987""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Stover R.H. & Simmonds N.W. 1987""}"
breeder_pedigree:Coffea_arabica_Catimor	breeder_pedigree_node	Coffea arabica 'Catimor'	Coffea arabica	"{""note"": ""Hybrid Caturra x Hibrido de Timor (rust resistance from C. canephora introgression)"", ""citation"": ""Bertrand B. et al. 2003 Theor. Appl. Genet. 107:387-394""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Bertrand B. et al. 2003 Theor. Appl. Genet. 107:387-394""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Bertrand B. et al. 2003 Theor. Appl. Genet. 107:387-394""}"
breeder_pedigree:Manihot_esculenta_TMS_30572_(IITA)	breeder_pedigree_node	Manihot esculenta 'TMS 30572' (IITA)	Manihot esculenta	"{""note"": ""Mosaic-virus-resistant African release"", ""citation"": ""Hahn S.K. et al. 1980 IITA""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Hahn S.K. et al. 1980 IITA""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Hahn S.K. et al. 1980 IITA""}"
breeder_pedigree:Saccharum_POJ_2878	breeder_pedigree_node	Saccharum 'POJ 2878'	Saccharum	"{""note"": ""Foundation interspecific hybrid (Saccharum officinarum x S. spontaneum)"", ""citation"": ""Bremer G. 1961 Euphytica 10:325""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Bremer G. 1961 Euphytica 10:325""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Bremer G. 1961 Euphytica 10:325""}"
breeder_pedigree:Vitis_Marechal_Foch	breeder_pedigree_node	Vitis 'Marechal Foch'	Vitis	"{""note"": ""French-American hybrid (Vitis vinifera x Vitis riparia/rupestris)"", ""citation"": ""Reisch B.I. et al. 2012""}"	fao_wiews	"{""source_id"": ""fao_wiews"", ""source_name"": ""FAO WIEWS / Plant Treaty"", ""source_version_or_release"": ""site probed 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""CC-BY (FAO open data)"", ""attribution"": ""FAO World Information and Early Warning System on Plant Genetic Resources"", ""source_reliability"": 0.85, ""secondary_citation"": ""Reisch B.I. et al. 2012""}"	supports named breeder-line release/cross per cited source; does not support performance claims	"{""citation"": ""Reisch B.I. et al. 2012""}"
