edge_type	raw_scientific_name	accepted_taxon_key	pending_crosswalk	match_status	source_id	allowed_evidence_scope	canonical_node_ids_json
chromosome_count_assertion	Triticum aestivum		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=42"", ""ccdb"", ""raw_name:Triticum_aestivum"", ""raw_name:triticum aestivum""]"
chromosome_count_assertion	Brassica napus		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=38"", ""ccdb"", ""raw_name:Brassica_napus"", ""raw_name:brassica napus""]"
chromosome_count_assertion	Spartina anglica		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=120"", ""ccdb"", ""raw_name:Spartina_anglica"", ""raw_name:spartina anglica""]"
chromosome_count_assertion	Tragopogon mirus		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=24"", ""ccdb"", ""raw_name:Tragopogon_mirus"", ""raw_name:tragopogon mirus""]"
chromosome_count_assertion	Tragopogon miscellus		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=24"", ""ccdb"", ""raw_name:Tragopogon_miscellus"", ""raw_name:tragopogon miscellus""]"
chromosome_count_assertion	Zea mays		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=20"", ""ccdb"", ""raw_name:Zea_mays"", ""raw_name:zea mays""]"
chromosome_count_assertion	Oryza sativa		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=24"", ""ccdb"", ""raw_name:Oryza_sativa"", ""raw_name:oryza sativa""]"
chromosome_count_assertion	Gossypium hirsutum		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=52"", ""ccdb"", ""raw_name:Gossypium_hirsutum"", ""raw_name:gossypium hirsutum""]"
chromosome_count_assertion	Musa acuminata		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=22"", ""ccdb"", ""raw_name:Musa_acuminata"", ""raw_name:musa acuminata""]"
chromosome_count_assertion	Musa balbisiana		True	unresolved	ccdb	supports reported chromosome count only; does not support uniform species ploidy or a polyploidization event	"[""2n=22"", ""ccdb"", ""raw_name:Musa_balbisiana"", ""raw_name:musa balbisiana""]"
ploidy_state_assertion	Triticum aestivum		True	unresolved	wood_2009_polyploid_speciation	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	"[""hexaploid"", ""raw_name:Triticum_aestivum"", ""raw_name:triticum aestivum"", ""wood_2009_polyploid_speciation""]"
ploidy_state_assertion	Brassica napus		True	unresolved	wood_2009_polyploid_speciation	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	"[""amphidiploid"", ""raw_name:Brassica_napus"", ""raw_name:brassica napus"", ""wood_2009_polyploid_speciation""]"
ploidy_state_assertion	Spartina anglica		True	unresolved	wood_2009_polyploid_speciation	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	"[""allopolyploid"", ""raw_name:Spartina_anglica"", ""raw_name:spartina anglica"", ""wood_2009_polyploid_speciation""]"
ploidy_state_assertion	Tragopogon mirus		True	unresolved	wood_2009_polyploid_speciation	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	"[""allopolyploid"", ""raw_name:Tragopogon_mirus"", ""raw_name:tragopogon mirus"", ""wood_2009_polyploid_speciation""]"
ploidy_state_assertion	Tragopogon miscellus		True	unresolved	wood_2009_polyploid_speciation	supports caveated ploidy-context evidence only; does not establish event timing or progenitors	"[""allopolyploid"", ""raw_name:Tragopogon_miscellus"", ""raw_name:tragopogon miscellus"", ""wood_2009_polyploid_speciation""]"
hybridization_event	Spartina anglica		True	unresolved	wood_2009_polyploid_speciation	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	"[""raw_name:Spartina_alterniflora"", ""raw_name:Spartina_anglica"", ""raw_name:Spartina_maritima"", ""raw_name:spartina anglica"", ""wood_2009_polyploid_speciation""]"
polyploidization_event	Triticum aestivum		True	unresolved	wood_2009_polyploid_speciation	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	"[""raw_name:Aegilops_speltoides_lineage"", ""raw_name:Aegilops_tauschii"", ""raw_name:Triticum_aestivum"", ""raw_name:Triticum_urartu"", ""raw_name:triticum aestivum"", ""wood_2009_polyploid_speciation""]"
polyploidization_event	Brassica napus		True	unresolved	wood_2009_polyploid_speciation	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	"[""raw_name:Brassica_napus"", ""raw_name:Brassica_oleracea"", ""raw_name:Brassica_rapa"", ""raw_name:brassica napus"", ""wood_2009_polyploid_speciation""]"
polyploidization_event	Tragopogon mirus		True	unresolved	wood_2009_polyploid_speciation	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	"[""raw_name:Tragopogon_dubius"", ""raw_name:Tragopogon_mirus"", ""raw_name:Tragopogon_porrifolius"", ""raw_name:tragopogon mirus"", ""wood_2009_polyploid_speciation""]"
polyploidization_event	Tragopogon miscellus		True	unresolved	wood_2009_polyploid_speciation	supports named hybridization/polyploidization event as source-backed synthesis; does not support novel taxonomy or precise dating	"[""raw_name:Tragopogon_dubius"", ""raw_name:Tragopogon_miscellus"", ""raw_name:Tragopogon_pratensis"", ""raw_name:tragopogon miscellus"", ""wood_2009_polyploid_speciation""]"
reticulate_inheritance_evidence	Triticum aestivum		True	unresolved	wood_2009_polyploid_speciation	supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement	"[""raw_name:Aegilops_speltoides_lineage"", ""raw_name:Aegilops_tauschii"", ""raw_name:Triticum_aestivum"", ""raw_name:Triticum_urartu"", ""raw_name:triticum aestivum"", ""wood_2009_polyploid_speciation""]"
reticulate_inheritance_evidence	Brassica napus		True	unresolved	wood_2009_polyploid_speciation	supports multi-parent reticulate inheritance evidence; does not resolve a single phylogenetic placement	"[""raw_name:Brassica_napus"", ""raw_name:Brassica_oleracea"", ""raw_name:Brassica_rapa"", ""raw_name:brassica napus"", ""wood_2009_polyploid_speciation""]"
