panel_role	taxon_name	namespace	accepted_key	family	genus	source_group_count	evidence_row_count	gbif_match_status	wfo_projection_status	name_turnover_proxy	publication_proxy	control_match_basis	validation_use	rejection_reason
case_retained_sidecar_event	Helianthus anomalus S.F.Blake	gbif_sidecar	gbif:3119246	Asteraceae	Helianthus	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	173	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Helianthus deserticola Heiser	gbif_sidecar	gbif:3119233	Asteraceae	Helianthus	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	119	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Helianthus paradoxus Heiser	gbif_sidecar	gbif:3119149	Asteraceae	Helianthus	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	353	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Tragopogon ×mirus Ownbey	gbif_sidecar	gbif:5386951	Asteraceae	Tragopogon	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	277	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Tragopogon ×miscellus Ownbey	gbif_sidecar	gbif:5386909	Asteraceae	Tragopogon	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	439	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Arabidopsis suecica (Fr.) Norrl.	wfo_projected	gbif:3052544	Brassicaceae	Arabidopsis	1	1	EXACT;status=ACCEPTED;confidence=98	wfo_projected	0	1914	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Brassica napus L.	gbif_sidecar	gbif:3042636	Brassicaceae	Brassica	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	95495	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Camelina sativa (L.) Crantz	gbif_sidecar	gbif:9073641	Brassicaceae	Camelina	1	1	EXACT;status=ACCEPTED;confidence=97	gbif_sidecar_admitted	1	9640	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Arachis hypogaea L.	wfo_projected	gbif:5353770	Fabaceae	Arachis	1	1	EXACT;status=ACCEPTED;confidence=99	wfo_projected	0	52595	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Quercus robur L.	gbif_sidecar	gbif:2878688	Fagaceae	Quercus	1	1	EXACT;status=ACCEPTED;confidence=97	gbif_sidecar_admitted	1	32379	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Iris ×nelsonii Randolph	gbif_sidecar	gbif:5298384	Iridaceae	Iris	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	88	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Gossypium hirsutum L.	gbif_sidecar	gbif:3152661	Malvaceae	Gossypium	1	1	EXACT;status=ACCEPTED;confidence=97	gbif_sidecar_admitted	1	52701	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Musa ×paradisiaca L.	gbif_sidecar	gbif:2762752	Musaceae	Musa	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	1174	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela	gbif_sidecar	gbif:9398259	Poaceae	Sporobolus	1	1	EXACT;status=SYNONYM;confidence=98	gbif_sidecar_admitted	1	2465	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Triticum aestivum L.	gbif_sidecar	gbif:7795888	Poaceae	Triticum	2	2	EXACT;status=ACCEPTED;confidence=97	gbif_sidecar_admitted	1	187487	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Fragaria ×ananassa (Weston) Rozier	gbif_sidecar	gbif:3029912	Rosaceae	Fragaria	1	1	EXACT;status=ACCEPTED;confidence=97	gbif_sidecar_admitted	1	10335	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Malus domestica (Suckow) Borkh.	gbif_sidecar	gbif:3001244	Rosaceae	Malus	1	1	EXACT;status=ACCEPTED;confidence=98	gbif_sidecar_admitted	1	36942	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Prunus domestica L.	gbif_sidecar	gbif:7931731	Rosaceae	Prunus	1	1	EXACT;status=ACCEPTED;confidence=98	gbif_sidecar_admitted	1	12159	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Rosa canina L.	gbif_sidecar	gbif:3002461	Rosaceae	Rosa	1	1	EXACT;status=ACCEPTED;confidence=97	gbif_sidecar_admitted	1	10961	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Coffea arabica L.	gbif_sidecar	gbif:2895345	Rubiaceae	Coffea	1	1	EXACT;status=ACCEPTED;confidence=98	gbif_sidecar_admitted	1	36368	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Citrus ×aurantium L.	gbif_sidecar	gbif:8077391	Rutaceae	Citrus	1	1	EXACT;status=SYNONYM;confidence=97	gbif_sidecar_admitted	1	40814	case	track1_sidecar_control_diagnostic	
case_retained_sidecar_event	Nicotiana tabacum L.	gbif_sidecar	gbif:2928774	Solanaceae	Nicotiana	1	1	EXACT;status=ACCEPTED;confidence=99	gbif_sidecar_admitted	1	66842	case	track1_sidecar_control_diagnostic	
matched_control_existing	Helianthus annuus L.	gbif_control_basis	gbif:9206251	Asteraceae	Helianthus	0	0	EXACT;status=ACCEPTED;confidence=99	control_wfo_projection_not_attempted	0	50695	genus_near	matched_control_diagnostic	
